aaa_team,mlb_team
Reno Aces,Arizona Diamondbacks
Las Vegas Aviators,Athletics
Gwinnett Stripers,Atlanta Braves
Norfolk Tides,Baltimore Orioles
Worcester Red Sox,Boston Red Sox
Iowa Cubs,Chicago Cubs
Charlotte Knights,Chicago White Sox
Louisville Bats,Cincinnati Reds
Columbus Clippers,Cleveland Guardians
Albuquerque Isotopes,Colorado Rockies
Toledo Mud Hens,Detroit Tigers
Sugar Land Space Cowboys,Houston Astros
Omaha Storm Chasers,Kansas City Royals
Salt Lake Bees,Los Angeles Angels
Oklahoma City Comets,Los Angeles Dodgers
Jacksonville Jumbo Shrimp,Miami Marlins
Nashville Sounds,Milwaukee Brewers
St. Paul Saints,Minnesota Twins
Syracuse Mets,New York Mets
Scranton/Wilkes-Barre RailRiders,New York Yankees
Lehigh Valley IronPigs,Philadelphia Phillies
Indianapolis Indians,Pittsburgh Pirates
El Paso Chihuahuas,San Diego Padres
Sacramento River Cats,San Francisco Giants
Tacoma Rainiers,Seattle Mariners
Memphis Redbirds,St. Louis Cardinals
Durham Bulls,Tampa Bay Rays
Round Rock Express,Texas Rangers
Buffalo Bisons,Toronto Blue Jays
Rochester Red Wings,Washington Nationals
