Rk,Player,Team,Span Started,Span Ended,ERA,IP,W,L,GS,SV,BSv,CG,SHO,GF,IP,Dec,W-L%,ERA,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,Ind. Games Link
1,Sandy Alcantara,MIA,5/1/2022,9/30/2022,2.35,203.1,12,9,28,0,0,6,1,0,203.1,21,0.571,2.35,154,61,53,8,15,40,1,187,8,0,3,787,207,Games List
2,Corey Kluber,CLE,4/9/2017,9/30/2017,2.09,197.2,18,4,28,0,0,5,3,0,197.2,22,0.818,2.09,135,51,46,5,18,33,2,259,5,0,4,751,177,Games List
3,Clayton Kershaw,LAD,5/4/2015,10/4/2015,1.88,201.1,15,5,28,0,0,4,3,0,201.1,20,0.75,1.88,131,46,42,4,11,35,1,258,4,3,8,761,175,Games List
4,Zack Greinke,LAD,4/29/2015,10/3/2015,1.7,196,16,3,28,0,0,1,0,0,196,19,0.842,1.7,132,39,37,2,13,35,1,179,4,0,5,742,176,Games List
5,David Price,"DET,TOR",4/27/2015,9/26/2015,2.35,195.2,17,4,28,0,0,3,1,0,195.2,21,0.81,2.35,167,58,51,7,16,39,1,203,2,0,4,783,214,Games List
6,Jake Arrieta,CHC,5/7/2015,10/2/2015,1.6,197.1,19,4,28,0,0,4,3,0,197.1,23,0.826,1.6,125,42,35,7,8,40,2,205,6,0,6,743,178,Games List
7,Corey Kluber,CLE,5/4/2014,9/26/2014,2.13,198.2,16,6,28,0,0,2,1,0,198.2,22,0.727,2.13,161,52,47,5,12,41,2,234,5,0,3,783,211,Games List
8,Adam Wainwright,STL,4/22/2014,9/22/2014,2.47,197,17,8,28,0,0,4,2,0,197,25,0.68,2.47,167,58,54,4,9,41,3,147,7,1,3,784,218,Games List
9,Clayton Kershaw,LAD,4/28/2013,9/27/2013,1.78,202.1,14,7,28,0,0,2,1,0,202.1,21,0.667,1.78,142,45,40,5,8,40,1,197,3,2,10,778,196,Games List
10,David Price,TBR,4/24/2012,9/30/2012,2.43,196,18,4,28,0,0,2,1,0,196,22,0.818,2.43,156,56,53,3,15,50,2,194,4,1,7,767,214,Games List
11,Justin Verlander,DET,5/2/2011,9/24/2011,2.15,209,22,2,28,0,0,3,2,0,209,24,0.917,2.15,144,54,50,4,18,44,0,207,3,1,6,801,197,Games List
12,Clayton Kershaw,LAD,4/26/2011,9/25/2011,2.16,200.1,19,3,28,0,0,5,2,0,200.1,22,0.864,2.16,147,55,48,7,11,41,1,212,3,1,5,778,202,Games List
13,Roy Halladay,PHI,4/24/2011,9/25/2011,2.28,205,17,5,28,0,0,7,1,0,205,22,0.773,2.28,181,56,52,4,9,30,4,195,3,1,2,816,221,Games List
14,Cliff Lee,PHI,4/25/2011,9/26/2011,2.21,207.1,15,7,28,0,0,5,5,0,207.1,22,0.682,2.21,172,54,51,3,16,39,0,211,4,0,0,815,218,Games List
