"player_id","player_name","age","team_id","team","position","games","pa","home_runs","stolen_bases","caught_stealing","strikeouts","walks","avg","obp","slg","ops","estimated_fielding_runs","fielding_chances","estimated_catching_runs","catcher_steal_attempts","strikeout_rate","walk_rate","home_run_rate","stolen_base_rate","age_lens","performance_score","estimated_batting_runs","estimated_running_runs","sabrhood_war","swar_component_status","watch_method","watch_rank","source_acquired_at_utc","season"
"806367","Turner Hill",27,"105","Sacramento River Cats","CF",88,365,9,23,5,31,37,0.353,0.42,0.529,0.949,-0.845934065934067,191,0,0,0.0849315068493151,0.101369863013699,0.0246575342465753,0.063013698630137,"performance standout",85.1,8.93519999999999,2.04,1,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",1,"2026-09-01 14:45:58 UTC",2026
"691728","Zac Veen",24,"342","Albuquerque Isotopes","LF",100,445,24,18,2,91,48,0.327,0.402,0.635,1.037,-0.926134518604076,189,0,0,0.204494382022472,0.107865168539326,0.0539325842696629,0.0404494382022472,"age-qualified watch",83.8,17.1592,2.4,1.9,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",2,"2026-09-01 14:45:58 UTC",2026
"622569","Pablo Reyes",32,"561","Salt Lake Bees","3B",89,410,9,20,3,50,55,0.337,0.428,0.515,0.943,-1.07208587160262,215,0,0,0.121951219512195,0.134146341463415,0.0219512195121951,0.0487804878048781,"performance standout",81,9.64319999999999,2.34,1.1,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",3,"2026-09-01 14:45:58 UTC",2026
"696486","James Tibbs III",23,"238","Oklahoma City Comets","RF",124,562,27,8,1,126,95,0.295,0.418,0.547,0.965,-4.52518867924529,448,0,0,0.224199288256228,0.169039145907473,0.0480427046263345,0.0142348754448399,"age-qualified watch",80.9,15.19648,1.02,1.2,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",4,"2026-09-01 14:45:58 UTC",2026
"694876","Cooper Ingle",24,"445","Columbus Clippers","C",88,400,18,2,1,92,77,0.3,0.434,0.536,0.97,0.046667891140668,469,1.02990152980482,58,0.23,0.1925,0.045,0.005,"age-qualified watch",79.5,11.136,-0.06,1.2,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",5,"2026-09-01 14:45:58 UTC",2026
"670231","John Rave",28,"541","Omaha Storm Chasers","CF",77,355,13,18,4,65,54,0.285,0.396,0.481,0.877,-0.196,129,0,0,0.183098591549296,0.152112676056338,0.0366197183098592,0.0507042253521127,"performance standout",79.4,4.6008,1.56,0.6,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",6,"2026-09-01 14:45:58 UTC",2026
"687627","Kody Huff",25,"445","Columbus Clippers","C",103,427,19,12,4,84,62,0.261,0.376,0.507,0.883,-1.63303369369011,579,0.936451556180763,59,0.19672131147541,0.14519906323185,0.0444964871194379,0.0281030444964871,"performance standout",78,5.94384,0.48,0.6,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",7,"2026-09-01 14:45:58 UTC",2026
"676551","Brewer Hicklen",30,"431","Gwinnett Stripers","RF",96,402,18,30,6,93,37,0.302,0.373,0.52,0.893,-0.6209112798249,182,0,0,0.23134328358209,0.0920398009950249,0.0447761194029851,0.0746268656716418,"performance standout",76.6,6.23904,2.88,0.8,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",8,"2026-09-01 14:45:58 UTC",2026
"695681","Christian Moore",23,"561","Salt Lake Bees","2B",86,418,11,15,4,94,73,0.302,0.431,0.512,0.943,-2.56186465887725,298,0,0,0.22488038277512,0.174641148325359,0.0263157894736842,0.0358851674641148,"age-qualified watch",76.4,9.83135999999999,1.02,0.8,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",9,"2026-09-01 14:45:58 UTC",2026
"701394","Zach Ehrhard",23,"238","Oklahoma City Comets","CF",121,558,19,25,11,111,85,0.287,0.4,0.472,0.872,-1.366082438913,227,0,0,0.198924731182796,0.152329749103943,0.0340501792114695,0.0448028673835125,"age-qualified watch",74.9,6.78528,-0.12,0.5,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",10,"2026-09-01 14:45:58 UTC",2026
"682927","Ronny Simon",26,"484","Indianapolis Indians","LF",110,476,7,35,10,81,65,0.331,0.427,0.466,0.893,-2.23996551724138,199,0,0,0.170168067226891,0.136554621848739,0.0147058823529412,0.0735294117647059,"performance standout",74.2,7.38752,2.1,0.7,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",11,"2026-09-01 14:45:58 UTC",2026
"695491","Joshua Báez",23,"235","Memphis Redbirds","CF",103,461,34,21,3,136,37,0.256,0.328,0.573,0.901,-1.44121221919673,159,0,0,0.295010845986985,0.0802603036876356,0.0737527114967462,0.0455531453362256,"age-qualified watch",74,7.7448,2.52,0.9,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",12,"2026-09-01 14:45:58 UTC",2026
"814154","Scott Bandura",24,"105","Sacramento River Cats","CF",84,382,8,22,1,56,41,0.321,0.395,0.485,0.88,-0.38270283018868,148,0,0,0.146596858638743,0.107329842931937,0.0209424083769634,0.0575916230366492,"age-qualified watch",73.1,5.13408,3.54,0.8,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",13,"2026-09-01 14:45:58 UTC",2026
"801194","Max Anderson",24,"512","Toledo Mud Hens","2B",93,416,14,4,2,52,47,0.307,0.392,0.497,0.889,-0.260241423611977,264,0,0,0.125,0.112980769230769,0.0336538461538462,0.00961538461538462,"age-qualified watch",72.7,6.19008,-0.12,0.6,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",14,"2026-09-01 14:45:58 UTC",2026
"669911","Michael Toglia",27,"416","Louisville Bats","1B",97,402,22,4,1,103,56,0.273,0.373,0.547,0.92,-1.92117525773196,698,0,0,0.256218905472637,0.139303482587065,0.054726368159204,0.00995024875621891,"performance standout",72.2,7.97568,0.3,0.6,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",15,"2026-09-01 14:45:58 UTC",2026
"814436","Ryan Galanie",26,"494","Charlotte Knights","1B",94,372,19,11,3,88,30,0.289,0.356,0.545,0.901,0.0661095076400673,522,0,0,0.236559139784946,0.0806451612903226,0.0510752688172043,0.0295698924731183,"performance standout",72.1,6.2496,0.72,0.7,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",16,"2026-09-01 14:45:58 UTC",2026
"687799","Cade Marlowe",29,"561","Salt Lake Bees","RF",106,462,11,29,3,102,49,0.314,0.39,0.507,0.897,-0.498281690140846,212,0,0,0.220779220779221,0.106060606060606,0.0238095238095238,0.0627705627705628,"performance standout",71.1,7.46592,3.96,1.1,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",17,"2026-09-01 14:45:58 UTC",2026
"805347","Jim Jarvis",25,"431","Gwinnett Stripers","SS",82,379,6,34,8,60,50,0.309,0.402,0.457,0.859,-2.81736470281544,335,0,0,0.158311345646438,0.131926121372032,0.0158311345646438,0.0897097625329815,"performance standout",70.8,3.82032,2.76,0.4,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",18,"2026-09-01 14:45:58 UTC",2026
"670224","Kameron Misner",28,"1410","Lehigh Valley IronPigs","CF",86,367,18,17,3,104,50,0.265,0.368,0.51,0.878,-1.09227324104092,182,0,0,0.283378746594005,0.136239782016349,0.0490463215258856,0.0463215258855586,"performance standout",70.6,4.81504,1.8,0.6,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",19,"2026-09-01 14:45:58 UTC",2026
"689531","Brett Squires",26,"541","Omaha Storm Chasers","1B",85,355,22,12,0,96,32,0.266,0.332,0.554,0.886,-2.09691888214361,504,0,0,0.270422535211268,0.0901408450704225,0.0619718309859155,0.0338028169014084,"performance standout",69.9,5.112,2.16,0.5,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",20,"2026-09-01 14:45:58 UTC",2026
"699302","Héctor Rodríguez",22,"416","Louisville Bats","RF",104,455,27,6,2,93,42,0.274,0.347,0.533,0.88,-0.798784562211982,145,0,0,0.204395604395604,0.0923076923076923,0.0593406593406593,0.0131868131868132,"age-qualified watch",69.7,6.1152,0.24,0.6,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",21,"2026-09-01 14:45:58 UTC",2026
"695508","Cam Cauley",23,"102","Round Rock Express","SS",87,406,14,35,1,85,51,0.275,0.368,0.46,0.828,-0.528282503156704,268,0,0,0.20935960591133,0.125615763546798,0.0344827586206897,0.0862068965517241,"age-qualified watch",69.7,2.07871999999999,5.88,0.7,"batting, baserunning, fielding, and catching estimates on a 10-runs-per-win scale","aaa_age_performance_and_total_runs_lens_v2",22,"2026-09-01 14:45:58 UTC",2026
