"player_id","playerID","player_name","team","role","milestone_stat","prior_career_value","current_season_value","career_to_date_value","milestone_target","distance_to_milestone","milestone_status","reached_date","progress_pct","recognition_tier","career_significance_score","story_score","headline","identity_match_method","identity_match_confidence","milestone_method","source_through","generated_at_utc"
518692,"freemfr01","Freddie Freeman","LAD","hitter","hits",2431,127,2558,2500,0,"reached_this_season",2026-06-09,102.3,"star",60.6,88.2,"Freddie Freeman reached 2,500 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
519242,"salech01","Chris Sale","ATL","pitcher","wins",145,12,157,150,0,"reached_this_season",2026-04-26,104.7,"notable",53.4,86,"Chris Sale reached 150 career wins","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
592518,"machama01","Manny Machado","SDP","hitter","doubles",396,19,415,400,0,"reached_this_season",2026-04-27,103.8,"notable",51.8,85.5,"Manny Machado reached 400 career doubles","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
571448,"arenano01","Nolan Arenado","ARI","hitter","hits",1921,88,2009,2000,0,"reached_this_season",2026-07-20,100.4,"notable",49.6,84.9,"Nolan Arenado reached 2,000 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
571448,"arenano01","Nolan Arenado","ARI","hitter","runs",992,51,1043,1000,0,"reached_this_season",2026-04-21,104.3,"notable",49.6,84.9,"Nolan Arenado reached 1,000 career runs","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
605141,"bettsmo01","Mookie Betts","LAD","hitter","home runs",291,13,304,300,0,"reached_this_season",2026-06-24,101.3,"notable",47.3,84.2,"Mookie Betts reached 300 career home runs","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
605141,"bettsmo01","Mookie Betts","LAD","hitter","doubles",394,11,405,400,0,"reached_this_season",2026-06-19,101.2,"notable",47.3,84.2,"Mookie Betts reached 400 career doubles","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
608070,"ramirjo01","José Ramírez","CLE","hitter","doubles",398,18,416,400,0,"reached_this_season",2026-03-28,104,"notable",44.9,83.5,"José Ramírez reached 400 career doubles","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
608070,"ramirjo01","José Ramírez","CLE","hitter","stolen bases",287,27,314,300,0,"reached_this_season",2026-05-02,104.7,"notable",44.9,83.5,"José Ramírez reached 300 career stolen bases","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
543807,"springe01","George Springer","TOR","hitter","hits",1480,74,1554,1500,0,"reached_this_season",2026-05-18,103.6,"notable",44.4,83.3,"George Springer reached 1,500 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1","2026-08-02","2026-08-22 10:32:45 UTC"
