profile,profile_label,metric,weight
baseline,Baseline,age,0.85
baseline,Baseline,plate_appearances_per_game,0.7
baseline,Baseline,on_base_index,1.2
baseline,Baseline,slugging_index,1.3
baseline,Baseline,isolated_power_index,0.9
baseline,Baseline,walk_index,0.65
baseline,Baseline,strikeout_index,0.75
baseline,Baseline,home_run_index,0.75
baseline,Baseline,speed_index,0.4
durability,Age and playing-time durability,age,1.3
durability,Age and playing-time durability,plate_appearances_per_game,1.15
durability,Age and playing-time durability,on_base_index,1.05
durability,Age and playing-time durability,slugging_index,1.05
durability,Age and playing-time durability,isolated_power_index,0.65
durability,Age and playing-time durability,walk_index,0.5
durability,Age and playing-time durability,strikeout_index,0.65
durability,Age and playing-time durability,home_run_index,0.55
durability,Age and playing-time durability,speed_index,0.55
contact_discipline,"On-base, contact, and discipline",age,0.8
contact_discipline,"On-base, contact, and discipline",plate_appearances_per_game,0.75
contact_discipline,"On-base, contact, and discipline",on_base_index,1.45
contact_discipline,"On-base, contact, and discipline",slugging_index,0.95
contact_discipline,"On-base, contact, and discipline",isolated_power_index,0.55
contact_discipline,"On-base, contact, and discipline",walk_index,1
contact_discipline,"On-base, contact, and discipline",strikeout_index,1.2
contact_discipline,"On-base, contact, and discipline",home_run_index,0.45
contact_discipline,"On-base, contact, and discipline",speed_index,0.3
power_shape,Slugging and power shape,age,0.75
power_shape,Slugging and power shape,plate_appearances_per_game,0.7
power_shape,Slugging and power shape,on_base_index,1
power_shape,Slugging and power shape,slugging_index,1.45
power_shape,Slugging and power shape,isolated_power_index,1.25
power_shape,Slugging and power shape,walk_index,0.55
power_shape,Slugging and power shape,strikeout_index,0.6
power_shape,Slugging and power shape,home_run_index,1.2
power_shape,Slugging and power shape,speed_index,0.25
balanced_components,Balanced component profile,age,0.95
balanced_components,Balanced component profile,plate_appearances_per_game,0.85
balanced_components,Balanced component profile,on_base_index,1.15
balanced_components,Balanced component profile,slugging_index,1.15
balanced_components,Balanced component profile,isolated_power_index,0.85
balanced_components,Balanced component profile,walk_index,0.8
balanced_components,Balanced component profile,strikeout_index,0.9
balanced_components,Balanced component profile,home_run_index,0.8
balanced_components,Balanced component profile,speed_index,0.5
