"sims","avg_BF","avg_starter_BF","avg_H","avg_BB","avg_K","avg_HR","avg_XBH","avg_TB","game_id","game_date","team","opponent","model_version"
2000,36.327,27.999,7.7865,3.1655,9.0315,1.1165,3.3655,13.555,"823337","2026-09-03","San Francisco Giants","Pittsburgh Pirates","starter_bullpen_player_sim_v1"
2000,36.6535,21.933,8.41,3.2055,8.0295,1.0345,2.8505,13.4785,"823337","2026-09-03","Pittsburgh Pirates","San Francisco Giants","starter_bullpen_player_sim_v1"
2000,35.875,23.32,8.204,2.504,6.6305,0.81,2.914,12.909,"824388","2026-09-03","Toronto Blue Jays","Cleveland Guardians","starter_bullpen_player_sim_v1"
2000,35.8725,23.038,7.4995,3.617,6.9285,0.9485,2.732,12.2555,"824388","2026-09-03","Cleveland Guardians","Toronto Blue Jays","starter_bullpen_player_sim_v1"
2000,36.8795,22.355,8.0445,4.0295,8.6745,1.3655,3.3045,14.217,"824144","2026-09-03","Chicago White Sox","Houston Astros","starter_bullpen_player_sim_v1"
2000,37.4135,25.978,9.0015,3.247,7.3205,1.583,3.4625,15.775,"824144","2026-09-03","Houston Astros","Chicago White Sox","starter_bullpen_player_sim_v1"
2000,35.971,24.3365,7.608,3.2525,7.0375,0.6505,3.0805,12.176,"824796","2026-09-03","Boston Red Sox","Baltimore Orioles","starter_bullpen_player_sim_v1"
2000,35.8145,23.2825,6.9475,2.7,8.2435,1.051,2.5875,11.744,"824796","2026-09-03","Baltimore Orioles","Boston Red Sox","starter_bullpen_player_sim_v1"
2000,36.5995,23.442,8.153,3.4185,8.291,0.9335,3.1,13.3205,"824632","2026-09-03","Milwaukee Brewers","Chicago Cubs","starter_bullpen_player_sim_v1"
2000,36.0265,18.876,7.2255,3.352,8.6805,0.988,2.8455,12.1915,"824632","2026-09-03","Chicago Cubs","Milwaukee Brewers","starter_bullpen_player_sim_v1"
2000,36.3355,25.5295,8.097,2.763,7.742,1.227,3.3835,14.114,"824069","2026-09-03","Miami Marlins","Kansas City Royals","starter_bullpen_player_sim_v1"
2000,36.2925,27.174,8.012,2.543,7.303,0.9965,3.2505,13.427,"824069","2026-09-03","Kansas City Royals","Miami Marlins","starter_bullpen_player_sim_v1"
2000,36.9435,28.011,9.0445,2.836,6.1175,1.0745,3.1845,14.537,"822853","2026-09-03","Tampa Bay Rays","Texas Rangers","starter_bullpen_player_sim_v1"
2000,36.0665,20.4215,7.34,2.927,8.5825,1.099,2.971,12.677,"822853","2026-09-03","Texas Rangers","Tampa Bay Rays","starter_bullpen_player_sim_v1"
2000,36.007,22.0365,7.8715,2.95,8.5,0.998,2.8115,12.8215,"823095","2026-09-03","Athletics","Seattle Mariners","starter_bullpen_player_sim_v1"
2000,37.433,28.006,8.9805,3.4335,8.5165,1.3075,2.811,14.528,"823095","2026-09-03","Seattle Mariners","Athletics","starter_bullpen_player_sim_v1"
2000,34.906,23.4105,6.552,2.463,8.37,0.8275,2.346,10.6705,"823907","2026-09-03","St. Louis Cardinals","Los Angeles Dodgers","starter_bullpen_player_sim_v1"
2000,36.991,24.0265,8.873,3.784,5.8775,1.1615,2.9135,14.252,"823907","2026-09-03","Los Angeles Dodgers","St. Louis Cardinals","starter_bullpen_player_sim_v1"
