"story_id","lane","subject","team","headline","deck","evidence","priority","page_link","source_date","theme_match","editorial_score","newsletter_rank","placement","edition_date","theme_id","source_through","generated_at_utc","newsletter_method"
"velocity-683618","pitching","Edgardo Henriquez","Los Angeles Dodgers","Edgardo Henriquez has crossed 100 mph 414 times","The right-now velocity ledger puts 44.8% of his tracked pitches in triple digits.","Maximum velocity: 104.5 mph.",84.9513513513514,"leaderboards.html","2026-09-08",TRUE,97,1,"lead","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"velocity-695243","pitching","Mason Miller","San Diego Padres","Mason Miller has crossed 100 mph 438 times","The right-now velocity ledger puts 43.8% of his tracked pitches in triple digits.","Maximum velocity: 104.0 mph.",84.7687687687688,"leaderboards.html","2026-09-08",TRUE,96.8,2,"feature","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"yesterday-823500-693645","yesterday","Cam Schlittler","New York Yankees","Cam Schlittler delivered one of yesterday's defining performances","7.0 IP, 10 K against Colorado Rockies.","Completed-game performance score: 17.0.",88,"today.html","2026-09-08",FALSE,88,3,"feature","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"standings-141","standings","Toronto Blue Jays","Toronto Blue Jays","Toronto Blue Jays climbed 1 place in the AL East race","The club is 73-73 with a -37 run differential.","Seven-day run-differential change: +18.",87.08,"standings.html","2026-09-08",FALSE,87.1,4,"feature","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"aaa-699302","future","Héctor Rodríguez","Cincinnati Reds","Héctor Rodríguez is the new No. 1 name on Call-Up Radar","Age 22, a 69.1 Triple-A performance score, and a possible Outfield opening with Cincinnati Reds drive the case.","Readiness score: 69.4/100; descriptive, not a transaction probability.",86.88,"aaa.html","2026-09-08",FALSE,86.9,5,"brief","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"standings-121","standings","New York Mets","New York Mets","New York Mets climbed 1 place in the NL East race","The club is 67-78 with a -41 run differential.","Seven-day run-differential change: +15.",86.92,"standings.html","2026-09-08",FALSE,86.9,6,"brief","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"award-NL-MVP","awards","Pete Crow-Armstrong","CHC","Pete Crow-Armstrong holds the current NL MVP performance lead"," 7.0 combined WAR | 23 HR | 60 RBI | 155 wRC+.","Race Rating: 96.7/100.",86.505,"races.html","2026-07-27",FALSE,86.5,7,"brief","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"award-AL-MVP","awards","Yordan Alvarez","HOU","Yordan Alvarez holds the current AL MVP performance lead"," 5.1 combined WAR | 34 HR | 77 RBI | 191 wRC+.","Race Rating: 96.1/100.",86.415,"races.html","2026-07-27",FALSE,86.4,8,"brief","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"projection-824871","game-day","Tampa Bay Rays at Atlanta Braves","Tampa Bay Rays","Tampa Bay Rays at Atlanta Braves anchors today's simulation board","Tampa Bay Rays carries a 50.4% development-model win share in a 8.2-run environment.","One-run probability: 37.8%; calibration still pending.",86,"projections.html","2026-09-09",FALSE,86,9,"brief","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"aaa-687627","future","Kody Huff","Cleveland Guardians","Kody Huff is the new No. 2 name on Call-Up Radar","Age 25, a 79.3 Triple-A performance score, and a possible Catcher opening with Cleveland Guardians drive the case.","Readiness score: 65.0/100; descriptive, not a transaction probability.",85,"aaa.html","2026-09-08",FALSE,85,10,"brief","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"yesterday-824714-672282","yesterday","Reid Detmers","Los Angeles Angels","Reid Detmers delivered one of yesterday's defining performances","6.0 IP, 9 K against Boston Red Sox.","Completed-game performance score: 15.0.",84,"today.html","2026-09-08",FALSE,84,11,"brief","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
"contact-691406","contact","Junior Caminero","Tampa Bay Rays","Junior Caminero has produced 179 batted balls at 100+ mph","That is 41.1% of his tracked contact, with a 116.9 mph maximum.","436 tracked batted balls.",83.2110091743119,"leaderboards.html","2026-09-08",FALSE,83.2,12,"brief","2026-09-09","pitching","2026-09-08","2026-09-09 14:23:55 UTC","deterministic_multi_lane_daily_editor_v1"
