"game_id","forecast_hour","forecast_time_local","temperature_f","apparent_temperature_f","wind_mph","wind_gust_mph","wind_direction","precipitation_probability","precipitation_in","conditions","forecast_timezone","forecast_method"
"822868",0,"2026-07-27 00:00:00 CDT",86.8,90.9,7,11.6,174,0,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"822868",1,"2026-07-27 00:00:00 CDT",84.2,87.1,7.6,14.8,177,0,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"822868",2,"2026-07-27 00:00:00 CDT",82.2,85.3,7.5,16.1,189,0,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"822868",3,"2026-07-27 00:00:00 CDT",82,84.8,9.6,19.5,191,0,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"822868",4,"2026-07-27 00:00:00 CDT",82.9,85.6,8.5,17.4,194,0,0,"Clear","America/Chicago","open_meteo_first_pitch_plus_four_hours_v1"
"824245",0,"2026-07-27 00:00:00 EDT",75.5,80.1,4.7,7.8,273,1,0,"Clear","America/Detroit","open_meteo_first_pitch_plus_four_hours_v1"
"824245",1,"2026-07-27 00:00:00 EDT",73.8,79.2,2.7,6,305,1,0,"Clear","America/Detroit","open_meteo_first_pitch_plus_four_hours_v1"
"824245",2,"2026-07-27 00:00:00 EDT",73,77.7,3.8,4.3,220,0,0,"Partly cloudy","America/Detroit","open_meteo_first_pitch_plus_four_hours_v1"
"824245",3,"2026-07-27 00:00:00 EDT",72,76.8,2.9,6.3,261,0,0,"Clear","America/Detroit","open_meteo_first_pitch_plus_four_hours_v1"
"824245",4,"2026-07-27 00:00:00 EDT",71.1,76.2,2.8,7.6,252,1,0,"Clear","America/Detroit","open_meteo_first_pitch_plus_four_hours_v1"
"823353",0,"2026-07-27 00:00:00 EDT",69.9,74.5,1.2,1.3,202,3,0,"Clear","America/New_York","open_meteo_first_pitch_plus_four_hours_v1"
"823353",1,"2026-07-27 00:00:00 EDT",68.8,72.7,2.9,4.9,238,1,0,"Partly cloudy","America/New_York","open_meteo_first_pitch_plus_four_hours_v1"
"823353",2,"2026-07-27 00:00:00 EDT",68,72.7,0.9,2.2,194,1,0,"Partly cloudy","America/New_York","open_meteo_first_pitch_plus_four_hours_v1"
"823353",3,"2026-07-27 00:00:00 EDT",67.4,71.5,2.5,5.8,243,3,0,"Clear","America/New_York","open_meteo_first_pitch_plus_four_hours_v1"
