"game_id","weather_status","weather_note","weather_location","roof_type","temperature_f","apparent_temperature_f","wind_mph","wind_gust_mph","wind_direction","precipitation_probability","precipitation_in","conditions","first_pitch_local","forecast_time_local","forecast_offset_minutes","forecast_hours","game_window_temperature_low_f","game_window_temperature_high_f","game_window_wind_gust_mph","game_window_precipitation_probability","game_window_precipitation_in","game_window_hours","forecast_timezone","forecast_method"
"824545","available","Nearest-hour first-pitch forecast","Chicago, Illinois","open",65.9,65,9,23.3,91,6,0,"Cloudy","2026-09-18 19:00:00 CDT","2026-09-19 00:00:00 CDT",300,1,63.8,65.9,26.6,18,0,5,"America/Chicago","open_meteo_first_pitch_plus_game_window_v2"
"824788","available","Nearest-hour first-pitch forecast","Baltimore, Maryland","open",71.4,71.1,3.8,8.7,353,0,0,"Clear","2026-09-18 20:00:00 EDT","2026-09-19 00:00:00 EDT",240,1,66.2,71.4,10.1,0,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"822921","indoors","Fixed dome","St. Petersburg, Florida","fixed_dome",,,,,,,,"Indoor environment",,,,0,,,,,,0,,"fixed_dome_no_weather_v1"
"823571","available","Nearest-hour first-pitch forecast","Queens, New York","open",71.3,68,8.7,17.9,359,0,0,"Partly cloudy","2026-09-18 20:00:00 EDT","2026-09-19 00:00:00 EDT",240,1,65.7,71.3,22.1,0,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"824380","available","Nearest-hour first-pitch forecast","Cleveland, Ohio","open",62.8,62.7,3.2,9.4,115,1,0,"Cloudy","2026-09-18 20:00:00 EDT","2026-09-19 00:00:00 EDT",240,1,60.8,63.2,16.1,1,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"824461","available","Nearest-hour first-pitch forecast","Cincinnati, Ohio","open",71.9,77,5.1,13,88,1,0,"Partly cloudy","2026-09-18 20:00:00 EDT","2026-09-19 00:00:00 EDT",240,1,71.2,72,13.4,2,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"823330","available","Nearest-hour first-pitch forecast","Pittsburgh, Pennsylvania","open",63,65.8,0.5,5.8,117,0,0,"Partly cloudy","2026-09-18 20:00:00 EDT","2026-09-19 00:00:00 EDT",240,1,61.6,63,10.5,0,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"822843","available","Nearest-hour first-pitch forecast; roof decision can supersede it","Arlington, Texas","retractable",85.9,86.1,9,21.7,176,0,0,"Clear","2026-09-18 19:00:00 CDT","2026-09-19 00:00:00 CDT",300,1,80.8,85.9,23.3,0,0,5,"America/Chicago","open_meteo_first_pitch_plus_game_window_v2"
"824137","available","Nearest-hour first-pitch forecast; roof decision can supersede it","Houston, Texas","retractable",77.9,85.4,2.2,5.8,114,0,0,"Clear","2026-09-18 19:00:00 CDT","2026-09-19 00:00:00 CDT",300,1,75,77.9,5.8,0,0,5,"America/Chicago","open_meteo_first_pitch_plus_game_window_v2"
"823003","available","Nearest-hour first-pitch forecast","St. Louis, Missouri","open",78.6,85.7,4,8.7,117,1,0,"Clear","2026-09-18 19:00:00 CDT","2026-09-19 00:00:00 CDT",300,1,75.1,78.6,11.4,1,0,5,"America/Chicago","open_meteo_first_pitch_plus_game_window_v2"
"824304","available","Nearest-hour first-pitch forecast","Denver, Colorado","open",61.1,59.5,6.4,14.8,331,0,0,"Clear","2026-09-19 18:00:00 MDT","2026-09-19 00:00:00 MDT",-1080,1,55.3,61.1,14.8,0,0,5,"America/Denver","open_meteo_first_pitch_plus_game_window_v2"
"825029","available","Nearest-hour first-pitch forecast; roof decision can supersede it","Phoenix, Arizona","retractable",86.7,85.1,3.5,3.4,225,0,0,"Clear","2026-09-19 17:00:00 MST","2026-09-19 00:00:00 MST",-1020,1,79.5,86.7,3.4,0,0,5,"America/Phoenix","open_meteo_first_pitch_plus_game_window_v2"
"823249","available","Nearest-hour first-pitch forecast","San Diego, California","open",69.9,73.7,0.9,3.6,315,0,0,"Cloudy","2026-09-19 17:00:00 PDT","2026-09-19 00:00:00 PDT",-1020,1,65.7,69.9,5.1,0,0,5,"America/Los_Angeles","open_meteo_first_pitch_plus_game_window_v2"
"823899","available","Nearest-hour first-pitch forecast","Los Angeles, California","open",65.4,67.9,0.5,4.9,207,0,0,"Clear","2026-09-19 17:00:00 PDT","2026-09-19 00:00:00 PDT",-1020,1,61.3,65.4,5.6,0,0,5,"America/Los_Angeles","open_meteo_first_pitch_plus_game_window_v2"
"823976","available","Nearest-hour first-pitch forecast","Anaheim, California","open",67.7,70.5,1.9,2.7,144,0,0,"Clear","2026-09-19 17:00:00 PDT","2026-09-19 00:00:00 PDT",-1020,1,63.5,67.7,4.9,0,0,5,"America/Los_Angeles","open_meteo_first_pitch_plus_game_window_v2"
