"game_id","team","reason"
"823419","Philadelphia Phillies","confirmed nine-player order unavailable"
"824389","Detroit Tigers","confirmed nine-player order unavailable"
"824389","Cleveland Guardians","confirmed nine-player order unavailable"
"823335","Los Angeles Angels","confirmed nine-player order unavailable"
"823335","Pittsburgh Pirates","confirmed nine-player order unavailable"
"824468","Milwaukee Brewers","confirmed nine-player order unavailable"
"824468","Cincinnati Reds","confirmed nine-player order unavailable"
"824795","Boston Red Sox","confirmed nine-player order unavailable"
"824795","Baltimore Orioles","confirmed nine-player order unavailable"
"822850","Tampa Bay Rays","confirmed nine-player order unavailable"
"822850","Texas Rangers","confirmed nine-player order unavailable"
"824066","Toronto Blue Jays","confirmed nine-player order unavailable"
"824066","Kansas City Royals","confirmed nine-player order unavailable"
"824553","Minnesota Twins","confirmed nine-player order unavailable"
"824553","Chicago White Sox","confirmed nine-player order unavailable"
"824145","Arizona Diamondbacks","confirmed nine-player order unavailable"
"824145","Houston Astros","confirmed nine-player order unavailable"
"823257","New York Yankees","confirmed nine-player order unavailable"
"823257","San Diego Padres","confirmed nine-player order unavailable"
"824310","St. Louis Cardinals","confirmed nine-player order unavailable"
"824310","Colorado Rockies","confirmed nine-player order unavailable"
"823904","Washington Nationals","confirmed nine-player order unavailable"
"823904","Los Angeles Dodgers","confirmed nine-player order unavailable"
"823094","Athletics","confirmed nine-player order unavailable"
"823094","Seattle Mariners","confirmed nine-player order unavailable"
