"game_id","starter_id","starter_name","team_id","team_name"
"823090","807739","Kade Anderson","136","Seattle Mariners"
"823090","674003","Cody Bradford","140","Texas Rangers"
"823172","694918","Blade Tidwell","137","San Francisco Giants"
"823172","669467","Andre Pallante","138","St. Louis Cardinals"
"823251","800600","Jackson Kent","120","Washington Nationals"
"823251","621111","Walker Buehler","135","San Diego Padres"
"823416","686613","Hunter Brown","117","Houston Astros"
"823416","650911","Cristopher Sánchez","143","Philadelphia Phillies"
"823497","608372","Tomoyuki Sugano","115","Colorado Rockies"
"823497","701542","Will Warren","147","New York Yankees"
"823739","592332","Kevin Gausman","112","Chicago Cubs"
"823739","701656","Logan Henderson","158","Milwaukee Brewers"
"823818","476594","Robert Stock","121","New York Mets"
"823818","676083","Janson Junk","146","Miami Marlins"
"823900","695076","Rhett Lowder","113","Cincinnati Reds"
"823900","808967","Yoshinobu Yamamoto","119","Los Angeles Dodgers"
"824064","668678","Zac Gallen","109","Arizona Diamondbacks"
"824064","663738","Daniel Lynch IV","118","Kansas City Royals"
"824226","672456","Keider Montero","116","Detroit Tigers"
"824226","805673","Zebby Matthews","142","Minnesota Twins"
"824549","669199","Lake Bachar","134","Pittsburgh Pirates"
"824549","663436","Davis Martin","145","Chicago White Sox"
"824713","696270","Ryan Johnson","108","Los Angeles Angels"
"824713","687562","Jake Bennett","111","Boston Red Sox"
"824791","669358","Shane Baz","110","Baltimore Orioles"
"824791","656492","Foster Griffin","114","Cleveland Guardians"
"824871","643377","Griffin Jax","139","Tampa Bay Rays"
"824871","625643","Reynaldo López","144","Atlanta Braves"
"824956","669620","Brady Basso","133","Athletics"
"824956","680755","Braydon Fisher","141","Toronto Blue Jays"
