"game_id","driver_order","driver_label","advantage_team","driver_detail"
"824807",1,"Posted-lineup offense","Baltimore Orioles","106 vs 108 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824807",2,"Probable starter","Philadelphia Phillies","Zack Wheeler 2.89 over 6 expected IP vs Kyle Bradish 3.89 over 5.7 expected IP"
"824807",3,"Available bullpen","Philadelphia Phillies","3.51 vs 3.82 FIP blend with active reliever selector"
"824807",4,"Park and weather","Run environment","79 F temperature adjustment; park factor 1"
"824891",1,"Posted-lineup offense","Washington Nationals","110 vs 108 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824891",2,"Probable starter","Washington Nationals","Cade Cavalli 3.34 over 5.1 expected IP vs JR Ritchie 5.12 over 6.8 expected IP"
"824891",3,"Available bullpen","Atlanta Braves","4.98 vs 3.5 FIP blend with active reliever selector"
"824891",4,"Park and weather","Run environment","76 F temperature adjustment; park factor 1"
"822783",1,"Posted-lineup offense","St. Louis Cardinals","97 vs 96 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"822783",2,"Probable starter","St. Louis Cardinals","Matthew Liberatore 4.94 over 4.9 expected IP vs Max Scherzer 7.97 over 3.6 expected IP"
"822783",3,"Available bullpen","Toronto Blue Jays","4.28 vs 3.19 FIP blend with active reliever selector"
"822783",4,"Park and weather","Run environment","72 F temperature adjustment; park factor 1"
"824404",1,"Posted-lineup offense","Arizona Diamondbacks","101 vs 96 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824404",2,"Probable starter","Cleveland Guardians","Merrill Kelly 5.33 over 5.7 expected IP vs Gavin Williams 3.3 over 6.1 expected IP"
"824404",3,"Available bullpen","Cleveland Guardians","3.66 vs 3.59 FIP blend with active reliever selector"
"824404",4,"Park and weather","Run environment","75 F temperature adjustment; park factor 1"
"824483",1,"Posted-lineup offense","Pittsburgh Pirates","113 vs 94 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824483",2,"Probable starter","Cincinnati Reds","Mitch Keller 4.44 over 5.3 expected IP vs Chase Burns 3.23 over 5.6 expected IP"
"824483",3,"Available bullpen","Pittsburgh Pirates","3.68 vs 4.33 FIP blend with active reliever selector"
"824483",4,"Park and weather","Run environment","69 F temperature adjustment; park factor 1"
"822943",1,"Posted-lineup offense","Tampa Bay Rays","106 vs 107 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"822943",2,"Probable starter","Tampa Bay Rays","Anthony Kay 4.8 over 5.1 expected IP vs Griffin Jax 3.75 over 5.1 expected IP"
"822943",3,"Available bullpen","Tampa Bay Rays","3.5 vs 3.34 FIP blend with active reliever selector"
"822943",4,"Park and weather","Run environment","indoor neutral; park factor 1"
"823592",1,"Posted-lineup offense","Miami Marlins","111 vs 91 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"823592",2,"Probable starter","Miami Marlins","Sandy Alcantara 3.95 over 6.6 expected IP vs Robert Stock 4.15 over 5 expected IP"
"823592",3,"Available bullpen","New York Mets","4.11 vs 3.62 FIP blend with active reliever selector"
"823592",4,"Park and weather","Run environment","75 F temperature adjustment; park factor 1"
"824163",1,"Posted-lineup offense","Houston Astros","110 vs 113 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824163",2,"Probable starter","Houston Astros","Kumar Rocker 4.04 over 5.7 expected IP vs Peter Lambert 3.9 over 5.7 expected IP"
"824163",3,"Available bullpen","Texas Rangers","3.78 vs 3.94 FIP blend with active reliever selector"
"824163",4,"Park and weather","Run environment","83 F temperature adjustment; park factor 1"
"824648",1,"Posted-lineup offense","Chicago Cubs","99 vs 113 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824648",2,"Probable starter","New York Yankees","Gerrit Cole 3.62 over 5.7 expected IP vs Colin Rea 4.8 over 6 expected IP"
"824648",3,"Available bullpen","New York Yankees","3.56 vs 3.95 FIP blend with active reliever selector"
"824648",4,"Park and weather","Run environment","69 F temperature adjustment; park factor 1"
"824323",1,"Posted-lineup offense","Kansas City Royals","105 vs 95 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824323",2,"Probable starter","Kansas City Royals","Seth Lugo 4.34 over 5.6 expected IP vs Kyle Freeland 5.33 over 5.3 expected IP"
