"game_id","display_order","margin_group","simulations","probability"
"822868",1,"Away by 5+",1662,0.0831
"822868",2,"Away by 3-4",3142,0.1571
"822868",3,"Away by 2",2645,0.13225
"822868",4,"Away by 1",3785,0.18925
"822868",5,"Home by 1",3390,0.1695
"822868",6,"Home by 2",2224,0.1112
"822868",7,"Home by 3-4",2246,0.1123
"822868",8,"Home by 5+",906,0.0453
"824245",1,"Away by 5+",955,0.04775
"824245",2,"Away by 3-4",2447,0.12235
"824245",3,"Away by 2",2372,0.1186
"824245",4,"Away by 1",3613,0.18065
"824245",5,"Home by 1",3800,0.19
"824245",6,"Home by 2",2479,0.12395
"824245",7,"Home by 3-4",2971,0.14855
"824245",8,"Home by 5+",1363,0.06815
"823353",1,"Away by 5+",616,0.0308
"823353",2,"Away by 3-4",1696,0.0848
"823353",3,"Away by 2",1664,0.0832
"823353",4,"Away by 1",2799,0.13995
"823353",5,"Home by 1",3399,0.16995
"823353",6,"Home by 2",2699,0.13495
"823353",7,"Home by 3-4",3989,0.19945
"823353",8,"Home by 5+",3138,0.1569
"823839",1,"Away by 5+",1843,0.09215
"823839",2,"Away by 3-4",3594,0.1797
"823839",3,"Away by 2",3023,0.15115
"823839",4,"Away by 1",3917,0.19585
"823839",5,"Home by 1",3349,0.16745
"823839",6,"Home by 2",2019,0.10095
"823839",7,"Home by 3-4",1722,0.0861
"823839",8,"Home by 5+",533,0.02665
"822705",1,"Away by 5+",276,0.0138
"822705",2,"Away by 3-4",981,0.04905
"822705",3,"Away by 2",1320,0.066
"822705",4,"Away by 1",2412,0.1206
"822705",5,"Home by 1",3429,0.17145
"822705",6,"Home by 2",2872,0.1436
"822705",7,"Home by 3-4",4677,0.23385
"822705",8,"Home by 5+",4033,0.20165
"824490",1,"Away by 5+",682,0.0341
"824490",2,"Away by 3-4",2100,0.105
"824490",3,"Away by 2",2278,0.1139
"824490",4,"Away by 1",3531,0.17655
"824490",5,"Home by 1",4019,0.20095
"824490",6,"Home by 2",2715,0.13575
"824490",7,"Home by 3-4",3205,0.16025
"824490",8,"Home by 5+",1470,0.0735
"823597",1,"Away by 5+",810,0.0405
"823597",2,"Away by 3-4",2318,0.1159
"823597",3,"Away by 2",2282,0.1141
"823597",4,"Away by 1",3702,0.1851
"823597",5,"Home by 1",3905,0.19525
"823597",6,"Home by 2",2723,0.13615
"823597",7,"Home by 3-4",3003,0.15015
"823597",8,"Home by 5+",1257,0.06285
"824570",1,"Away by 5+",2945,0.14725
"824570",2,"Away by 3-4",4291,0.21455
"824570",3,"Away by 2",2974,0.1487
"824570",4,"Away by 1",3645,0.18225
"824570",5,"Home by 1",2876,0.1438
"824570",6,"Home by 2",1552,0.0776
"824570",7,"Home by 3-4",1358,0.0679
"824570",8,"Home by 5+",359,0.01795
"823025",1,"Away by 5+",2425,0.12125
"823025",2,"Away by 3-4",3661,0.18305
"823025",3,"Away by 2",2701,0.13505
"823025",4,"Away by 1",3421,0.17105
"823025",5,"Home by 1",3109,0.15545
"823025",6,"Home by 2",1892,0.0946
"823025",7,"Home by 3-4",1943,0.09715
"823025",8,"Home by 5+",848,0.0424
"824001",1,"Away by 5+",1090,0.0545
"824001",2,"Away by 3-4",2552,0.1276
"824001",3,"Away by 2",2422,0.1211
"824001",4,"Away by 1",3572,0.1786
"824001",5,"Home by 1",3679,0.18395
"824001",6,"Home by 2",2462,0.1231
"824001",7,"Home by 3-4",2783,0.13915
"824001",8,"Home by 5+",1440,0.072
"824977",1,"Away by 5+",3191,0.15955
"824977",2,"Away by 3-4",4379,0.21895
"824977",3,"Away by 2",3017,0.15085
"824977",4,"Away by 1",3627,0.18135
"824977",5,"Home by 1",2749,0.13745
"824977",6,"Home by 2",1482,0.0741
"824977",7,"Home by 3-4",1224,0.0612
"824977",8,"Home by 5+",331,0.01655
"823195",1,"Away by 5+",1717,0.08585
"823195",2,"Away by 3-4",3051,0.15255
"823195",3,"Away by 2",2484,0.1242
"823195",4,"Away by 1",3459,0.17295
"823195",5,"Home by 1",3434,0.1717
"823195",6,"Home by 2",2229,0.11145
"823195",7,"Home by 3-4",2445,0.12225
"823195",8,"Home by 5+",1181,0.05905
