"game_id","score_rank","away_runs","home_runs","simulations","probability"
"824803",1,4,3,986,0.0493
"824803",2,3,4,973,0.04865
"824803",3,4,5,938,0.0469
"824803",4,5,4,834,0.0417
"824803",5,3,2,737,0.03685
"823341",1,4,5,907,0.04535
"823341",2,3,4,901,0.04505
"823341",3,4,3,854,0.0427
"823341",4,5,4,841,0.04205
"823341",5,3,5,710,0.0355
"824398",1,4,5,892,0.0446
"824398",2,3,4,859,0.04295
"824398",3,3,5,777,0.03885
"824398",4,5,4,773,0.03865
"824398",5,4,3,682,0.0341
"824475",1,4,3,981,0.04905
"824475",2,5,4,911,0.04555
"824475",3,4,5,877,0.04385
"824475",4,3,4,809,0.04045
"824475",5,5,3,749,0.03745
"822938",1,3,4,1069,0.05345
"822938",2,4,3,1055,0.05275
"822938",3,5,4,880,0.044
"822938",4,4,5,815,0.04075
"822938",5,3,2,810,0.0405
"823423",1,3,4,1138,0.0569
"823423",2,4,3,1031,0.05155
"823423",3,2,3,931,0.04655
"823423",4,2,4,853,0.04265
"823423",5,3,2,823,0.04115
"824723",1,3,4,1041,0.05205
"824723",2,2,4,913,0.04565
"824723",3,3,5,838,0.0419
"824723",4,2,3,819,0.04095
"824723",5,4,5,809,0.04045
"823586",1,3,4,1078,0.0539
"823586",2,4,3,965,0.04825
"823586",3,4,5,847,0.04235
"823586",4,2,3,811,0.04055
"823586",5,5,4,802,0.0401
"824075",1,4,5,836,0.0418
"824075",2,3,4,758,0.0379
"824075",3,5,4,757,0.03785
"824075",4,5,6,730,0.0365
"824075",5,6,5,706,0.0353
"823667",1,5,4,854,0.0427
"823667",2,4,5,853,0.04265
"823667",3,4,3,770,0.0385
"823667",4,3,4,713,0.03565
"823667",5,5,3,687,0.03435
"823749",1,3,4,1080,0.054
"823749",2,4,3,958,0.0479
"823749",3,2,3,899,0.04495
"823749",4,4,5,874,0.0437
"823749",5,2,4,873,0.04365
"822859",1,5,4,851,0.04255
"822859",2,4,5,779,0.03895
"822859",3,6,5,747,0.03735
"822859",4,5,6,703,0.03515
"822859",5,4,3,686,0.0343
"824639",1,4,5,916,0.0458
"824639",2,4,3,887,0.04435
"824639",3,5,4,883,0.04415
"824639",4,3,4,853,0.04265
"824639",5,3,5,734,0.0367
"824154",1,4,5,830,0.0415
"824154",2,5,6,772,0.0386
"824154",3,5,4,742,0.0371
"824154",4,6,5,736,0.0368
"824154",5,4,6,620,0.031
"824319",1,5,4,828,0.0414
"824319",2,6,4,733,0.03665
"824319",3,5,3,695,0.03475
"824319",4,4,3,659,0.03295
"824319",5,6,3,643,0.03215
