"event","mean_per_game","game_id","game_date"
"double_plays",1.252,"823342","2026-08-19"
"productive_out_runs",0.804,"823342","2026-08-19"
"sacrifice_flies",0.804,"823342","2026-08-19"
"steal_attempts",0.816,"823342","2026-08-19"
"stolen_bases",0.708,"823342","2026-08-19"
"caught_stealing",0.108,"823342","2026-08-19"
"relievers_used",9.532,"823342","2026-08-19"
"double_plays",1.436,"823587","2026-08-19"
"productive_out_runs",0.836,"823587","2026-08-19"
"sacrifice_flies",0.836,"823587","2026-08-19"
"steal_attempts",1.516,"823587","2026-08-19"
"stolen_bases",1.296,"823587","2026-08-19"
"caught_stealing",0.22,"823587","2026-08-19"
"relievers_used",9.524,"823587","2026-08-19"
"double_plays",1.292,"823664","2026-08-19"
"productive_out_runs",0.688,"823664","2026-08-19"
"sacrifice_flies",0.688,"823664","2026-08-19"
"steal_attempts",1.22,"823664","2026-08-19"
"stolen_bases",1.116,"823664","2026-08-19"
"caught_stealing",0.104,"823664","2026-08-19"
"relievers_used",9.636,"823664","2026-08-19"
"double_plays",1.368,"824640","2026-08-19"
"productive_out_runs",0.796,"824640","2026-08-19"
"sacrifice_flies",0.796,"824640","2026-08-19"
"steal_attempts",1.04,"824640","2026-08-19"
"stolen_bases",0.928,"824640","2026-08-19"
"caught_stealing",0.112,"824640","2026-08-19"
"relievers_used",8.532,"824640","2026-08-19"
