"opportunities","converted_outs","expected_outs","outs_above_expected","estimated_range_runs","routine_opportunities","routine_conversion_rate","difficult_conversions","team","reliability","adjusted_range_runs","fielding_score","model_version","source_through","generated_at_utc"
3493,2442,2457.82742506825,-15.8274250682479,-16.5780316971924,2041,0.943655071043606,71,"Arizona Diamondbacks",0.897251477010018,-14.8746634262247,110.226915365804,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3320,2203,2272.34353520559,-69.3435352055936,-62.6617504831782,1891,0.931253305129561,47,"Athletics",0.89247311827957,-55.9239278505784,82.6734045439594,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3250,2294,2304.23105666092,-10.2310566609188,-10.8198036801546,1905,0.942782152230971,57,"Atlanta Braves",0.89041095890411,-9.63407177000067,113.014799000287,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3435,2332,2414.37333279349,-82.3733327934919,-71.8605891027922,1976,0.933704453441296,58,"Baltimore Orioles",0.895697522816167,-64.3653516474814,78.4934389168667,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3272,2254,2303.59645331319,-49.5964533131926,-44.0135590254224,1902,0.923238696109359,66,"Boston Red Sox",0.891067538126362,-39.2190536849625,93.303911223067,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3358,2405,2397.79152056176,7.20847943823993,1.61826906953464,1974,0.945795339412361,62,"Chicago Cubs",0.893560404470463,1.44602116431541,120.467169849723,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3160,2244,2261.1957929349,-17.1957929348968,-17.2490539234404,1885,0.941644562334218,58,"Chicago White Sox",0.887640449438202,-15.3109579769864,108.892083361144,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3360,2315,2352.50494810936,-37.5049481093627,-34.8723735403952,1912,0.936192468619247,58,"Cincinnati Reds",0.893617021276596,-31.1625465680128,99.2286954792905,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3050,2123,2154.8012842434,-31.8012842433965,-27.9438085463646,1769,0.931034482758621,63,"Cleveland Guardians",0.884057971014493,-24.7039466859165,101.790257118728,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3696,2449,2546.13096779299,-97.1309677929927,-87.4036062557801,2074,0.927193828351012,64,"Colorado Rockies",0.90234375,-78.8680978323641,72.6946722254174,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3221,2267,2292.2712448695,-25.2712448695018,-23.796277592706,1923,0.93083723348934,56,"Detroit Tigers",0.889533278099972,-21.1675808136166,105.131873413986,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
2927,2037,2076.43297098317,-39.4329709831653,-36.5817481398233,1741,0.940264215967835,49,"Houston Astros",0.879771565975353,-32.1835818470883,95.4980261848286,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3376,2328,2360.87868599218,-32.8786859921774,-32.3590905539022,1910,0.944502617801047,54,"Kansas City Royals",0.894067796610169,-28.9312207918363,100.771499034248,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3073,2140,2163.55558458317,-23.5555845831689,-20.9048830730675,1790,0.937988826815642,57,"Los Angeles Angels",0.884825799021019,-18.4971798685679,106.32138667997,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3001,2136,2139.19829655779,-3.19829655779453,-7.59533728583922,1795,0.955431754874652,46,"Los Angeles Dodgers",0.882387533078506,-6.70203093055087,114.545826656129,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3321,2339,2359.18753356215,-20.1875335621483,-19.8761394480817,1995,0.941854636591479,56,"Miami Marlins",0.892502015587208,-17.7394945195054,107.830802416043,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3060,2142,2200.27334234354,-58.2733423435395,-49.9172201597964,1842,0.93485342019544,41,"Milwaukee Brewers",0.884393063583815,-44.1464432627101,88.0154195898095,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3253,2245,2321.51948883925,-76.5194888392512,-68.1536650386321,1929,0.923276308968377,55,"Minnesota Twins",0.890500958116616,-60.6909040160608,78.7332878720752,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
2831,1971,2038.96744425366,-67.9674442536603,-57.7858411962428,1701,0.919459141681364,55,"New York Mets",0.876199319096255,-50.6319147095523,80.5778622329562,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
3135,2256,2254.85700465747,1.14299534252821,-1.12664581076283,1867,0.938939475093733,65,"New York Yankees",0.886845827439887,-0.999161136277647,118.756490751017,"sabrhood_fielding_context_v1","2026-09-06","2026-09-07 15:38:47 UTC"
