"season","player_id","player_name","team_id","team","primary_position","fielding_runs","infield_outfield_runs","range_runs","arm_runs","double_play_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","fielding_opportunities","innings","source","model_version","team_short","league","reliability","fielding_runs_per_1000","shrunk_fielding_rate","gold_glove_score","sabrhood_advancement_runs","advancement_prevention_score","position_rank","watch_status","gold_glove_method","source_through","generated_at_utc"
2026,"502671","Paul Goldschmidt","147","New York Yankees","1B",3.97273210469761,3.97273210469761,3.2317337259758,,0.740998378721814,,,,,1624,247.888888888889,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","New York Yankees","AL",0.497879937513948,16.0262612919222,7.97915397060445,114.441991039403,-0.718341547224198,96.3917378117799,1,"front line","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
2026,"624413","Pete Alonso","110","Baltimore Orioles","1B",3.86037616345462,3.86037616345462,3.28386370270978,,0.576512460744849,,,,,2947,465,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Baltimore Orioles","AL",0.65034965034965,8.30188422248306,5.39912750133514,110.219479925278,-0.346523223653867,101.140375592721,2,"front line","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
2026,"694378","Jacob Gonzalez","145","Chicago White Sox","1B",2.41392270242492,2.41392270242492,2.37593474461848,,0.0379879578064473,,,,,1022,164.444444444444,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Chicago White Sox","AL",0.396782841823056,14.6792596769083,5.82447837046228,108.791887440579,-0.2774418096776,98.3633159026087,3,"front line","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
2026,"665489","Vladimir Guerrero Jr.","141","Toronto Blue Jays","1B",2.93650447256882,2.93650447256882,2.28873179971123,,0.647772672857589,,,,,2516,394.888888888889,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Toronto Blue Jays","AL",0.612336319779462,7.43628031882931,4.55350452328039,107.917029681108,-0.850456543116939,98.9632005400785,4,"on the watch","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
2026,"694384","Nolan Schanuel","108","Los Angeles Angels","1B",2.5602571012309,2.5602571012309,2.54905036809673,,0.0112067331341643,,,,,2488,402.777777777778,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Los Angeles Angels","AL",0.617021276595745,6.35650038926292,3.92209598486435,106.448734442442,-0.594248009425806,100,5,"on the watch","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
2026,"669394","Jake Burger","140","Texas Rangers","1B",2.40198603716415,2.40198603716415,0.988759180643209,,1.41322685652094,,,,,2890,457,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Texas Rangers","AL",0.646393210749646,5.25598695221915,3.39743428170319,105.325965082484,-0.48955348914962,100.084257288584,6,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
2026,"671277","Luis García Jr.","147","New York Yankees","1B",1.63832361171311,1.63832361171311,0.0719871275940962,,1.56633648411901,,,,,2112,345,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","New York Yankees","AL",0.579831932773109,4.74876409192205,2.7534850617027,103.562786601592,0.00836579864346874,101.197990788628,7,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
2026,"665019","Kody Clemens","142","Minnesota Twins","1B",1.7417342526673,1.7417342526673,3.67214500004134,-1.59172881431061,-0.338681933063438,,,,,2597,415.888888888889,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Minnesota Twins","AL",0.624561988987152,4.18797976863632,2.61565297413745,103.368545979157,0.207145847420841,104.538180225334,8,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
2026,"647304","Josh Naylor","136","Seattle Mariners","1B",1.5967306327832,1.5967306327832,0.631587211520184,,0.96514342126302,,,,,2923,451.333333333333,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Seattle Mariners","AL",0.643536121673004,3.53780790129218,2.27670717602168,102.597807903905,-0.260758718269117,101.172085127096,9,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
2026,"686469","Vinnie Pasquantino","118","Kansas City Royals","1B",1.00736627199705,1.00736627199705,0.889323147926255,,0.118043124070795,,,,,2001,312.555555555556,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Kansas City Royals","AL",0.555599446968201,3.22299909277407,1.79069651352428,101.319265515249,0.645683609327976,108.176176695695,10,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-08-11","2026-08-12 11:07:07 UTC"
