"note_id","report_date","category","subject_id","subject_name","historical_date","years_ago","headline","body","evidence_source","rarity","magnitude","timeliness","relevance","confidence","novelty","career_significance_score","recognition_tier","career_summary","career_final_year","years_since_final_game","familiarity_recency","recognition","historical_importance","broadcast_value","story_score","score_method","generated_at_utc"
"debut_anniversary_salmoti01_2026-08-21","2026-08-21","debut_anniversary","salmoti01","Tim Salmon",1992-08-21,34,"Tim Salmon: 34 years since MLB debut","Tim Salmon's MLB debut came 34 years ago today, on 1992-08-21. Tim Salmon finished with 1,674 hits, 299 home runs.","People$debut",0.722,0.69,1,0.567165320926953,1,0.8,52.3,"notable","Tim Salmon finished with 1,674 hits, 299 home runs.",2006,20,0.621145157615452,0.523,0.523,0.68995,69,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_pencehu01_2026-08-21","2026-08-21","final_game_anniversary","pencehu01","Hunter Pence",2020-08-21,6,"Hunter Pence: 6 years since final MLB appearance","Hunter Pence's final MLB appearance came 6 years ago today, on 2020-08-21. Hunter Pence finished with 4 All-Star selections, 1,791 hits, 244 home runs.","People$finalGame",0.498,0.61975,1,0.661245054887582,1,0.8,49.3,"notable","Hunter Pence finished with 4 All-Star selections, 1,791 hits, 244 home runs.",2020,6,0.866877899750182,0.493,0.493,0.67045,68.7,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_koosmje01_2026-08-21","2026-08-21","final_game_anniversary","koosmje01","Jerry Koosman",1985-08-21,41,"Jerry Koosman: 41 years since final MLB appearance","Jerry Koosman's final MLB appearance came 41 years ago today, on 1985-08-21. Jerry Koosman finished with 2 All-Star selections, 222 wins, 2,556 strikeouts.","People$finalGame",0.778,0.76,1,0.55,1,0.8,56.2,"notable","Jerry Koosman finished with 2 All-Star selections, 222 wins, 2,556 strikeouts.",1985,41,0.376743582225808,0.562,0.562,0.7153,66.9,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_lankfra01_2026-08-21","2026-08-21","debut_anniversary","lankfra01","Ray Lankford",1990-08-21,36,"Ray Lankford: 36 years since MLB debut","Ray Lankford's MLB debut came 36 years ago today, on 1990-08-21. Ray Lankford finished with 1 All-Star selections, 1,561 hits, 238 home runs.","People$debut",0.738,0.71,1,0.55,1,0.8,42.2,"notable","Ray Lankford finished with 1 All-Star selections, 1,561 hits, 238 home runs.",2004,22,0.592260016295893,0.422,0.422,0.6243,64.6,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_weyhigu01_2026-08-21","2026-08-21","final_game_anniversary","weyhigu01","Gus Weyhing",1901-08-21,125,"Gus Weyhing: 125 years since final MLB appearance","Gus Weyhing's final MLB appearance came 125 years ago today, on 1901-08-21. Gus Weyhing finished with 264 wins, 1,667 strikeouts.","People$finalGame",1,1,1,0.55,1,0.8,54.4,"notable","Gus Weyhing finished with 264 wins, 1,667 strikeouts.",1901,125,0.2,0.544,0.544,0.7036,64.1,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_swindgr01_2026-08-21","2026-08-21","debut_anniversary","swindgr01","Greg Swindell",1986-08-21,40,"Greg Swindell: 40 years since MLB debut","Greg Swindell's MLB debut came 40 years ago today, on 1986-08-21. Greg Swindell finished with 1 All-Star selections, 123 wins, 1,542 strikeouts.","People$debut",0.77,0.75,1,0.55,1,0.8,38.1,"established","Greg Swindell finished with 1 All-Star selections, 123 wins, 1,542 strikeouts.",2002,24,0.564718122007759,0.381,0.381,0.59765,63,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_kennead01_2026-08-21","2026-08-21","debut_anniversary","kennead01","Adam Kennedy",1999-08-21,27,"Adam Kennedy: 27 years since MLB debut","Adam Kennedy's MLB debut came 27 years ago today, on 1999-08-21. Adam Kennedy finished with 1,488 hits, 80 home runs.","People$debut",0.666,0.62,1,0.55,1,0.8,37.7,"established","Adam Kennedy finished with 1,488 hits, 80 home runs.",2012,14,0.716531310573789,0.377,0.377,0.59505,62.8,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_lewisda01_2026-08-21","2026-08-21","debut_anniversary","lewisda01","Darren Lewis",1990-08-21,36,"Darren Lewis: 36 years since MLB debut","Darren Lewis's MLB debut came 36 years ago today, on 1990-08-21. Darren Lewis finished with 1,021 hits, 27 home runs.","People$debut",0.738,0.71,1,0.55,1,0.8,37.8,"established","Darren Lewis finished with 1,021 hits, 27 home runs.",2002,24,0.564718122007759,0.378,0.378,0.5957,62.3,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_rhodear01_2026-08-21","2026-08-21","debut_anniversary","rhodear01","Arthur Rhodes",1991-08-21,35,"Arthur Rhodes: 35 years since MLB debut","Arthur Rhodes's MLB debut came 35 years ago today, on 1991-08-21. Arthur Rhodes finished with 1 All-Star selections, 87 wins, 1,152 strikeouts.","People$debut",0.73,0.7,1,0.55,1,0.8,32.2,"established","Arthur Rhodes finished with 1 All-Star selections, 87 wins, 1,152 strikeouts.",2011,15,0.69967253737513,0.322,0.35,0.5593,61.7,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_lampde01_2026-08-21","2026-08-21","debut_anniversary","lampde01","Dennis Lamp",1977-08-21,49,"Dennis Lamp: 49 years since MLB debut","Dennis Lamp's MLB debut came 49 years ago today, on 1977-08-21. Dennis Lamp finished with 96 wins, 857 strikeouts.","People$debut",0.842,0.84,1,0.55,1,0.8,28.3,"established","Dennis Lamp finished with 96 wins, 857 strikeouts.",1992,34,0.445069953842762,0.283,0.35,0.53395,58.7,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_tablepa01_2026-08-21","2026-08-21","debut_anniversary","tablepa01","Pat Tabler",1981-08-21,45,"Pat Tabler: 45 years since MLB debut","Pat Tabler's MLB debut came 45 years ago today, on 1981-08-21. Pat Tabler finished with 1 All-Star selections, 1,101 hits, 47 home runs.","People$debut",0.81,0.8,1,0.55,1,0.8,28.6,"established","Pat Tabler finished with 1 All-Star selections, 1,101 hits, 47 home runs.",1992,34,0.445069953842762,0.286,0.35,0.5359,58.3,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_johnsni01_2026-08-21","2026-08-21","debut_anniversary","johnsni01","Nick Johnson",2001-08-21,25,"Nick Johnson: 25 years since MLB debut","Nick Johnson's MLB debut came 25 years ago today, on 2001-08-21. Nick Johnson finished with 723 hits, 95 home runs.","People$debut",0.65,0.6,1,0.55,1,0.8,24.9,"established","Nick Johnson finished with 723 hits, 95 home runs.",2012,14,0.716531310573789,0.249,0.35,0.51185,57.9,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_turnetr01_2026-08-21","2026-08-21","debut_anniversary","turnetr01","Trea Turner",2015-08-21,11,"Trea Turner: 11 years since MLB debut","Trea Turner's MLB debut came 11 years ago today, on 2015-08-21. Trea Turner finished with 3 All-Star selections, 1,531 hits, 186 home runs.","People$debut",0.538,0.559,1,0.55,1,0.8,41.2,"notable","Trea Turner finished with 3 All-Star selections, 1,531 hits, 186 home runs.",,,0.35,0.412,0.412,0.6178,57.3,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_abbotpa01_2026-08-21","2026-08-21","debut_anniversary","abbotpa01","Paul Abbott",1990-08-21,36,"Paul Abbott: 36 years since MLB debut","Paul Abbott's MLB debut came 36 years ago today, on 1990-08-21. Paul Abbott finished with 43 wins, 496 strikeouts.","People$debut",0.738,0.71,1,0.55,1,0.8,21.2,"established","Paul Abbott finished with 43 wins, 496 strikeouts.",2004,22,0.592260016295893,0.212,0.35,0.4878,56.6,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_cruzju02_2026-08-21","2026-08-21","debut_anniversary","cruzju02","Juan Cruz",2001-08-21,25,"Juan Cruz: 25 years since MLB debut","Juan Cruz's MLB debut came 25 years ago today, on 2001-08-21. Juan Cruz finished with 38 wins, 659 strikeouts.","People$debut",0.65,0.6,1,0.55,1,0.8,21,"established","Juan Cruz finished with 38 wins, 659 strikeouts.",2012,14,0.716531310573789,0.21,0.35,0.4865,56.4,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_wolfji01_2026-08-21","2026-08-21","final_game_anniversary","wolfji01","Chicken Wolf",1892-08-21,134,"Chicken Wolf: 134 years since final MLB appearance","Chicken Wolf's final MLB appearance came 134 years ago today, on 1892-08-21. Chicken Wolf finished with 1,439 hits, 18 home runs.","People$finalGame",1,1,1,0.55,1,0.8,32.7,"established","Chicken Wolf finished with 1,439 hits, 18 home runs.",1892,134,0.2,0.327,0.35,0.56255,56,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_scottro01_2026-08-21","2026-08-21","final_game_anniversary","scottro01","Rodney Scott",1982-08-21,44,"Rodney Scott: 44 years since final MLB appearance","Rodney Scott's final MLB appearance came 44 years ago today, on 1982-08-21. Rodney Scott finished with 504 hits, 3 home runs.","People$finalGame",0.802,0.79,1,0.55,1,0.8,26.6,"established","Rodney Scott finished with 504 hits, 3 home runs.",1982,44,0.350771926902811,0.266,0.35,0.5229,55.9,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_grosswa01_2026-08-21","2026-08-21","debut_anniversary","grosswa01","Wayne Gross",1976-08-21,50,"Wayne Gross: 50 years since MLB debut","Wayne Gross's MLB debut came 50 years ago today, on 1976-08-21. Wayne Gross finished with 1 All-Star selections, 727 hits, 121 home runs.","People$debut",0.85,0.85,1,0.55,1,0.8,22.6,"established","Wayne Gross finished with 1 All-Star selections, 727 hits, 121 home runs.",1986,40,0.385821306829124,0.226,0.35,0.4969,55.7,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_snydech02_2026-08-21","2026-08-21","debut_anniversary","snydech02","Chris Snyder",2004-08-21,22,"Chris Snyder: 22 years since MLB debut","Chris Snyder's MLB debut came 22 years ago today, on 2004-08-21. Chris Snyder finished with 467 hits, 77 home runs.","People$debut",0.626,0.57,1,0.55,1,0.8,18.4,"limited","Chris Snyder finished with 467 hits, 77 home runs.",2013,13,0.733796299850087,0.184,0.35,0.4696,55,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_crosbbo01_2026-08-21","2026-08-21","final_game_anniversary","crosbbo01","Bobby Crosby",2010-08-21,16,"Bobby Crosby: 16 years since final MLB appearance","Bobby Crosby's final MLB appearance came 16 years ago today, on 2010-08-21. Bobby Crosby finished with 605 hits, 62 home runs.","People$finalGame",0.578,0.51,1,0.55,1,0.8,21.2,"established","Bobby Crosby finished with 605 hits, 62 home runs.",2010,16,0.683210422674948,0.212,0.35,0.4878,54.8,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_mahayro01_2026-08-21","2026-08-21","final_game_anniversary","mahayro01","Ron Mahay",2010-08-21,16,"Ron Mahay: 16 years since final MLB appearance","Ron Mahay's final MLB appearance came 16 years ago today, on 2010-08-21. Ron Mahay finished with 27 wins, 470 strikeouts.","People$finalGame",0.578,0.51,1,0.55,1,0.8,20.4,"established","Ron Mahay finished with 27 wins, 470 strikeouts.",2010,16,0.683210422674948,0.204,0.35,0.4826,54.5,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_bloodji01_2026-08-21","2026-08-21","final_game_anniversary","bloodji01","Jimmy Bloodworth",1951-08-21,75,"Jimmy Bloodworth: 75 years since final MLB appearance","Jimmy Bloodworth's final MLB appearance came 75 years ago today, on 1951-08-21. Jimmy Bloodworth finished with 874 hits, 62 home runs.","People$finalGame",1,1,1,0.55,1,0.8,27.1,"established","Jimmy Bloodworth finished with 874 hits, 62 home runs.",1951,75,0.2,0.271,0.35,0.52615,54.3,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_mortoca01_2026-08-21","2026-08-21","final_game_anniversary","mortoca01","Carl Morton",1976-08-21,50,"Carl Morton: 50 years since final MLB appearance","Carl Morton's final MLB appearance came 50 years ago today, on 1976-08-21. Carl Morton finished with 87 wins, 650 strikeouts.","People$finalGame",0.85,0.85,1,0.55,1,0.8,22.9,"established","Carl Morton finished with 87 wins, 650 strikeouts.",1976,50,0.304076431284833,0.229,0.35,0.49885,54.2,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_torrean02_2026-08-21","2026-08-21","final_game_anniversary","torrean02","Andres Torres",2013-08-21,13,"Andres Torres: 13 years since final MLB appearance","Andres Torres's final MLB appearance came 13 years ago today, on 2013-08-21. Andres Torres finished with 462 hits, 32 home runs.","People$finalGame",0.554,0.48,1,0.55,1,0.8,19,"limited","Andres Torres finished with 462 hits, 32 home runs.",2013,13,0.733796299850087,0.19,0.35,0.4735,53.9,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_jacobmi02_2026-08-21","2026-08-21","debut_anniversary","jacobmi02","Mike Jacobs (born 1980)",2005-08-21,21,"Mike Jacobs (born 1980): 21 years since MLB debut","Mike Jacobs (born 1980)'s MLB debut came 21 years ago today, on 2005-08-21. Mike Jacobs (born 1980) finished with 493 hits, 100 home runs.","People$debut",0.618,0.56,1,0.55,1,0.8,16.7,"limited","Mike Jacobs (born 1980) finished with 493 hits, 100 home runs.",2012,14,0.716531310573789,0.167,0.35,0.45855,53.9,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_plantph01_2026-08-21","2026-08-21","debut_anniversary","plantph01","Phil Plantier",1990-08-21,36,"Phil Plantier: 36 years since MLB debut","Phil Plantier's MLB debut came 36 years ago today, on 1990-08-21. Phil Plantier finished with 457 hits, 91 home runs.","People$debut",0.738,0.71,1,0.55,1,0.8,16.3,"limited","Phil Plantier finished with 457 hits, 91 home runs.",1997,29,0.501337280177891,0.163,0.35,0.45595,53.2,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_churcry01_2026-08-21","2026-08-21","debut_anniversary","churcry01","Ryan Church",2004-08-21,22,"Ryan Church: 22 years since MLB debut","Ryan Church's MLB debut came 22 years ago today, on 2004-08-21. Ryan Church finished with 500 hits, 56 home runs.","People$debut",0.626,0.57,1,0.55,1,0.8,14.7,"limited","Ryan Church finished with 500 hits, 56 home runs.",2010,16,0.683210422674948,0.147,0.35,0.44555,52.7,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_jeffcmi01_2026-08-21","2026-08-21","debut_anniversary","jeffcmi01","Mike Jeffcoat",1983-08-21,43,"Mike Jeffcoat: 43 years since MLB debut","Mike Jeffcoat's MLB debut came 43 years ago today, on 1983-08-21. Mike Jeffcoat finished with 25 wins, 242 strikeouts.","People$debut",0.794,0.78,1,0.55,1,0.8,14.3,"limited","Mike Jeffcoat finished with 25 wins, 242 strikeouts.",1994,32,0.466776481651681,0.143,0.35,0.44295,52.5,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_rusinch01_2026-08-21","2026-08-21","debut_anniversary","rusinch01","Chris Rusin",2012-08-21,14,"Chris Rusin: 14 years since MLB debut","Chris Rusin's MLB debut came 14 years ago today, on 2012-08-21. Chris Rusin finished with 20 wins, 341 strikeouts.","People$debut",0.562,0.49,1,0.55,1,0.8,13.3,"limited","Chris Rusin finished with 20 wins, 341 strikeouts.",2020,6,0.866877899750182,0.133,0.35,0.43645,52.3,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_eickhje01_2026-08-21","2026-08-21","debut_anniversary","eickhje01","Jerad Eickhoff",2015-08-21,11,"Jerad Eickhoff: 11 years since MLB debut","Jerad Eickhoff's MLB debut came 11 years ago today, on 2015-08-21. Jerad Eickhoff finished with 21 wins, 413 strikeouts.","People$debut",0.538,0.46,1,0.55,1,0.8,13.4,"limited","Jerad Eickhoff finished with 21 wins, 413 strikeouts.",2022,4,0.909156442876713,0.134,0.35,0.4371,52.2,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_baldsja01_2026-08-21","2026-08-21","final_game_anniversary","baldsja01","Jack Baldschun",1970-08-21,56,"Jack Baldschun: 56 years since final MLB appearance","Jack Baldschun's final MLB appearance came 56 years ago today, on 1970-08-21. Jack Baldschun finished with 48 wins, 555 strikeouts.","People$finalGame",0.898,0.91,1,0.55,1,0.8,17.4,"limited","Jack Baldschun finished with 48 wins, 555 strikeouts.",1970,56,0.263597138115727,0.174,0.35,0.4631,51.5,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_fosteke01_2026-08-21","2026-08-21","final_game_anniversary","fosteke01","Kevin Foster",2001-08-21,25,"Kevin Foster: 25 years since final MLB appearance","Kevin Foster's final MLB appearance came 25 years ago today, on 2001-08-21. Kevin Foster finished with 32 wins, 417 strikeouts.","People$finalGame",0.65,0.6,1,0.55,1,0.8,14.3,"limited","Kevin Foster finished with 32 wins, 417 strikeouts.",2001,25,0.551431257080004,0.143,0.35,0.44295,51.5,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_dailyhu01_2026-08-21","2026-08-21","final_game_anniversary","dailyhu01","Hugh Daily",1887-08-21,139,"Hugh Daily: 139 years since final MLB appearance","Hugh Daily's final MLB appearance came 139 years ago today, on 1887-08-21. Hugh Daily finished with 73 wins, 846 strikeouts.","People$finalGame",1,1,1,0.55,1,0.8,18.5,"limited","Hugh Daily finished with 73 wins, 846 strikeouts.",1887,139,0.2,0.185,0.35,0.47025,51.2,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_guerrja01_2026-08-21","2026-08-21","final_game_anniversary","guerrja01","Javy Guerra (born 1985)",2021-08-21,5,"Javy Guerra (born 1985): 5 years since final MLB appearance","Javy Guerra (born 1985)'s final MLB appearance came 5 years ago today, on 2021-08-21. Javy Guerra (born 1985) finished with 11 wins, 245 strikeouts.","People$finalGame",0.49,0.4,1,0.55,1,0.8,13.4,"limited","Javy Guerra (born 1985) finished with 11 wins, 245 strikeouts.",2021,5,0.887765525206578,0.134,0.35,0.4371,51,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_gourryu01_2026-08-21","2026-08-21","debut_anniversary","gourryu01","Yuli Gurriel",2016-08-21,10,"Yuli Gurriel: 10 years since MLB debut","Yuli Gurriel's MLB debut came 10 years ago today, on 2016-08-21. Yuli Gurriel finished with 956 hits, 98 home runs.","People$debut",0.53,0.45,1,0.55,1,0.8,25,"established","Yuli Gurriel finished with 956 hits, 98 home runs.",,,0.35,0.25,0.35,0.5125,50.8,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_leedo01_2026-08-21","2026-08-21","final_game_anniversary","leedo01","Don Lee",1966-08-21,60,"Don Lee: 60 years since final MLB appearance","Don Lee's final MLB appearance came 60 years ago today, on 1966-08-21. Don Lee finished with 40 wins, 467 strikeouts.","People$finalGame",0.93,0.95,1,0.55,1,0.8,16,"limited","Don Lee finished with 40 wins, 467 strikeouts.",1966,60,0.239651036441776,0.16,0.35,0.454,50.6,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_burrudi01_2026-08-21","2026-08-21","final_game_anniversary","burrudi01","Dick Burrus",1928-08-21,98,"Dick Burrus: 98 years since final MLB appearance","Dick Burrus's final MLB appearance came 98 years ago today, on 1928-08-21. Dick Burrus finished with 513 hits, 11 home runs.","People$finalGame",1,1,1,0.55,1,0.8,16.7,"limited","Dick Burrus finished with 513 hits, 11 home runs.",1928,98,0.2,0.167,0.35,0.45855,50.4,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_clarkto01_2026-08-21","2026-08-21","final_game_anniversary","clarkto01","Tommy Clarke",1918-08-21,108,"Tommy Clarke: 108 years since final MLB appearance","Tommy Clarke's final MLB appearance came 108 years ago today, on 1918-08-21. Tommy Clarke finished with 453 hits, 6 home runs.","People$finalGame",1,1,1,0.55,1,0.8,15.8,"limited","Tommy Clarke finished with 453 hits, 6 home runs.",1918,108,0.2,0.158,0.35,0.4527,49.9,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"debut_anniversary_colonro01_2026-08-21","2026-08-21","debut_anniversary","colonro01","Roman Colon",2004-08-21,22,"Roman Colon: 22 years since MLB debut","Roman Colon's MLB debut came 22 years ago today, on 2004-08-21. Roman Colon finished with 8 wins, 120 strikeouts.","People$debut",0.626,0.57,1,0.55,1,0.8,9.7,"limited","Roman Colon finished with 8 wins, 120 strikeouts.",2012,14,0.716531310573789,0.097,0.35,0.41305,49.9,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
"final_game_anniversary_winegra01_2026-08-21","2026-08-21","final_game_anniversary","winegra01","Ralph Winegarner",1949-08-21,77,"Ralph Winegarner: 77 years since final MLB appearance","Ralph Winegarner's final MLB appearance came 77 years ago today, on 1949-08-21. Ralph Winegarner finished with 8 wins, 89 strikeouts.","People$finalGame",1,1,1,0.55,1,0.8,14.4,"limited","Ralph Winegarner finished with 8 wins, 89 strikeouts.",1949,77,0.2,0.144,0.35,0.4436,49.2,"sabrhood_historical_story_score_recency_v3","2026-08-21 10:33:16 UTC"
