"note_id","category","subject_id","subject_name","recognition_tier","career_significance_score","milestone_stat","milestone_value","career_value","career_rank","headline","body","evidence_source","record_flag","rarity","magnitude","timeliness","relevance","confidence","novelty","recognition","historical_importance","broadcast_value","story_score","score_method","report_date","generated_at_utc"
"career_jeterde01_career_H_3000","career_milestone","jeterde01","Derek Jeter","icon",100,"hits",3000,3465,6,"Derek Jeter reached the 3,000-hit club","Derek Jeter was a Hall of Famer and finished with 14 All-Star selections, 3,465 hits, 260 home runs.","Lahman career aggregate: career_H",TRUE,0.92987012987013,1,0.55,1,1,0.75,1,0.9,0.85,89.7,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_maddugr01_career_W_300","career_milestone","maddugr01","Greg Maddux","icon",98,"wins",300,355,8,"Greg Maddux reached the 300-win club","Greg Maddux was a Hall of Famer and finished with 8 All-Star selections, 355 wins, 3,371 strikeouts.","Lahman career aggregate: career_W",TRUE,0.926760563380282,0.98,0.55,0.98,1,0.75,0.98,0.9,0.85,89.1,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_carltst01_career_SO_pitch_4000","career_milestone","carltst01","Steve Carlton","icon",95.9,"strikeouts",4000,4136,4,"Steve Carlton reached the 4,000-strikeout club","Steve Carlton was a Hall of Famer and finished with 10 All-Star selections, 329 wins, 4,136 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.945067698259188,0.959,0.55,0.959,1,0.75,0.959,0.9,0.85,88.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_johnsra05_career_SO_pitch_4000","career_milestone","johnsra05","Randy Johnson (born 1963)","icon",96.4,"strikeouts",4000,4875,2,"Randy Johnson (born 1963) reached the 4,000-strikeout club","Randy Johnson (born 1963) was a Hall of Famer and finished with 10 All-Star selections, 303 wins, 4,875 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.923076923076923,0.964,0.55,0.964,1,0.75,0.964,0.9,0.85,88.5,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_robinfr02_career_HR_500","career_milestone","robinfr02","Frank Robinson","icon",95.9,"home runs",500,586,10,"Frank Robinson reached the 500-home-run club","Frank Robinson was a Hall of Famer and finished with 12 All-Star selections, 2,943 hits, 586 home runs.","Lahman career aggregate: career_HR",TRUE,0.927986348122867,0.959,0.55,0.959,1,0.75,0.959,0.9,0.85,88.4,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_mayswi01_career_HR_600","career_milestone","mayswi01","Willie Mays","icon",95.8,"home runs",600,660,6,"Willie Mays reached the 600-home-run club","Willie Mays was a Hall of Famer and finished with 20 All-Star selections, 3,293 hits, 660 home runs.","Lahman career aggregate: career_HR",TRUE,0.936363636363636,0.958,0.55,0.958,1,0.75,0.958,0.9,0.85,88.4,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_musiast01_career_H_3500","career_milestone","musiast01","Stan Musial","icon",95,"hits",3500,3630,4,"Stan Musial reached the 3,500-hit club","Stan Musial was a Hall of Famer and finished with 20 All-Star selections, 3,630 hits, 475 home runs.","Lahman career aggregate: career_H",TRUE,0.944628099173554,0.95,0.55,0.95,1,0.75,0.95,0.9,0.85,88.3,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_aaronha01_career_H_3500","career_milestone","aaronha01","Hank Aaron","icon",94.6,"hits",3500,3771,3,"Hank Aaron reached the 3,500-hit club","Hank Aaron was a Hall of Famer and finished with 21 All-Star selections, 3,771 hits, 755 home runs.","Lahman career aggregate: career_H",TRUE,0.939220365950676,0.946,0.55,0.946,1,0.75,0.946,0.9,0.85,88.1,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_aaronha01_career_HR_700","career_milestone","aaronha01","Hank Aaron","icon",94.6,"home runs",700,755,2,"Hank Aaron reached the 700-home-run club","Hank Aaron was a Hall of Famer and finished with 21 All-Star selections, 3,771 hits, 755 home runs.","Lahman career aggregate: career_HR",TRUE,0.939072847682119,0.946,0.55,0.946,1,0.75,0.946,0.9,0.85,88.1,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_griffke02_career_HR_600","career_milestone","griffke02","Ken Griffey (born 1969)","icon",94.6,"home runs",600,630,7,"Ken Griffey (born 1969) reached the 600-home-run club","Ken Griffey (born 1969) was a Hall of Famer and finished with 13 All-Star selections, 2,781 hits, 630 home runs.","Lahman career aggregate: career_HR",TRUE,0.942857142857143,0.946,0.55,0.946,1,0.75,0.946,0.9,0.85,88.1,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_seaveto01_career_SO_pitch_3000","career_milestone","seaveto01","Tom Seaver","icon",94.9,"strikeouts",3000,3640,6,"Tom Seaver reached the 3,000-strikeout club","Tom Seaver was a Hall of Famer and finished with 12 All-Star selections, 311 wins, 3,640 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.923626373626374,0.949,0.55,0.949,1,0.75,0.949,0.9,0.85,88,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_yastrca01_career_H_3000","career_milestone","yastrca01","Carl Yastrzemski","icon",94.5,"hits",3000,3419,9,"Carl Yastrzemski reached the 3,000-hit club","Carl Yastrzemski was a Hall of Famer and finished with 18 All-Star selections, 3,419 hits, 452 home runs.","Lahman career aggregate: career_H",TRUE,0.93161743199766,0.945,0.55,0.945,1,0.75,0.945,0.9,0.85,88,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_thomeji01_career_HR_600","career_milestone","thomeji01","Jim Thome","icon",92.3,"home runs",600,612,8,"Jim Thome reached the 600-home-run club","Jim Thome was a Hall of Famer and finished with 5 All-Star selections, 2,328 hits, 612 home runs.","Lahman career aggregate: career_HR",TRUE,0.947058823529412,0.923,0.55,0.923,1,0.75,0.923,0.9,0.85,87.4,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_spahnwa01_career_W_300","career_milestone","spahnwa01","Warren Spahn","icon",90.9,"wins",300,363,6,"Warren Spahn reached the 300-win club","Warren Spahn was a Hall of Famer and finished with 14 All-Star selections, 363 wins, 2,583 strikeouts.","Lahman career aggregate: career_W",TRUE,0.92396694214876,0.909,0.55,0.909,1,0.75,0.909,0.9,0.85,86.7,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_riverma01_career_SV_600","career_milestone","riverma01","Mariano Rivera","icon",90.6,"saves",600,652,1,"Mariano Rivera reached the 600-save club","Mariano Rivera was a Hall of Famer and finished with 13 All-Star selections, 82 wins, 1,173 strikeouts.","Lahman career aggregate: career_SV",TRUE,0.938036809815951,0.906,0.55,0.906,1,0.75,0.906,0.9,0.85,86.7,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_johnswa01_career_W_400","career_milestone","johnswa01","Walter Johnson","icon",90,"wins",400,417,2,"Walter Johnson reached the 400-win club","Walter Johnson was a Hall of Famer and finished with 417 wins, 3,509 strikeouts.","Lahman career aggregate: career_W",TRUE,0.943884892086331,0.9,0.55,0.9,1,0.75,0.9,0.9,0.85,86.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_pujolal01_career_HR_700","career_milestone","pujolal01","Albert Pujols","icon",89.6,"home runs",700,703,4,"Albert Pujols reached the 700-home-run club","Albert Pujols finished with 11 All-Star selections, 3,384 hits, 703 home runs.","Lahman career aggregate: career_HR",TRUE,0.949359886201992,0.896,0.55,0.896,1,0.75,0.896,0.9,0.85,86.5,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_johnswa01_career_SO_pitch_3000","career_milestone","johnswa01","Walter Johnson","icon",90,"strikeouts",3000,3509,10,"Walter Johnson reached the 3,000-strikeout club","Walter Johnson was a Hall of Famer and finished with 417 wins, 3,509 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.928241664291821,0.9,0.55,0.9,1,0.75,0.9,0.9,0.85,86.4,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_pujolal01_career_H_3000","career_milestone","pujolal01","Albert Pujols","icon",89.6,"hits",3000,3384,10,"Albert Pujols reached the 3,000-hit club","Albert Pujols finished with 11 All-Star selections, 3,384 hits, 703 home runs.","Lahman career aggregate: career_H",TRUE,0.932978723404255,0.896,0.55,0.896,1,0.75,0.896,0.9,0.85,86.3,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_ruthba01_career_HR_700","career_milestone","ruthba01","Babe Ruth","icon",89.2,"home runs",700,714,3,"Babe Ruth reached the 700-home-run club","Babe Ruth was a Hall of Famer and finished with 2 All-Star selections, 2,873 hits, 714 home runs.","Lahman career aggregate: career_HR",TRUE,0.947058823529412,0.892,0.55,0.892,1,0.75,0.892,0.9,0.85,86.3,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_alexape01_career_W_300","career_milestone","alexape01","Pete Alexander","icon",89.7,"wins",300,373,3,"Pete Alexander reached the 300-win club","Pete Alexander was a Hall of Famer and finished with 373 wins, 2,198 strikeouts.","Lahman career aggregate: career_W",TRUE,0.920643431635389,0.897,0.55,0.897,1,0.75,0.897,0.9,0.85,86.2,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_mathech01_career_W_300","career_milestone","mathech01","Christy Mathewson","icon",89.4,"wins",300,373,3,"Christy Mathewson reached the 300-win club","Christy Mathewson was a Hall of Famer and finished with 373 wins, 2,507 strikeouts.","Lahman career aggregate: career_W",TRUE,0.920643431635389,0.894,0.55,0.894,1,0.75,0.894,0.9,0.85,86.1,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_rodrial01_career_HR_600","career_milestone","rodrial01","Alex Rodriguez","icon",89.1,"home runs",600,696,5,"Alex Rodriguez reached the 600-home-run club","Alex Rodriguez finished with 14 All-Star selections, 3,115 hits, 696 home runs.","Lahman career aggregate: career_HR",TRUE,0.929310344827586,0.891,0.55,0.891,1,0.75,0.891,0.9,0.85,86.1,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_rosepe01_career_H_4000","career_milestone","rosepe01","Pete Rose (born 1941)","icon",88.9,"hits",4000,4256,1,"Pete Rose (born 1941) reached the 4,000-hit club","Pete Rose (born 1941) finished with 17 All-Star selections, 4,256 hits, 160 home runs.","Lahman career aggregate: career_H",TRUE,0.940977443609023,0.889,0.55,0.889,1,0.75,0.889,0.9,0.85,86.1,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_perryga01_career_SO_pitch_3000","career_milestone","perryga01","Gaylord Perry","icon",89,"strikeouts",3000,3534,9,"Gaylord Perry reached the 3,000-strikeout club","Gaylord Perry was a Hall of Famer and finished with 5 All-Star selections, 314 wins, 3,534 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.927334465195246,0.89,0.55,0.89,1,0.75,0.89,0.9,0.85,86,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_cobbty01_career_H_4000","career_milestone","cobbty01","Ty Cobb","icon",88,"hits",4000,4189,2,"Ty Cobb reached the 4,000-hit club","Ty Cobb was a Hall of Famer and finished with 4,189 hits, 117 home runs.","Lahman career aggregate: career_H",TRUE,0.943232275005968,0.88,0.55,0.88,1,0.75,0.88,0.9,0.85,85.9,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_ryanno01_career_SO_pitch_5000","career_milestone","ryanno01","Nolan Ryan","icon",88.1,"strikeouts",5000,5714,1,"Nolan Ryan reached the 5,000-strikeout club","Nolan Ryan was a Hall of Famer and finished with 8 All-Star selections, 324 wins, 5,714 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.931256562828141,0.881,0.55,0.881,1,0.75,0.881,0.9,0.85,85.8,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_clemero02_career_W_300","career_milestone","clemero02","Roger Clemens","icon",87.8,"wins",300,354,9,"Roger Clemens reached the 300-win club","Roger Clemens finished with 11 All-Star selections, 354 wins, 4,672 strikeouts.","Lahman career aggregate: career_W",TRUE,0.927118644067797,0.878,0.55,0.878,1,0.75,0.878,0.9,0.85,85.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_clemero02_career_SO_pitch_4000","career_milestone","clemero02","Roger Clemens","icon",87.8,"strikeouts",4000,4672,3,"Roger Clemens reached the 4,000-strikeout club","Roger Clemens finished with 11 All-Star selections, 354 wins, 4,672 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.928424657534247,0.878,0.55,0.878,1,0.75,0.878,0.9,0.85,85.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_suttodo01_career_SO_pitch_3000","career_milestone","suttodo01","Don Sutton","icon",87.3,"strikeouts",3000,3574,7,"Don Sutton reached the 3,000-strikeout club","Don Sutton was a Hall of Famer and finished with 4 All-Star selections, 324 wins, 3,574 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.925909345271405,0.873,0.55,0.873,1,0.75,0.873,0.9,0.85,85.4,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_speaktr01_career_H_3500","career_milestone","speaktr01","Tris Speaker","icon",86.2,"hits",3500,3514,5,"Tris Speaker reached the 3,500-hit club","Tris Speaker was a Hall of Famer and finished with 3,514 hits, 117 home runs.","Lahman career aggregate: career_H",TRUE,0.949402390438247,0.862,0.55,0.862,1,0.75,0.862,0.9,0.85,85.3,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_hoffmtr01_career_SV_600","career_milestone","hoffmtr01","Trevor Hoffman","icon",86.2,"saves",600,601,2,"Trevor Hoffman reached the 600-save club","Trevor Hoffman was a Hall of Famer and finished with 7 All-Star selections, 61 wins, 1,133 strikeouts.","Lahman career aggregate: career_SV",TRUE,0.949750415973378,0.862,0.55,0.862,1,0.75,0.862,0.9,0.85,85.3,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_bondsba01_career_HR_700","career_milestone","bondsba01","Barry Bonds","icon",86.2,"home runs",700,762,1,"Barry Bonds reached the 700-home-run club","Barry Bonds finished with 14 All-Star selections, 2,935 hits, 762 home runs.","Lahman career aggregate: career_HR",TRUE,0.937795275590551,0.862,0.55,0.862,1,0.75,0.862,0.9,0.85,85.2,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_youngcy01_career_W_500","career_milestone","youngcy01","Cy Young","icon",85,"wins",500,511,1,"Cy Young reached the 500-win club","Cy Young was a Hall of Famer and finished with 511 wins, 2,803 strikeouts.","Lahman career aggregate: career_W",TRUE,0.946771037181996,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.8,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_wagnebi02_career_SV_400","career_milestone","wagnebi02","Billy Wagner","icon",85,"saves",400,422,8,"Billy Wagner reached the 400-save club","Billy Wagner was a Hall of Famer and finished with 6 All-Star selections, 47 wins, 1,196 strikeouts.","Lahman career aggregate: career_SV",TRUE,0.94218009478673,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.8,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_ansonca01_career_H_3000","career_milestone","ansonca01","Cap Anson","icon",85,"hits",3000,3435,7,"Cap Anson reached the 3,000-hit club","Cap Anson was a Hall of Famer and finished with 3,435 hits, 97 home runs.","Lahman career aggregate: career_H",TRUE,0.931004366812227,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.7,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_wagneho01_career_H_3000","career_milestone","wagneho01","Honus Wagner","icon",85,"hits",3000,3420,8,"Honus Wagner reached the 3,000-hit club","Honus Wagner was a Hall of Famer and finished with 3,420 hits, 101 home runs.","Lahman career aggregate: career_H",TRUE,0.931578947368421,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.7,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_keefeti01_career_W_300","career_milestone","keefeti01","Tim Keefe","icon",85,"wins",300,342,10,"Tim Keefe reached the 300-win club","Tim Keefe was a Hall of Famer and finished with 342 wins, 2,564 strikeouts.","Lahman career aggregate: career_W",TRUE,0.931578947368421,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.7,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_galvipu01_career_W_300","career_milestone","galvipu01","Pud Galvin","icon",85,"wins",300,365,5,"Pud Galvin reached the 300-win club","Pud Galvin was a Hall of Famer and finished with 365 wins, 1,807 strikeouts.","Lahman career aggregate: career_W",TRUE,0.923287671232877,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_nichoki01_career_W_300","career_milestone","nichoki01","Kid Nichols","icon",85,"wins",300,362,7,"Kid Nichols reached the 300-win club","Kid Nichols was a Hall of Famer and finished with 362 wins, 1,881 strikeouts.","Lahman career aggregate: career_W",TRUE,0.924309392265193,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_blylebe01_career_SO_pitch_3000","career_milestone","blylebe01","Bert Blyleven","icon",85,"strikeouts",3000,3701,5,"Bert Blyleven reached the 3,000-strikeout club","Bert Blyleven was a Hall of Famer and finished with 2 All-Star selections, 287 wins, 3,701 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.92158875979465,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_smithle02_career_SV_400","career_milestone","smithle02","Lee Smith","icon",85,"saves",400,478,3,"Lee Smith reached the 400-save club","Lee Smith was a Hall of Famer and finished with 7 All-Star selections, 71 wins, 1,251 strikeouts.","Lahman career aggregate: career_SV",TRUE,0.925523012552301,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_eckerde01_career_SV_300","career_milestone","eckerde01","Dennis Eckersley","icon",85,"saves",300,390,9,"Dennis Eckersley reached the 300-save club","Dennis Eckersley was a Hall of Famer and finished with 6 All-Star selections, 197 wins, 2,401 strikeouts.","Lahman career aggregate: career_SV",TRUE,0.915384615384615,0.85,0.55,0.85,1,0.75,0.85,0.9,0.85,84.5,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_sosasa01_career_HR_600","career_milestone","sosasa01","Sammy Sosa","icon",82.5,"home runs",600,609,9,"Sammy Sosa reached the 600-home-run club","Sammy Sosa finished with 7 All-Star selections, 2,408 hits, 609 home runs.","Lahman career aggregate: career_HR",TRUE,0.947783251231527,0.825,0.55,0.825,1,0.75,0.825,0.9,0.85,83.9,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_verlaju01_career_SO_pitch_3000","career_milestone","verlaju01","Justin Verlander","star",74.5,"strikeouts",3000,3553,8,"Justin Verlander reached the 3,000-strikeout club","Justin Verlander finished with 9 All-Star selections, 266 wins, 3,553 strikeouts.","Lahman career aggregate: career_SO_pitch",TRUE,0.926653532226288,0.745,0.55,0.745,1,0.75,0.745,0.9,0.85,80.7,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_rodrifr03_career_SV_400","career_milestone","rodrifr03","Francisco Rodriguez (born 1982)","star",69.5,"saves",400,437,6,"Francisco Rodriguez (born 1982) reached the 400-save club","Francisco Rodriguez (born 1982) finished with 6 All-Star selections, 52 wins, 1,142 strikeouts.","Lahman career aggregate: career_SV",TRUE,0.937299771167048,0.695,0.55,0.695,1,0.75,0.695,0.9,0.85,78.8,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_francjo01_career_SV_400","career_milestone","francjo01","John Franco","star",67.1,"saves",400,424,7,"John Franco reached the 400-save club","John Franco finished with 4 All-Star selections, 90 wins, 975 strikeouts.","Lahman career aggregate: career_SV",TRUE,0.941509433962264,0.671,0.55,0.671,1,0.75,0.671,0.9,0.85,77.9,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_jeterde01_career_SB_300","career_milestone","jeterde01","Derek Jeter","icon",100,"stolen bases",300,358,,"Derek Jeter reached the 300-stolen-base club","Derek Jeter was a Hall of Famer and finished with 14 All-Star selections, 3,465 hits, 260 home runs.","Lahman career aggregate: career_SB",FALSE,0.575698324022346,1,0.55,1,1,0.75,1,0.55,0.6,76.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_kimbrcr01_career_SV_400","career_milestone","kimbrcr01","Craig Kimbrel","star",64.2,"saves",400,440,5,"Craig Kimbrel reached the 400-save club","Craig Kimbrel finished with 9 All-Star selections, 56 wins, 1,282 strikeouts.","Lahman career aggregate: career_SV",TRUE,0.936363636363636,0.642,0.55,0.642,1,0.75,0.642,0.9,0.85,76.6,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_jeterde01_career_RBI_1000","career_milestone","jeterde01","Derek Jeter","icon",100,"RBI",1000,1311,,"Derek Jeter reached the 1,000-RBI club","Derek Jeter was a Hall of Famer and finished with 14 All-Star selections, 3,465 hits, 260 home runs.","Lahman career aggregate: career_RBI",FALSE,0.56441647597254,1,0.55,1,1,0.75,1,0.55,0.6,76.4,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_maddugr01_career_SO_pitch_3000","career_milestone","maddugr01","Greg Maddux","icon",98,"strikeouts",3000,3371,12,"Greg Maddux reached the 3,000-strikeout club","Greg Maddux was a Hall of Famer and finished with 8 All-Star selections, 355 wins, 3,371 strikeouts.","Lahman career aggregate: career_SO_pitch",FALSE,0.583491545535449,0.98,0.55,0.98,1,0.75,0.98,0.55,0.6,76.1,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_nathajo01_career_SV_300","career_milestone","nathajo01","Joe Nathan","star",63.3,"saves",300,377,10,"Joe Nathan reached the 300-save club","Joe Nathan finished with 6 All-Star selections, 64 wins, 976 strikeouts.","Lahman career aggregate: career_SV",TRUE,0.919363395225464,0.633,0.55,0.633,1,0.75,0.633,0.9,0.85,76,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
"career_johnsra05_career_W_300","career_milestone","johnsra05","Randy Johnson (born 1963)","icon",96.4,"wins",300,303,22,"Randy Johnson (born 1963) reached the 300-win club","Randy Johnson (born 1963) was a Hall of Famer and finished with 10 All-Star selections, 303 wins, 4,875 strikeouts.","Lahman career aggregate: career_W",FALSE,0.598514851485148,0.964,0.55,0.964,1,0.75,0.964,0.55,0.6,75.9,"sabrhood_historical_story_score_v2","2026-07-23","2026-07-23 18:43:01 UTC"
