"batter_id","player_name","team","pitches","swings","whiffs","out_of_zone_pitches","chases","zone_swings","zone_contact","swing_rate","whiff_rate","chase_rate","zone_contact_rate","discipline_score","discipline_method","discipline_rank","source_through","generated_at_utc"
"680757","Steven Kwan","Cleveland Guardians",1509,546,38,755,161,384,374,0.36182902584493,0.0695970695970696,0.213245033112583,0.973958333333333,98,"pitch_level_chase_contact_profile_v1",1,"2026-07-24","2026-07-25 23:02:23 UTC"
"605141","Mookie Betts","Los Angeles Dodgers",1056,439,52,495,95,344,325,0.415719696969697,0.118451025056948,0.191919191919192,0.944767441860465,97.9,"pitch_level_chase_contact_profile_v1",2,"2026-07-24","2026-07-25 23:02:23 UTC"
"664702","Myles Straw","Toronto Blue Jays",687,276,29,338,70,206,192,0.40174672489083,0.105072463768116,0.207100591715976,0.932038834951456,96.8,"pitch_level_chase_contact_profile_v1",3,"2026-07-24","2026-07-25 23:02:23 UTC"
"672695","Geraldo Perdomo","Arizona Diamondbacks",1814,707,78,912,195,511,472,0.389746416758545,0.11032531824611,0.213815789473684,0.923679060665362,94.9,"pitch_level_chase_contact_profile_v1",4,"2026-07-24","2026-07-25 23:02:23 UTC"
"800050","Chase DeLauter","Cleveland Guardians",1409,599,82,716,148,449,414,0.425124201561391,0.136894824707846,0.206703910614525,0.922048997772829,94.2,"pitch_level_chase_contact_profile_v1",5,"2026-07-24","2026-07-25 23:02:23 UTC"
"686217","Sal Frelick","Milwaukee Brewers",1195,512,45,580,138,367,351,0.428451882845188,0.087890625,0.237931034482759,0.956403269754768,94.1,"pitch_level_chase_contact_profile_v1",6,"2026-07-24","2026-07-25 23:02:23 UTC"
"669257","Will Smith","Los Angeles Dodgers",858,354,50,436,93,261,240,0.412587412587413,0.141242937853107,0.213302752293578,0.919540229885057,92.9,"pitch_level_chase_contact_profile_v1",7,"2026-07-24","2026-07-25 23:02:23 UTC"
"672580","Maikel Garcia","Kansas City Royals",1130,443,61,563,128,315,292,0.392035398230088,0.137697516930023,0.227353463587922,0.926984126984127,92.7,"pitch_level_chase_contact_profile_v1",8,"2026-07-24","2026-07-25 23:02:23 UTC"
"669743","Alex Call","Los Angeles Dodgers",616,265,33,304,68,197,181,0.430194805194805,0.124528301886792,0.223684210526316,0.918781725888325,92,"pitch_level_chase_contact_profile_v1",9,"2026-07-24","2026-07-25 23:02:23 UTC"
"665877","José Fermín","St. Louis Cardinals",806,326,40,403,94,232,214,0.404466501240695,0.122699386503067,0.233250620347395,0.922413793103448,91.5,"pitch_level_chase_contact_profile_v1",10,"2026-07-24","2026-07-25 23:02:23 UTC"
"663757","Trent Grisham","New York Yankees",1332,507,80,659,112,395,359,0.380630630630631,0.157790927021696,0.169954476479514,0.908860759493671,91.3,"pitch_level_chase_contact_profile_v1",11,"2026-07-24","2026-07-25 23:02:23 UTC"
"687462","Spencer Horwitz","Pittsburgh Pirates",1189,481,66,630,153,328,306,0.404541631623213,0.137214137214137,0.242857142857143,0.932926829268293,91.1,"pitch_level_chase_contact_profile_v1",12,"2026-07-24","2026-07-25 23:02:23 UTC"
"805808","Kevin McGonigle","Detroit Tigers",1798,763,109,926,169,594,536,0.424360400444939,0.142857142857143,0.182505399568035,0.902356902356902,90.8,"pitch_level_chase_contact_profile_v1",13,"2026-07-24","2026-07-25 23:02:23 UTC"
"803011","Sam Antonacci","Chicago White Sox",1335,569,73,681,155,413,376,0.426217228464419,0.12829525483304,0.227606461086637,0.910411622276029,89.8,"pitch_level_chase_contact_profile_v1",14,"2026-07-24","2026-07-25 23:02:23 UTC"
"681508","Mickey Gasper","Boston Red Sox",443,184,32,225,53,131,124,0.415349887133183,0.173913043478261,0.235555555555556,0.946564885496183,89.6,"pitch_level_chase_contact_profile_v1",15,"2026-07-24","2026-07-25 23:02:23 UTC"
"805300","Jakob Marsee","Miami Marlins",1605,645,108,827,195,450,419,0.401869158878505,0.167441860465116,0.235792019347037,0.931111111111111,89.4,"pitch_level_chase_contact_profile_v1",16,"2026-07-24","2026-07-25 23:02:23 UTC"
"807712","Luke Keaschall","Minnesota Twins",1451,608,94,741,169,439,402,0.419021364576154,0.154605263157895,0.228070175438596,0.915717539863326,89.1,"pitch_level_chase_contact_profile_v1",17,"2026-07-24","2026-07-25 23:02:23 UTC"
"666310","Bo Naylor","Cleveland Guardians",389,176,23,199,51,122,115,0.452442159383033,0.130681818181818,0.256281407035176,0.942622950819672,88.6,"pitch_level_chase_contact_profile_v1",18,"2026-07-24","2026-07-25 23:02:23 UTC"
"689414","Liam Hicks","Miami Marlins",1344,555,54,704,187,368,357,0.412946428571429,0.0972972972972973,0.265625,0.970108695652174,88.6,"pitch_level_chase_contact_profile_v1",19,"2026-07-24","2026-07-25 23:02:23 UTC"
"680777","Ryan Jeffers","Minnesota Twins",766,295,46,408,94,201,183,0.385117493472585,0.155932203389831,0.230392156862745,0.91044776119403,87.6,"pitch_level_chase_contact_profile_v1",20,"2026-07-24","2026-07-25 23:02:23 UTC"
"679845","Nick Loftin","Kansas City Royals",836,350,52,418,103,247,227,0.41866028708134,0.148571428571429,0.246411483253589,0.919028340080972,87.3,"pitch_level_chase_contact_profile_v1",21,"2026-07-24","2026-07-25 23:02:23 UTC"
"669364","Xavier Edwards","Miami Marlins",1706,734,107,893,215,519,472,0.430246189917937,0.145776566757493,0.240761478163494,0.909441233140655,87.2,"pitch_level_chase_contact_profile_v1",22,"2026-07-24","2026-07-25 23:02:23 UTC"
"663457","Lars Nootbaar","St. Louis Cardinals",610,215,39,294,53,162,146,0.352459016393443,0.181395348837209,0.180272108843537,0.901234567901235,86.8,"pitch_level_chase_contact_profile_v1",23,"2026-07-24","2026-07-25 23:02:23 UTC"
"641487","J.P. Crawford","Seattle Mariners",1483,566,85,745,145,421,374,0.381658799730276,0.15017667844523,0.194630872483221,0.888361045130641,86.4,"pitch_level_chase_contact_profile_v1",24,"2026-07-24","2026-07-25 23:02:23 UTC"
"621493","Taylor Ward","Baltimore Orioles",1982,677,118,994,140,537,479,0.341574167507568,0.174298375184638,0.140845070422535,0.891992551210428,85.8,"pitch_level_chase_contact_profile_v1",25,"2026-07-24","2026-07-25 23:02:23 UTC"
"668939","Adley Rutschman","Baltimore Orioles",1162,480,67,594,149,331,303,0.413080895008606,0.139583333333333,0.250841750841751,0.915407854984894,85.7,"pitch_level_chase_contact_profile_v1",26,"2026-07-24","2026-07-25 23:02:23 UTC"
"673490","Ha-Seong Kim","Atlanta Braves",349,147,26,176,43,104,96,0.421203438395415,0.17687074829932,0.244318181818182,0.923076923076923,85.6,"pitch_level_chase_contact_profile_v1",27,"2026-07-24","2026-07-25 23:02:23 UTC"
"608324","Alex Bregman","Chicago Cubs",1844,754,119,916,200,554,496,0.408893709327549,0.157824933687003,0.218340611353712,0.895306859205776,85.5,"pitch_level_chase_contact_profile_v1",28,"2026-07-24","2026-07-25 23:02:23 UTC"
"668885","Austin Martin","Minnesota Twins",1166,457,85,595,105,352,314,0.391938250428816,0.185995623632385,0.176470588235294,0.892045454545455,84.8,"pitch_level_chase_contact_profile_v1",29,"2026-07-24","2026-07-25 23:02:23 UTC"
"680977","Brendan Donovan","Seattle Mariners",356,152,26,190,48,104,96,0.426966292134831,0.171052631578947,0.252631578947368,0.923076923076923,84.2,"pitch_level_chase_contact_profile_v1",30,"2026-07-24","2026-07-25 23:02:23 UTC"
"678554","Curtis Mead","Washington Nationals",1376,563,91,721,183,380,349,0.409156976744186,0.161634103019538,0.253814147018031,0.918421052631579,84.1,"pitch_level_chase_contact_profile_v1",31,"2026-07-24","2026-07-25 23:02:23 UTC"
"678391","Jorbit Vivas","Washington Nationals",770,388,64,408,108,280,259,0.503896103896104,0.164948453608247,0.264705882352941,0.925,83.2,"pitch_level_chase_contact_profile_v1",32,"2026-07-24","2026-07-25 23:02:23 UTC"
"641584","Jake Fraley","Tampa Bay Rays",379,170,33,183,40,125,113,0.448548812664908,0.194117647058824,0.218579234972678,0.904,83.1,"pitch_level_chase_contact_profile_v1",33,"2026-07-24","2026-07-25 23:02:23 UTC"
"683734","Andrew Vaughn","Milwaukee Brewers",728,294,48,376,84,210,186,0.403846153846154,0.163265306122449,0.223404255319149,0.885714285714286,82.2,"pitch_level_chase_contact_profile_v1",34,"2026-07-24","2026-07-25 23:02:23 UTC"
"694384","Nolan Schanuel","Los Angeles Angels",1336,599,88,681,192,407,379,0.448353293413174,0.146911519198664,0.281938325991189,0.931203931203931,82.1,"pitch_level_chase_contact_profile_v1",35,"2026-07-24","2026-07-25 23:02:23 UTC"
"665742","Juan Soto","New York Mets",1439,562,105,780,154,408,360,0.390548992355803,0.186832740213523,0.197435897435897,0.882352941176471,81,"pitch_level_chase_contact_profile_v1",36,"2026-07-24","2026-07-25 23:02:23 UTC"
"702332","Caleb Durbin","Boston Red Sox",1277,604,82,632,181,423,391,0.472983555207518,0.135761589403974,0.286392405063291,0.92434988179669,80.8,"pitch_level_chase_contact_profile_v1",37,"2026-07-24","2026-07-25 23:02:23 UTC"
"687551","Drew Gilbert","San Francisco Giants",900,379,72,453,114,265,242,0.421111111111111,0.189973614775726,0.251655629139073,0.913207547169811,80.4,"pitch_level_chase_contact_profile_v1",38,"2026-07-24","2026-07-25 23:02:23 UTC"
"686555","Isaac Collins","Kansas City Royals",1332,533,109,661,138,395,353,0.40015015015015,0.204502814258912,0.208774583963691,0.893670886075949,80.3,"pitch_level_chase_contact_profile_v1",39,"2026-07-24","2026-07-25 23:02:23 UTC"
"656716","Zach McKinstry","Detroit Tigers",1033,504,70,498,146,358,338,0.487899322362052,0.138888888888889,0.293172690763052,0.94413407821229,80.2,"pitch_level_chase_contact_profile_v1",40,"2026-07-24","2026-07-25 23:02:23 UTC"
"664761","Alec Bohm","Philadelphia Phillies",1457,675,104,733,192,483,437,0.46328071379547,0.154074074074074,0.26193724420191,0.904761904761905,80.2,"pitch_level_chase_contact_profile_v1",41,"2026-07-24","2026-07-25 23:02:23 UTC"
"608348","Carson Kelly","Chicago Cubs",1059,470,88,554,138,332,301,0.4438149197356,0.187234042553191,0.249097472924188,0.906626506024096,80,"pitch_level_chase_contact_profile_v1",42,"2026-07-24","2026-07-25 23:02:23 UTC"
"657041","Lane Thomas","Kansas City Royals",1233,505,93,633,129,376,330,0.409570154095702,0.184158415841584,0.203791469194313,0.877659574468085,80,"pitch_level_chase_contact_profile_v1",43,"2026-07-24","2026-07-25 23:02:23 UTC"
"802415","Chandler Simpson","Tampa Bay Rays",1281,597,52,626,187,408,386,0.466042154566745,0.0871021775544389,0.298722044728434,0.946078431372549,80,"pitch_level_chase_contact_profile_v1",44,"2026-07-24","2026-07-25 23:02:23 UTC"
"545361","Mike Trout","Los Angeles Angels",1621,634,133,867,171,460,410,0.391116594694633,0.209779179810726,0.197231833910035,0.891304347826087,79.7,"pitch_level_chase_contact_profile_v1",45,"2026-07-24","2026-07-25 23:02:23 UTC"
"650490","Yandy Díaz","Tampa Bay Rays",1625,750,90,825,231,516,469,0.461538461538462,0.12,0.28,0.90891472868217,79.5,"pitch_level_chase_contact_profile_v1",46,"2026-07-24","2026-07-25 23:02:23 UTC"
"670541","Yordan Alvarez","Houston Astros",1748,750,126,964,264,486,445,0.429061784897025,0.168,0.273858921161826,0.915637860082305,78.9,"pitch_level_chase_contact_profile_v1",47,"2026-07-24","2026-07-25 23:02:23 UTC"
"671289","Tyler Freeman","Colorado Rockies",939,468,53,484,145,323,302,0.498402555910543,0.113247863247863,0.299586776859504,0.934984520123839,78.8,"pitch_level_chase_contact_profile_v1",48,"2026-07-24","2026-07-25 23:02:23 UTC"
"667472","Dane Myers","Cincinnati Reds",645,258,44,336,74,184,161,0.4,0.170542635658915,0.220238095238095,0.875,78.3,"pitch_level_chase_contact_profile_v1",49,"2026-07-24","2026-07-25 23:02:23 UTC"
"656976","Pavin Smith","Arizona Diamondbacks",359,157,26,174,43,114,101,0.437325905292479,0.165605095541401,0.247126436781609,0.885964912280702,78.2,"pitch_level_chase_contact_profile_v1",50,"2026-07-24","2026-07-25 23:02:23 UTC"
"807799","Masataka Yoshida","Boston Red Sox",825,349,46,430,124,225,206,0.423030303030303,0.131805157593123,0.288372093023256,0.915555555555556,78.1,"pitch_level_chase_contact_profile_v1",51,"2026-07-24","2026-07-25 23:02:23 UTC"
"670623","Isaac Paredes","Houston Astros",1821,802,122,962,263,539,486,0.440417353102691,0.15211970074813,0.273388773388773,0.901669758812616,77.5,"pitch_level_chase_contact_profile_v1",52,"2026-07-24","2026-07-25 23:02:23 UTC"
"663538","Nico Hoerner","Chicago Cubs",1608,733,79,820,255,478,461,0.455845771144279,0.107776261937244,0.310975609756098,0.964435146443515,77.1,"pitch_level_chase_contact_profile_v1",53,"2026-07-24","2026-07-25 23:02:23 UTC"
"655316","Andruw Monasterio","Boston Red Sox",794,378,60,382,104,274,247,0.476070528967254,0.158730158730159,0.272251308900524,0.901459854014598,76.9,"pitch_level_chase_contact_profile_v1",54,"2026-07-24","2026-07-25 23:02:23 UTC"
"691016","Tyler Soderstrom","Athletics",1421,650,125,758,193,457,412,0.457424349049965,0.192307692307692,0.254617414248021,0.901531728665208,76.7,"pitch_level_chase_contact_profile_v1",55,"2026-07-24","2026-07-25 23:02:23 UTC"
