"calibration_bin","rows","mean_predicted","observed_rate","minimum_predicted","maximum_predicted","source_through","generated_at_utc"
1,2740,0.00559109937632456,0.0062043795620438,0.00447346194154102,0.00574995139320806,"2026-08-10","2026-08-11 10:52:52 UTC"
2,2741,0.0103958247860377,0.0105800802626779,0.00574995139320806,0.0124351705813113,"2026-08-10","2026-08-11 10:52:52 UTC"
3,2741,0.0124351705813113,0.00182415176942722,0.0124351705813113,0.0124351705813113,"2026-08-10","2026-08-11 10:52:52 UTC"
4,2741,0.0131107725165431,0.00802626778547975,0.0124351705813113,0.0184110194662776,"2026-08-10","2026-08-11 10:52:52 UTC"
5,2741,0.0467330976606819,0.0426851514045969,0.0184391788642951,0.0727905777095099,"2026-08-10","2026-08-11 10:52:52 UTC"
6,2740,0.0796137865247662,0.0715328467153285,0.0727905777095099,0.08425596726106,"2026-08-10","2026-08-11 10:52:52 UTC"
7,2741,0.121066034647131,0.112367748996717,0.08425596726106,0.149165625988135,"2026-08-10","2026-08-11 10:52:52 UTC"
8,2741,0.154129336764421,0.17694272163444,0.149165625988135,0.165849020360908,"2026-08-10","2026-08-11 10:52:52 UTC"
9,2741,0.166472129002276,0.236410069317767,0.165849020360908,0.166895181273638,"2026-08-10","2026-08-11 10:52:52 UTC"
10,2741,0.285530405200936,0.230937614009486,0.166895181273638,0.974486128408733,"2026-08-10","2026-08-11 10:52:52 UTC"
