"snapshot_date","level","team_id","team","league_id","division_id","wins","losses","games_played","winning_percentage","runs_scored","runs_allowed","run_differential","games_back","wild_card_games_back","division_rank","league_rank","level_rank","streak_code","league_label","division_label","standings_method","season","source_through","source_acquired_at_utc"
2026-08-15,"MLB","117","Houston Astros",103,200,63,61,124,0.508,574,603,-29,0,0,1,5,12,"L1","American League","AL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","140","Texas Rangers",103,200,61,63,124,0.492,505,549,-44,2,0,2,6,15,"W1","American League","AL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","136","Seattle Mariners",103,200,58,66,124,0.468,486,510,-24,5,3,3,12,24,"W1","American League","AL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","108","Los Angeles Angels",103,200,49,75,124,0.395,507,590,-83,14,12,4,14,29,"W1","American League","AL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","133","Athletics",103,200,48,75,123,0.39,535,712,-177,14.5,12.5,5,15,30,"L1","American League","AL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","139","Tampa Bay Rays",103,201,74,48,122,0.607,557,497,60,0,0,1,1,2,"L2","American League","AL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","147","New York Yankees",103,201,68,55,123,0.553,547,463,84,6.5,7.5,2,2,6,"L3","American League","AL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","111","Boston Red Sox",103,201,66,57,123,0.537,546,460,86,8.5,5.5,3,3,7,"W1","American League","AL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","141","Toronto Blue Jays",103,201,61,64,125,0.488,489,545,-56,14.5,0.5,4,7,16,"W2","American League","AL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","110","Baltimore Orioles",103,201,60,63,123,0.488,553,587,-34,14.5,0.5,5,8,17,"W2","American League","AL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","145","Chicago White Sox",103,202,64,58,122,0.525,587,542,45,0,0,1,4,11,"W2","American League","AL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","116","Detroit Tigers",103,202,60,63,123,0.488,560,475,85,4.5,0.5,2,9,18,"L2","American League","AL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","142","Minnesota Twins",103,202,60,64,124,0.484,573,619,-46,5,1,3,10,19,"L2","American League","AL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","114","Cleveland Guardians",103,202,60,64,124,0.484,494,521,-27,5,1,4,11,20,"W1","American League","AL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","118","Kansas City Royals",103,202,50,74,124,0.403,510,624,-114,15,11,5,13,27,"L1","American League","AL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","119","Los Angeles Dodgers",104,203,74,50,124,0.597,614,474,140,0,0,1,2,3,"L1","National League","NL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","109","Arizona Diamondbacks",104,203,66,58,124,0.532,564,544,20,8,0,2,5,8,"W2","National League","NL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","135","San Diego Padres",104,203,66,58,124,0.532,530,532,-2,8,0,3,6,9,"L1","National League","NL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","137","San Francisco Giants",104,203,51,72,123,0.415,502,563,-61,22.5,14.5,4,14,26,"W1","National League","NL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","115","Colorado Rockies",104,203,49,74,123,0.398,583,702,-119,24.5,16.5,5,15,28,"L1","National League","NL West","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","144","Atlanta Braves",104,204,73,50,123,0.593,594,479,115,0,0,1,3,4,"L2","National League","NL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","143","Philadelphia Phillies",104,204,66,58,124,0.532,551,544,7,7.5,,2,7,10,"W2","National League","NL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","146","Miami Marlins",104,204,63,61,124,0.508,543,529,14,10.5,3,3,8,13,"W1","National League","NL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","120","Washington Nationals",104,204,60,65,125,0.48,667,648,19,14,6.5,4,12,23,"L2","National League","NL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","121","New York Mets",104,204,55,69,124,0.444,519,562,-43,18.5,11,5,13,25,"W2","National League","NL East","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","158","Milwaukee Brewers",104,205,76,48,124,0.613,602,470,132,0,0,1,1,1,"W1","National League","NL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","112","Chicago Cubs",104,205,72,52,124,0.581,641,534,107,4,6,2,4,5,"L1","National League","NL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","138","St. Louis Cardinals",104,205,62,61,123,0.504,537,537,0,13.5,3.5,3,9,14,"W1","National League","NL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","113","Cincinnati Reds",104,205,59,63,122,0.484,501,581,-80,16,6,4,10,21,"L1","National League","NL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
2026-08-15,"MLB","134","Pittsburgh Pirates",104,205,60,65,125,0.48,625,600,25,16.5,6.5,5,11,22,"L1","National League","NL Central","baseballr_mlb_standings_snapshot_v1",2026,"2026-08-15","2026-08-16 10:31:42 UTC"
