"snapshot_date","level","team_id","team","league_id","division_id","wins","losses","games_played","winning_percentage","runs_scored","runs_allowed","run_differential","games_back","wild_card_games_back","division_rank","league_rank","level_rank","streak_code","league_label","division_label","standings_method","prior_team","prior_snapshot_date","prior_winning_percentage","prior_run_differential","prior_games_back","prior_division_rank","prior_league_rank","division_rank_change","league_rank_change","games_back_change","winning_percentage_change","run_differential_change","movement_score","movement_label","movement_method","season","source_through","source_acquired_at_utc"
2026-08-11,"MLB","116","Detroit Tigers",103,202,59,60,119,0.496,545,456,89,2.5,0.5,2,7,16,"W3","American League","AL Central","baseballr_mlb_standings_snapshot_v1","Detroit Tigers",2026-08-04,0.487,71,4.5,4,10,2,3,2,0.00900000000000001,18,4.63,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","139","Tampa Bay Rays",103,201,73,46,119,0.613,541,483,58,0,0,1,1,2,"W8","American League","AL East","baseballr_mlb_standings_snapshot_v1","Tampa Bay Rays",2026-08-04,0.593,37,0,1,1,0,0,0,0.02,21,3.12,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","112","Chicago Cubs",104,205,70,50,120,0.583,622,513,109,4,6.5,2,4,5,"W2","National League","NL Central","baseballr_mlb_standings_snapshot_v1","Chicago Cubs",2026-08-04,0.57,98,5.5,2,4,0,0,1.5,0.013,11,2.24,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","135","San Diego Padres",104,203,64,57,121,0.529,518,518,0,8.5,0,3,6,9,"W4","National League","NL West","baseballr_mlb_standings_snapshot_v1","San Diego Padres",2026-08-04,0.518,-11,10,3,7,0,1,1.5,0.011,11,2.17,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","120","Washington Nationals",104,204,59,62,121,0.488,649,627,22,13.5,5,4,10,17,"L1","National League","NL East","baseballr_mlb_standings_snapshot_v1","Washington Nationals",2026-08-04,0.478,8,14,4,12,0,2,0.5,0.01,14,2.16,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","121","New York Mets",104,204,53,68,121,0.438,507,551,-44,19.5,11,5,13,25,"L1","National League","NL East","baseballr_mlb_standings_snapshot_v1","New York Mets",2026-08-04,0.421,-54,20.5,5,13,0,0,1,0.017,10,2.06,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","140","Texas Rangers",103,200,60,60,120,0.5,495,526,-31,0.5,0,2,6,14,"L1","American League","AL West","baseballr_mlb_standings_snapshot_v1","Texas Rangers",2026-08-04,0.491,-39,2.5,2,8,0,2,2,0.00900000000000001,8,1.93,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","138","St. Louis Cardinals",104,205,60,60,120,0.5,522,529,-7,14,3.5,3,9,15,"W1","National League","NL Central","baseballr_mlb_standings_snapshot_v1","St. Louis Cardinals",2026-08-04,0.491,-12,14.5,4,10,1,1,0.5,0.00900000000000001,5,1.8,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","109","Arizona Diamondbacks",104,203,64,57,121,0.529,548,535,13,8.5,0,2,5,8,"L1","National League","NL West","baseballr_mlb_standings_snapshot_v1","Arizona Diamondbacks",2026-08-04,0.526,1,9,2,6,0,1,0.5,0.003,12,1.71,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","144","Atlanta Braves",104,204,72,48,120,0.6,585,464,121,0,0,1,2,3,"W1","National League","NL East","baseballr_mlb_standings_snapshot_v1","Atlanta Braves",2026-08-04,0.602,110,0,1,3,0,1,0,-0.002,11,1.26,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","146","Miami Marlins",104,204,61,59,120,0.508,526,509,17,11,2.5,3,8,12,"W3","National League","NL East","baseballr_mlb_standings_snapshot_v1","Miami Marlins",2026-08-04,0.509,11,10.5,3,8,0,0,-0.5,-0.001,6,0.51,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","141","Toronto Blue Jays",103,201,58,63,121,0.479,476,532,-56,16,2.5,5,11,22,"W2","American League","AL East","baseballr_mlb_standings_snapshot_v1","Toronto Blue Jays",2026-08-04,0.465,-61,14.5,5,12,0,1,-1.5,0.014,5,0.49,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","142","Minnesota Twins",103,202,59,62,121,0.488,564,598,-34,3.5,1.5,3,8,18,"L1","American League","AL Central","baseballr_mlb_standings_snapshot_v1","Minnesota Twins",2026-08-04,0.491,-35,4,3,7,0,-1,0.5,-0.003,1,0.2,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","119","Los Angeles Dodgers",104,203,72,48,120,0.6,602,462,140,0,0,1,3,4,"W2","National League","NL West","baseballr_mlb_standings_snapshot_v1","Los Angeles Dodgers",2026-08-04,0.605,141,0,1,2,0,-1,0,-0.005,-1,-0.27,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
2026-08-11,"MLB","111","Boston Red Sox",103,201,64,55,119,0.538,527,446,81,9,4.5,3,3,7,"L4","American League","AL East","baseballr_mlb_standings_snapshot_v1","Boston Red Sox",2026-08-04,0.545,72,5.5,3,3,0,0,-3.5,-0.00700000000000001,9,-0.36,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-08-11","2026-08-12 11:10:37 UTC"
