"pitcher_id","player_name","team","total_pitches","tracked_pitches","pitches_100_plus","average_velocity","max_velocity","pitches_100_plus_rate","perspective","tracking_method","tracked_batted_balls_allowed","batted_balls_100_plus_allowed","average_exit_velocity_allowed","max_exit_velocity_allowed","batted_balls_100_plus_allowed_rate","source_through","generated_at_utc"
"694819","Jacob Misiorowski","Milwaukee Brewers",2082,2082,889,97.6321805955812,105.5,0.426993275696446,"pitcher","mlbam_release_speed_100_mph_threshold_v1",276,50,85.9840579710145,111.7,0.181159420289855,"2026-08-19","2026-08-20 10:30:00 UTC"
"695243","Mason Miller","San Diego Padres",850,850,366,94.4216470588235,104,0.430588235294118,"pitcher","mlbam_release_speed_100_mph_threshold_v1",83,12,85.2,109.6,0.144578313253012,"2026-08-19","2026-08-20 10:30:00 UTC"
"683618","Edgardo Henriquez","Los Angeles Dodgers",800,800,353,95.9855,103.6,0.44125,"pitcher","mlbam_release_speed_100_mph_threshold_v1",120,11,81.4,108.8,0.0916666666666667,"2026-08-19","2026-08-20 10:30:00 UTC"
"594027","Tyron Guerrero","Boston Red Sox",499,499,234,98.824248496994,103.5,0.468937875751503,"pitcher","mlbam_release_speed_100_mph_threshold_v1",92,19,84.5652173913043,110.4,0.206521739130435,"2026-08-19","2026-08-20 10:30:00 UTC"
"670970","Adrian Morejon","San Diego Padres",1075,1075,175,96.0644651162791,101.7,0.162790697674419,"pitcher","mlbam_release_speed_100_mph_threshold_v1",172,33,87.153488372093,113.2,0.191860465116279,"2026-08-19","2026-08-20 10:30:00 UTC"
"661395","Jhoan Duran","Philadelphia Phillies",733,733,131,96.049795361528,102.5,0.178717598908595,"pitcher","mlbam_release_speed_100_mph_threshold_v1",105,27,89.2990476190476,111.1,0.257142857142857,"2026-08-19","2026-08-20 10:30:00 UTC"
"696149","Bubba Chandler","Pittsburgh Pirates",2075,2075,131,94.8045301204819,102.1,0.0631325301204819,"pitcher","mlbam_release_speed_100_mph_threshold_v1",350,68,87.8174285714286,114.8,0.194285714285714,"2026-08-19","2026-08-20 10:30:00 UTC"
"662253","Andrés Muñoz","Seattle Mariners",776,776,130,93.158118556701,103,0.167525773195876,"pitcher","mlbam_release_speed_100_mph_threshold_v1",103,29,87.8203883495146,111.9,0.281553398058252,"2026-08-19","2026-08-20 10:30:00 UTC"
"663855","Jordan Hicks","Chicago White Sox",658,658,121,94.9658054711246,102.2,0.183890577507599,"pitcher","mlbam_release_speed_100_mph_threshold_v1",95,21,87.8631578947368,110.9,0.221052631578947,"2026-08-19","2026-08-20 10:30:00 UTC"
"666808","Camilo Doval","Pittsburgh Pirates",832,832,106,95.6393028846154,103,0.127403846153846,"pitcher","mlbam_release_speed_100_mph_threshold_v1",139,35,89.8784172661871,109.2,0.251798561151079,"2026-08-19","2026-08-20 10:30:00 UTC"
"665660","Elvis Alvarado","Athletics",688,688,72,95.6763081395349,102.7,0.104651162790698,"pitcher","mlbam_release_speed_100_mph_threshold_v1",95,27,89.5168421052632,114.1,0.284210526315789,"2026-08-19","2026-08-20 10:30:00 UTC"
"694037","Daniel Palencia","Chicago Cubs",289,289,70,96.5795847750865,102.5,0.242214532871972,"pitcher","mlbam_release_speed_100_mph_threshold_v1",46,6,88.9217391304348,108.1,0.130434782608696,"2026-08-19","2026-08-20 10:30:00 UTC"
"700712","Walbert Ureña","Los Angeles Angels",1936,1936,65,93.8023760330579,101.5,0.0335743801652893,"pitcher","mlbam_release_speed_100_mph_threshold_v1",302,70,86.8516556291391,114.6,0.231788079470199,"2026-08-19","2026-08-20 10:30:00 UTC"
"666711","Joel Peguero","San Francisco Giants",169,169,61,98.1224852071006,102.6,0.36094674556213,"pitcher","mlbam_release_speed_100_mph_threshold_v1",37,2,84.4756756756757,107.1,0.0540540540540541,"2026-08-19","2026-08-20 10:30:00 UTC"
"682842","Abner Uribe","Milwaukee Brewers",758,758,61,94.5554089709763,101.8,0.0804749340369393,"pitcher","mlbam_release_speed_100_mph_threshold_v1",123,22,86.2373983739837,112.6,0.178861788617886,"2026-08-19","2026-08-20 10:30:00 UTC"
"682254","Mason Montgomery","Pittsburgh Pirates",882,882,59,95.158843537415,101.6,0.0668934240362812,"pitcher","mlbam_release_speed_100_mph_threshold_v1",107,26,86.3570093457944,112.9,0.242990654205607,"2026-08-19","2026-08-20 10:30:00 UTC"
"660271","Shohei Ohtani","Los Angeles Dodgers",1335,1335,50,90.9426217228464,101.7,0.0374531835205993,"pitcher","mlbam_release_speed_100_mph_threshold_v1",213,39,86.8910798122066,111.2,0.183098591549296,"2026-08-19","2026-08-20 10:30:00 UTC"
"693645","Cam Schlittler","New York Yankees",2386,2386,50,95.9372590108969,101.3,0.0209555741827326,"pitcher","mlbam_release_speed_100_mph_threshold_v1",371,79,87.6363881401617,115.1,0.212938005390836,"2026-08-19","2026-08-20 10:30:00 UTC"
"808963","Roki Sasaki","Los Angeles Dodgers",1986,1986,49,92.2637965760322,101.8,0.0246727089627392,"pitcher","mlbam_release_speed_100_mph_threshold_v1",327,82,89.3709480122324,115.7,0.250764525993884,"2026-08-19","2026-08-20 10:30:00 UTC"
"678020","Seth Halvorsen","Los Angeles Dodgers",386,386,48,94.5424870466321,101.9,0.124352331606218,"pitcher","mlbam_release_speed_100_mph_threshold_v1",67,18,89.8835820895522,110.1,0.26865671641791,"2026-08-19","2026-08-20 10:30:00 UTC"
"683003","Jared Jones","Pittsburgh Pirates",1048,1048,48,93.6771946564886,101.5,0.0458015267175573,"pitcher","mlbam_release_speed_100_mph_threshold_v1",174,41,88.9264367816092,115.1,0.235632183908046,"2026-08-19","2026-08-20 10:30:00 UTC"
"691587","Eury Pérez","Miami Marlins",1993,1993,47,92.8740592072253,101,0.0235825388861014,"pitcher","mlbam_release_speed_100_mph_threshold_v1",304,67,87.7641447368421,113.4,0.220394736842105,"2026-08-19","2026-08-20 10:30:00 UTC"
"690829","Ben Joyce","Los Angeles Angels",82,82,44,98.4475609756098,104.5,0.536585365853659,"pitcher","mlbam_release_speed_100_mph_threshold_v1",10,1,78.94,103.9,0.1,"2026-08-19","2026-08-20 10:30:00 UTC"
"801403","Chase Dollander","Colorado Rockies",743,743,42,93.9728129205922,101.1,0.0565275908479139,"pitcher","mlbam_release_speed_100_mph_threshold_v1",121,36,89.7859504132231,111.3,0.297520661157025,"2026-08-19","2026-08-20 10:30:00 UTC"
"686973","Louis Varland","Toronto Blue Jays",1008,1008,40,93.5867063492064,101.1,0.0396825396825397,"pitcher","mlbam_release_speed_100_mph_threshold_v1",153,29,87.2307189542484,112.7,0.189542483660131,"2026-08-19","2026-08-20 10:30:00 UTC"
"691799","Grant Taylor","Chicago White Sox",1056,1056,39,92.9241477272727,101.9,0.0369318181818182,"pitcher","mlbam_release_speed_100_mph_threshold_v1",155,37,89.6329032258064,109.3,0.238709677419355,"2026-08-19","2026-08-20 10:30:00 UTC"
"674444","Steven Cruz","Kansas City Royals",746,746,39,95.6958445040215,101.5,0.0522788203753351,"pitcher","mlbam_release_speed_100_mph_threshold_v1",125,32,87.5256,112.5,0.256,"2026-08-19","2026-08-20 10:30:00 UTC"
"680767","Victor Vodnik","Miami Marlins",763,763,30,94.3366972477064,100.9,0.0393184796854522,"pitcher","mlbam_release_speed_100_mph_threshold_v1",138,28,90.1369565217391,110.4,0.202898550724638,"2026-08-19","2026-08-20 10:30:00 UTC"
"695505","Chase Burns","Cincinnati Reds",2238,2238,29,94.3528596961573,100.7,0.0129579982126899,"pitcher","mlbam_release_speed_100_mph_threshold_v1",330,65,88.9212121212121,113.1,0.196969696969697,"2026-08-19","2026-08-20 10:30:00 UTC"
"686934","Alex McFarlane","Philadelphia Phillies",78,78,27,95.1564102564103,102.2,0.346153846153846,"pitcher","mlbam_release_speed_100_mph_threshold_v1",13,3,89.7615384615385,108.4,0.230769230769231,"2026-08-19","2026-08-20 10:30:00 UTC"
"664854","Ryan Helsley","Baltimore Orioles",273,273,27,92.7908424908425,102.1,0.0989010989010989,"pitcher","mlbam_release_speed_100_mph_threshold_v1",38,12,88.2684210526316,105.4,0.315789473684211,"2026-08-19","2026-08-20 10:30:00 UTC"
"672442","Yovanny Cruz","Washington Nationals",161,161,27,94.1403726708075,102,0.167701863354037,"pitcher","mlbam_release_speed_100_mph_threshold_v1",27,5,89.4148148148148,108.5,0.185185185185185,"2026-08-19","2026-08-20 10:30:00 UTC"
"666661","Juan Morillo","Arizona Diamondbacks",810,810,27,95.4130864197531,101.1,0.0333333333333333,"pitcher","mlbam_release_speed_100_mph_threshold_v1",122,22,85.5147540983607,111,0.180327868852459,"2026-08-19","2026-08-20 10:30:00 UTC"
"671922","Cade Smith","Cleveland Guardians",978,966,24,93.3305383022774,101.2,0.0248447204968944,"pitcher","mlbam_release_speed_100_mph_threshold_v1",129,41,92.0193798449612,113.2,0.317829457364341,"2026-08-19","2026-08-20 10:30:00 UTC"
"668881","Hunter Greene","Cincinnati Reds",456,456,23,94.1254385964912,101.6,0.0504385964912281,"pitcher","mlbam_release_speed_100_mph_threshold_v1",78,20,90.225641025641,108.5,0.256410256410256,"2026-08-19","2026-08-20 10:30:00 UTC"
"676617","Riley O'Brien","St. Louis Cardinals",840,840,23,92.7764285714286,101.1,0.0273809523809524,"pitcher","mlbam_release_speed_100_mph_threshold_v1",130,33,86.5223076923077,109.8,0.253846153846154,"2026-08-19","2026-08-20 10:30:00 UTC"
"682825","Luis Mey","Cincinnati Reds",353,353,22,93.586402266289,102,0.0623229461756374,"pitcher","mlbam_release_speed_100_mph_threshold_v1",33,9,92.4151515151515,111.9,0.272727272727273,"2026-08-19","2026-08-20 10:30:00 UTC"
"547973","Aroldis Chapman","Boston Red Sox",677,677,22,94.5129985228951,101.6,0.0324963072378139,"pitcher","mlbam_release_speed_100_mph_threshold_v1",102,25,86.0754901960784,113.5,0.245098039215686,"2026-08-19","2026-08-20 10:30:00 UTC"
"696147","Sam Bachman","Los Angeles Angels",760,760,22,92.4221052631579,101.4,0.0289473684210526,"pitcher","mlbam_release_speed_100_mph_threshold_v1",120,22,85.7466666666667,114.1,0.183333333333333,"2026-08-19","2026-08-20 10:30:00 UTC"
"668909","Gavin Williams","Cleveland Guardians",2361,2330,20,90.9354077253219,100.8,0.00858369098712446,"pitcher","mlbam_release_speed_100_mph_threshold_v1",353,97,89.7070821529745,116,0.274787535410765,"2026-08-19","2026-08-20 10:30:00 UTC"
"687209","Zach Maxwell","Cincinnati Reds",288,286,18,94.9059440559441,101.1,0.0629370629370629,"pitcher","mlbam_release_speed_100_mph_threshold_v1",43,11,91.1418604651163,110.4,0.255813953488372,"2026-08-19","2026-08-20 10:30:00 UTC"
"665622","Luis Medina","Athletics",989,989,18,92.4786653185035,100.9,0.0182002022244692,"pitcher","mlbam_release_speed_100_mph_threshold_v1",145,32,88.9744827586207,111.1,0.220689655172414,"2026-08-19","2026-08-20 10:30:00 UTC"
"683175","Connor Phillips","Cincinnati Reds",547,547,16,92.0972577696527,100.7,0.0292504570383912,"pitcher","mlbam_release_speed_100_mph_threshold_v1",74,15,89.7675675675676,110,0.202702702702703,"2026-08-19","2026-08-20 10:30:00 UTC"
"699008","Antwone Kelly","Pittsburgh Pirates",123,123,15,94.0121951219512,102,0.121951219512195,"pitcher","mlbam_release_speed_100_mph_threshold_v1",24,5,87.65,108.5,0.208333333333333,"2026-08-19","2026-08-20 10:30:00 UTC"
"800311","Didier Fuentes","Atlanta Braves",918,918,15,93.9312636165577,101.1,0.0163398692810458,"pitcher","mlbam_release_speed_100_mph_threshold_v1",135,32,88.1192592592593,109.3,0.237037037037037,"2026-08-19","2026-08-20 10:30:00 UTC"
"663158","Robert Suarez","Atlanta Braves",466,466,14,95.7695278969957,100.7,0.0300429184549356,"pitcher","mlbam_release_speed_100_mph_threshold_v1",87,15,84.3586206896552,107.5,0.172413793103448,"2026-08-19","2026-08-20 10:30:00 UTC"
"645261","Sandy Alcantara","Miami Marlins",2667,2667,14,92.5371953505812,100.6,0.005249343832021,"pitcher","mlbam_release_speed_100_mph_threshold_v1",540,122,87.7146296296296,111.3,0.225925925925926,"2026-08-19","2026-08-20 10:30:00 UTC"
"671737","Taj Bradley","Minnesota Twins",2418,2418,12,92.8327543424318,101.1,0.00496277915632754,"pitcher","mlbam_release_speed_100_mph_threshold_v1",376,95,90.5428191489362,112.7,0.252659574468085,"2026-08-19","2026-08-20 10:30:00 UTC"
"592773","Ryne Stanek","St. Louis Cardinals",873,873,12,94.449255441008,101,0.013745704467354,"pitcher","mlbam_release_speed_100_mph_threshold_v1",135,34,89.0703703703704,114.3,0.251851851851852,"2026-08-19","2026-08-20 10:30:00 UTC"
"663878","Nate Pearson","Kansas City Royals",487,487,11,92.6790554414784,101,0.0225872689938398,"pitcher","mlbam_release_speed_100_mph_threshold_v1",77,15,86.2714285714286,110.7,0.194805194805195,"2026-08-19","2026-08-20 10:30:00 UTC"
"656848","Michael Petersen","Miami Marlins",886,886,11,93.9702031602709,100.9,0.0124153498871332,"pitcher","mlbam_release_speed_100_mph_threshold_v1",126,28,90.6555555555556,110.9,0.222222222222222,"2026-08-19","2026-08-20 10:30:00 UTC"
"679885","Justin Martinez","Arizona Diamondbacks",19,19,10,97.3789473684211,101.9,0.526315789473684,"pitcher","mlbam_release_speed_100_mph_threshold_v1",3,0,71.6,94.1,0,"2026-08-19","2026-08-20 10:30:00 UTC"
"621237","José Alvarado","Philadelphia Phillies",888,888,10,95.5484234234234,100.8,0.0112612612612613,"pitcher","mlbam_release_speed_100_mph_threshold_v1",124,24,85.9951612903226,112.7,0.193548387096774,"2026-08-19","2026-08-20 10:30:00 UTC"
"699134","Bradgley Rodriguez","San Diego Padres",915,915,10,93.9433879781421,100.8,0.0109289617486339,"pitcher","mlbam_release_speed_100_mph_threshold_v1",154,25,85.9915584415584,105.7,0.162337662337662,"2026-08-19","2026-08-20 10:30:00 UTC"
"696062","Wilber Dotel","Pittsburgh Pirates",487,487,9,93.5958932238193,100.8,0.0184804928131417,"pitcher","mlbam_release_speed_100_mph_threshold_v1",79,23,89.953164556962,107.1,0.291139240506329,"2026-08-19","2026-08-20 10:30:00 UTC"
"695380","Alex Hoppe","Baltimore Orioles",553,553,8,93.8853526220615,100.9,0.0144665461121157,"pitcher","mlbam_release_speed_100_mph_threshold_v1",91,26,89.2582417582418,109.9,0.285714285714286,"2026-08-19","2026-08-20 10:30:00 UTC"
"702193","Andrew Morris","Minnesota Twins",1028,1028,8,92.9721789883268,100.6,0.00778210116731518,"pitcher","mlbam_release_speed_100_mph_threshold_v1",172,30,86.0203488372093,111.5,0.174418604651163,"2026-08-19","2026-08-20 10:30:00 UTC"
"693713","Emiliano Teodo","Texas Rangers",43,43,7,96.3348837209302,101.9,0.162790697674419,"pitcher","mlbam_release_speed_100_mph_threshold_v1",7,2,91.5285714285714,109.2,0.285714285714286,"2026-08-19","2026-08-20 10:30:00 UTC"
"682982","Daniel Espino","Cleveland Guardians",120,120,7,94.5175,101.2,0.0583333333333333,"pitcher","mlbam_release_speed_100_mph_threshold_v1",11,1,86.5636363636364,103.7,0.0909090909090909,"2026-08-19","2026-08-20 10:30:00 UTC"
"642376","Jefry Yan","New York Mets",99,99,7,95.0373737373737,101.1,0.0707070707070707,"pitcher","mlbam_release_speed_100_mph_threshold_v1",14,3,89.3,105.2,0.214285714285714,"2026-08-19","2026-08-20 10:30:00 UTC"
"594798","Jacob deGrom","Texas Rangers",2024,2024,7,93.0610177865613,100.5,0.00345849802371542,"pitcher","mlbam_release_speed_100_mph_threshold_v1",320,80,90.2625,114.9,0.25,"2026-08-19","2026-08-20 10:30:00 UTC"
"656730","Trevor Megill","Milwaukee Brewers",684,684,7,94.4030701754386,100.4,0.010233918128655,"pitcher","mlbam_release_speed_100_mph_threshold_v1",118,24,88.9203389830509,111.1,0.203389830508475,"2026-08-19","2026-08-20 10:30:00 UTC"
"667755","José Soriano","Toronto Blue Jays",2317,2317,5,92.6406991799741,101.3,0.00215796288303841,"pitcher","mlbam_release_speed_100_mph_threshold_v1",373,92,88.5571045576408,116.9,0.246648793565684,"2026-08-19","2026-08-20 10:30:00 UTC"
"678606","José A. Ferrer","Seattle Mariners",832,832,5,94.5983173076923,101,0.00600961538461538,"pitcher","mlbam_release_speed_100_mph_threshold_v1",166,34,86.228313253012,116.4,0.204819277108434,"2026-08-19","2026-08-20 10:30:00 UTC"
"694361","Will Klein","Los Angeles Dodgers",762,762,5,92.6807086614173,100.8,0.00656167979002625,"pitcher","mlbam_release_speed_100_mph_threshold_v1",114,27,88.5228070175439,113.1,0.236842105263158,"2026-08-19","2026-08-20 10:30:00 UTC"
"668933","Graham Ashcraft","Cincinnati Reds",450,450,3,94.4222222222222,101.5,0.00666666666666667,"pitcher","mlbam_release_speed_100_mph_threshold_v1",55,13,88.9054545454545,107.1,0.236363636363636,"2026-08-19","2026-08-20 10:30:00 UTC"
"695549","Jackson Jobe","Detroit Tigers",231,231,3,92.7428571428571,100.1,0.012987012987013,"pitcher","mlbam_release_speed_100_mph_threshold_v1",41,9,88.1951219512195,110,0.219512195121951,"2026-08-19","2026-08-20 10:30:00 UTC"
"656302","Dylan Cease","Toronto Blue Jays",2345,2345,3,90.9527931769723,100,0.00127931769722815,"pitcher","mlbam_release_speed_100_mph_threshold_v1",288,58,85.6,113.2,0.201388888888889,"2026-08-19","2026-08-20 10:30:00 UTC"
"687075","Brandon Sproat","Milwaukee Brewers",1713,1686,2,92.8755634638197,100.4,0.00118623962040332,"pitcher","mlbam_release_speed_100_mph_threshold_v1",250,66,89.5412,113.9,0.264,"2026-08-19","2026-08-20 10:30:00 UTC"
"676879","Aaron Ashby","Milwaukee Brewers",1235,1235,2,92.4018623481781,100.3,0.00161943319838057,"pitcher","mlbam_release_speed_100_mph_threshold_v1",170,40,87.2805882352941,116.9,0.235294117647059,"2026-08-19","2026-08-20 10:30:00 UTC"
"666171","Ryan Zeferjahn","Chicago Cubs",1079,1070,2,91.3719626168224,100.2,0.00186915887850467,"pitcher","mlbam_release_speed_100_mph_threshold_v1",124,25,89.2548387096774,108.2,0.201612903225806,"2026-08-19","2026-08-20 10:30:00 UTC"
"682989","Victor Mederos","Atlanta Braves",359,359,2,93.2403899721449,100.1,0.00557103064066852,"pitcher","mlbam_release_speed_100_mph_threshold_v1",63,11,88.6936507936508,110.1,0.174603174603175,"2026-08-19","2026-08-20 10:30:00 UTC"
"669270","Joel Kuhnel","Milwaukee Brewers",564,564,1,92.7744680851064,100.5,0.00177304964539007,"pitcher","mlbam_release_speed_100_mph_threshold_v1",117,30,89.0564102564103,112.8,0.256410256410256,"2026-08-19","2026-08-20 10:30:00 UTC"
"670059","Colin Holderman","Cleveland Guardians",767,767,1,91.3505867014342,100.5,0.00130378096479791,"pitcher","mlbam_release_speed_100_mph_threshold_v1",126,31,87.0626984126984,110.3,0.246031746031746,"2026-08-19","2026-08-20 10:30:00 UTC"
"669373","Tarik Skubal","Los Angeles Dodgers",1720,1720,1,92.5675581395349,100.4,0.000581395348837209,"pitcher","mlbam_release_speed_100_mph_threshold_v1",286,59,86.0534965034965,111.8,0.206293706293706,"2026-08-19","2026-08-20 10:30:00 UTC"
"673540","Kodai Senga","New York Mets",925,925,1,89.8045405405405,100.3,0.00108108108108108,"pitcher","mlbam_release_speed_100_mph_threshold_v1",136,33,88.9198529411765,109.3,0.242647058823529,"2026-08-19","2026-08-20 10:30:00 UTC"
"680742","Jonathan Bowlan","Philadelphia Phillies",767,767,1,93.0559322033898,100.2,0.00130378096479791,"pitcher","mlbam_release_speed_100_mph_threshold_v1",113,18,85.975221238938,108.9,0.15929203539823,"2026-08-19","2026-08-20 10:30:00 UTC"
"622608","Antonio Senzatela","Milwaukee Brewers",904,904,1,93.6189159292035,100.1,0.00110619469026549,"pitcher","mlbam_release_speed_100_mph_threshold_v1",172,39,87.9622093023256,112.2,0.226744186046512,"2026-08-19","2026-08-20 10:30:00 UTC"
"642397","Gregory Soto","Pittsburgh Pirates",927,927,1,90.4869471413161,100.1,0.00107874865156419,"pitcher","mlbam_release_speed_100_mph_threshold_v1",134,26,85.1858208955224,115.7,0.194029850746269,"2026-08-19","2026-08-20 10:30:00 UTC"
"675848","Juan Mejia","Colorado Rockies",987,987,1,92.1565349544073,100.1,0.00101317122593718,"pitcher","mlbam_release_speed_100_mph_threshold_v1",157,43,88.1292993630573,110.4,0.273885350318471,"2026-08-19","2026-08-20 10:30:00 UTC"
"543037","Gerrit Cole","New York Yankees",1333,1305,1,92.1152490421456,100,0.000766283524904215,"pitcher","mlbam_release_speed_100_mph_threshold_v1",232,56,90.1431034482759,114.4,0.241379310344828,"2026-08-19","2026-08-20 10:30:00 UTC"
"666619","Gregory Santos","San Francisco Giants",86,86,1,92.8197674418605,100,0.0116279069767442,"pitcher","mlbam_release_speed_100_mph_threshold_v1",18,6,91.5888888888889,108.3,0.333333333333333,"2026-08-19","2026-08-20 10:30:00 UTC"
