"source_row","game_pk","game_date","at_bat_index","pitch_number","play_id","inning","half_inning","is_top_inning","batting_team","fielding_team","home_team","away_team","pitcher_id","pitcher_name","pitcher_hand","batter_id","batter_name","batter_side","outs_before","outs_after","runner_on_first","runner_on_second","runner_on_third","event_type","event","event_key","description","result_description","pitch_type","pitch_name","is_in_play","is_terminal_pitch","launch_speed","launch_angle","hit_distance","hit_location","hit_coord_x","hit_coord_y","trajectory","batting_order","runs_batted_in","home_score_before","away_score_before","home_score_after","away_score_after","pitches_in_pa","is_hit","is_home_run","is_walk","is_hit_by_pitch","is_strikeout","is_at_bat","is_out","is_batted_ball","is_hard_hit","is_barrel_proxy","is_ground_ball","is_line_drive","is_fly_ball","is_popup","batted_ball_type","spray_direction","total_bases","outs_on_play","fielding_score_diff","batting_score_before","fielding_score_before","batting_score_after","fielding_score_after","batting_score_diff_before","batting_score_diff_after","runs_scored_on_play","runner_on_first_after","runner_on_second_after","runner_on_third_after","runner_on_first_before","runner_on_second_before","runner_on_third_before","base_state_before","base_state_after","is_risp_before","run_expectancy_before","run_expectancy_after","run_value","run_value_method","leverage_proxy","pressure_index","is_close_game","is_high_leverage_proxy","game_state_label","leverage_method","leader_pull_rate","leader_batted_balls","spray_method","source_through","generated_at_utc"
1049,"824704",2026-03-26,29,4,"e6e95af7-bf23-38ea-934b-441609f02ec2",4,"top",TRUE,"Washington Nationals","Chicago Cubs","Chicago Cubs","Washington Nationals","571510","Matthew Boyd","L","660688","Keibert Ruiz","R",2,2,TRUE,FALSE,FALSE,"single","Single","single","In play, no out","Keibert Ruiz singles on a ground ball to right fielder Matt Shaw.","FF","Four-Seam Fastball",TRUE,FALSE,77.4,3,62,9,198.94,132.43,"ground_ball",,0,2,5,2,5,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","opposite",1,0,-3,5,2,5,2,3,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,0.102489492402199,0.231771273896126,0.129281781493927,"sabrhood_empirical_re24_v1",0.581146560097693,36.8,FALSE,FALSE,"ahead","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
1133,"824704",2026-03-26,48,7,"19638f5c-8ce2-37e7-956b-164f2ccf217a",6,"top",TRUE,"Washington Nationals","Chicago Cubs","Chicago Cubs","Washington Nationals","676962","Ben Brown","R","660688","Keibert Ruiz","L",1,2,FALSE,FALSE,TRUE,"field_out","Groundout","field_out","In play, out(s)","Keibert Ruiz grounds out, second baseman Nico Hoerner to first baseman Michael Busch. Nasim Nuñez to 3rd.","FF","Four-Seam Fastball",TRUE,FALSE,84.3,0,49,4,136.44,159.4,"ground_ball",,0,3,7,3,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,-4,7,3,7,3,4,4,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,4,FALSE,0.533184656556646,0.387244897959184,-0.145939758597462,"sabrhood_empirical_re24_v1",0.644387400758151,39.2,FALSE,FALSE,"comfortable_lead","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
1199,"824704",2026-03-26,66,3,"19ce2213-f87e-3c54-95ab-acaf321df66b",8,"top",TRUE,"Washington Nationals","Chicago Cubs","Chicago Cubs","Washington Nationals","571948","Hoby Milner","L","660688","Keibert Ruiz","R",2,3,FALSE,FALSE,FALSE,"field_out","Groundout","field_out","In play, out(s)","Keibert Ruiz grounds out, third baseman Alex Bregman to first baseman Michael Busch.","CH","Changeup",TRUE,FALSE,76.1,-9,10,5,104.18,165.87,"ground_ball",,0,4,8,4,8,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,-4,8,4,8,4,4,4,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,0,TRUE,0.455400981996727,0,-0.455400981996727,"sabrhood_empirical_re24_v1",0.734161030094543,42.3,FALSE,FALSE,"comfortable_lead","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
13666,"824700",2026-03-29,11,1,"1fa5a84e-fbbc-3a56-93ec-39a4c29c0c2d",2,"top",TRUE,"Washington Nationals","Chicago Cubs","Chicago Cubs","Washington Nationals","684007","Shota Imanaga","L","660688","Keibert Ruiz","R",0,2,FALSE,FALSE,FALSE,"grounded_into_double_play","Grounded Into DP","grounded_into_double_play","In play, out(s)","Keibert Ruiz grounds into a double play, third baseman Alex Bregman to second baseman Nico Hoerner to first baseman Michael Busch. Nasim Nuñez out at 2nd. Keibert Ruiz out at 1st.","SI","Sinker",TRUE,FALSE,95.1,-19,10,5,103.47,171.13,"ground_ball",,0,0,3,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,2,-3,3,0,3,0,3,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,FALSE,0.899319879585238,0.102489492402199,-0.79683038718304,"sabrhood_empirical_re24_v1",0.65885415727647,39.7,FALSE,FALSE,"ahead","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
13732,"824700",2026-03-29,26,5,"01d8e14c-c9e0-32a5-bc5b-3b9130e5c18a",4,"top",TRUE,"Washington Nationals","Chicago Cubs","Chicago Cubs","Washington Nationals","684007","Shota Imanaga","L","660688","Keibert Ruiz","R",2,3,FALSE,FALSE,FALSE,"field_out","Pop Out","field_out","In play, out(s)","Keibert Ruiz pops out to third baseman Alex Bregman.","FF","Four-Seam Fastball",TRUE,FALSE,69.5,70,109,5,104.68,166.89,"popup",,0,0,3,0,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"popup","pull",0,1,-3,3,0,3,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,TRUE,0.387244897959184,0,-0.387244897959184,"sabrhood_empirical_re24_v1",0.650884147309416,39.4,FALSE,FALSE,"ahead","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
13814,"824700",2026-03-29,45,2,"5c2362bd-288a-384b-bc03-8bd6474b366a",6,"top",TRUE,"Washington Nationals","Chicago Cubs","Chicago Cubs","Washington Nationals","664208","Phil Maton","R","660688","Keibert Ruiz","L",1,2,TRUE,TRUE,FALSE,"sac_fly","Sac Fly","sac_fly","In play, run(s)","Keibert Ruiz out on a sacrifice fly to center fielder Pete Crow-Armstrong. Daylen Lile scores.","FC","Cutter",TRUE,FALSE,84.9,29,312,8,126.03,74.21,"fly_ball",,1,2,3,2,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"fly_ball","middle",0,1,-2,3,2,4,2,1,2,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7,3,TRUE,1.66,0.455400981996727,-0.204599018003273,"sabrhood_empirical_re24_v1",1.56813029123386,61.1,TRUE,TRUE,"ahead","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
13863,"824700",2026-03-29,61,4,"8b422586-ef5c-341b-be21-3adedebe9754",8,"top",TRUE,"Washington Nationals","Chicago Cubs","Chicago Cubs","Washington Nationals","571948","Hoby Milner","L","660688","Keibert Ruiz","R",2,2,FALSE,FALSE,FALSE,"home_run","Home Run","home_run","In play, run(s)","Keibert Ruiz homers (1) on a fly ball to left center field. Nasim Nuñez scores.","CH","Changeup",TRUE,FALSE,99.6,32,373,78,77.45,49.5,"fly_ball",,2,2,4,2,6,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"fly_ball","middle",4,0,-4,4,2,6,2,2,4,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,FALSE,0.231771273896126,0.102489492402199,1.87071821850607,"sabrhood_empirical_re24_v1",1.01261564339781,50.3,TRUE,FALSE,"ahead","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
19180,"823485",2026-03-31,8,2,"f80fc146-8cd4-36a1-9e22-433fb096ebca",2,"top",TRUE,"Washington Nationals","Philadelphia Phillies","Philadelphia Phillies","Washington Nationals","691725","Andrew Painter","R","660688","Keibert Ruiz","L",0,1,TRUE,TRUE,FALSE,"field_out","Flyout","field_out","In play, out(s)","Keibert Ruiz flies out to center fielder Justin Crawford.","FF","Four-Seam Fastball",TRUE,FALSE,83.7,34,311,8,100.99,76.86,"fly_ball",,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"fly_ball","middle",0,1,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3,3,TRUE,1.5597240189737,0.933583959899749,-0.626140059073946,"sabrhood_empirical_re24_v1",1.67864487336962,62.7,TRUE,TRUE,"tied","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
19317,"823485",2026-03-31,45,6,"710571cf-0fb9-34f1-aa4f-71f80dfc93ef",6,"top",TRUE,"Washington Nationals","Philadelphia Phillies","Philadelphia Phillies","Washington Nationals","621383","Tanner Banks","L","660688","Keibert Ruiz","R",2,3,FALSE,FALSE,FALSE,"field_out","Groundout","field_out","In play, out(s)","Keibert Ruiz grounds out, third baseman Alec Bohm to first baseman Bryce Harper.","FF","Four-Seam Fastball",TRUE,FALSE,70,-20,7,5,105.81,164.7,"ground_ball",,0,3,1,3,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,2,1,3,1,3,-2,-2,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,TRUE,0.387244897959184,0,-0.387244897959184,"sabrhood_empirical_re24_v1",0.918418839360808,47.9,TRUE,FALSE,"behind","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
19388,"823485",2026-03-31,61,3,"30609ec2-d873-3af4-a73a-b4ec7fdd3425",8,"top",TRUE,"Washington Nationals","Philadelphia Phillies","Philadelphia Phillies","Washington Nationals","641745","Brad Keller","R","660688","Keibert Ruiz","L",2,3,FALSE,FALSE,FALSE,"field_out","Groundout","field_out","In play, out(s)","Keibert Ruiz grounds out to first baseman Bryce Harper.","SL","Slider",TRUE,FALSE,82.7,-12,5,3,148.92,170.79,"ground_ball",,0,3,2,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ground_ball","pull",0,1,1,2,3,2,3,-1,-1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,FALSE,0.231771273896126,0,-0.231771273896126,"sabrhood_empirical_re24_v1",1.34474990786721,57.4,TRUE,FALSE,"behind","sabrhood_context_proxy_v1",0.627906976744186,258,"mlbam_hit_coordinates_pull_rate_leader_v1","2026-08-30","2026-08-31 17:30:43 UTC"
