"outs_before","base_state_before","plate_appearances","expected_runs","run_sd","base_state_label","sample_reliability","estimate_available","run_expectancy_method","source_through","generated_at_utc"
0,0,37047,0.504143385429319,1.03610148596414,"empty",0.99730799257006,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
0,1,8668,0.898246423627134,1.37777498683431,"1--",0.988594890510949,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
0,2,1846,1.18472372697725,1.38439017502082,"-2-",0.948612538540596,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
0,3,2242,1.56021409455843,1.70862461646195,"12-",0.957301451750641,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
0,4,198,1.48484848484848,1.62695340686024,"--3",0.664429530201342,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
0,5,767,1.77966101694915,1.57483585777542,"1-3",0.884659746251442,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
0,6,414,2.02657004830918,1.53940000376597,"-23",0.805447470817121,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
0,7,694,2.43659942363112,1.94836312496517,"123",0.874055415617129,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
1,0,26558,0.264778974320355,0.729634939098227,"empty",0.996248780853777,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
1,1,10842,0.532927504150526,1.05955598086243,"1--",0.990860902942789,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
1,2,3480,0.675,1.07566900645137,"-2-",0.972067039106145,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
1,3,3841,0.936995574069253,1.37639634864895,"12-",0.974625729510277,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
1,4,1075,0.928372093023256,1.01455178165347,"--3",0.914893617021277,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
1,5,1633,1.17575015309247,1.31650525802255,"1-3",0.942296595499134,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
1,6,1098,1.38069216757741,1.35861164118755,"-23",0.91652754590985,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
1,7,1400,1.65214285714286,1.65493469449739,"123",0.933333333333333,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
2,0,20913,0.101659255008846,0.443965770728098,"empty",0.995241041260172,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
2,1,11446,0.230735628167045,0.701096140209448,"1--",0.991338991858652,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
2,2,4577,0.313961109897313,0.736747406252711,"-2-",0.978618772717554,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
2,3,4713,0.455336303840441,0.989851763434059,"12-",0.979222937876584,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
2,4,1899,0.385992627698789,0.776386011687986,"--3",0.949974987493747,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
2,5,2352,0.530187074829932,1.05321139367404,"1-3",0.959216965742251,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
2,6,1136,0.524647887323944,1.03732537266321,"-23",0.919093851132686,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
2,7,1680,0.754166666666667,1.3253992023023,"123",0.943820224719101,TRUE,"sabrhood_empirical_re24_v1","2026-08-25","2026-08-26 10:36:12 UTC"
