"pitcher_id","pitcher_name","catcher_id","catcher_name","fielding_team","attempts","stolen_bases","success_rate_allowed","independent_expected_success_rate","battery_advances_prevented","battery_runs_saved","reliability","source_through","generated_at_utc"
"445276","Kenley Jansen","680664","Eduardo Valencia","Detroit Tigers",3,3,1,0.850953294935946,-0.447140115192162,-0.290641074874906,0.130434782608696,"2026-09-21","2026-09-22 14:30:35 UTC"
"445276","Kenley Jansen","693307","Dillon Dingler","Detroit Tigers",6,6,1,0.885609034948056,-0.686345790311664,-0.446124763702582,0.230769230769231,"2026-09-21","2026-09-22 14:30:35 UTC"
"453286","Max Scherzer","672386","Alejandro Kirk","Toronto Blue Jays",4,4,1,0.829884976625003,-0.680460093499987,-0.442299060774992,0.166666666666667,"2026-09-21","2026-09-22 14:30:35 UTC"
"453286","Max Scherzer","678218","Brandon Valenzuela","Toronto Blue Jays",2,1,0.5,0.766442787102985,0.532885574205969,0.34637562323388,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"455119","Chris Martin","543309","Kyle Higashioka","Texas Rangers",2,1,0.5,0.736900340362928,0.473800680725857,0.307970442471807,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"471911","Carlos Carrasco","644433","Chadwick Tromp","Atlanta Braves",1,1,1,0.875714462775767,-0.124285537224233,-0.0807855991957514,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"471911","Carlos Carrasco","665856","Jair Camargo remains in the game as the catcher.","Atlanta Braves",1,1,1,0.848670766163806,-0.151329233836194,-0.0983640019935258,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"472610","Luis García","605170","Victor Caratini","Minnesota Twins",2,2,1,0.72698225602422,-0.54603548795156,-0.354923067168514,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"476594","Robert Stock","682626","Francisco Alvarez","New York Mets",3,3,1,0.817718870381013,-0.546843388856961,-0.355448202757024,0.130434782608696,"2026-09-21","2026-09-22 14:30:35 UTC"
"489446","Kirby Yates","518595","Travis d'Arnaud","Los Angeles Angels",1,1,1,0.904787129346576,-0.0952128706534239,-0.0618883659247255,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"489446","Kirby Yates","623168","Tyler Heineman","Los Angeles Angels",1,1,1,0.744437407383031,-0.255562592616969,-0.16611568520103,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"489446","Kirby Yates","681351","Logan O'Hoppe","Los Angeles Angels",3,3,1,0.853507440460138,-0.439477678619585,-0.28566049110273,0.130434782608696,"2026-09-21","2026-09-22 14:30:35 UTC"
"489446","Kirby Yates","804668","Rafael Flores Jr.","Pittsburgh Pirates",1,1,1,0.890010373769642,-0.109989626230358,-0.0714932570497329,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"500779","Jose Quintana","664954","Brett Sullivan","Colorado Rockies",2,2,1,0.869690777117067,-0.260618445765867,-0.169401989747813,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"500779","Jose Quintana","696100","Hunter Goodman","Colorado Rockies",2,2,1,0.876590197466553,-0.246819605066894,-0.160432743293481,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"518585","Fernando Cruz","669224","Austin Wells","New York Yankees",1,1,1,0.898564563025954,-0.101435436974046,-0.0659330340331296,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"518876","Merrill Kelly","543510","James McCann","Arizona Diamondbacks",1,1,1,0.669044535084036,-0.330955464915964,-0.215121052195377,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"518876","Merrill Kelly","672515","Gabriel Moreno","Arizona Diamondbacks",8,7,0.875,0.839654178595096,-0.282766571239236,-0.183798271305503,0.285714285714286,"2026-09-21","2026-09-22 14:30:35 UTC"
"518876","Merrill Kelly","680728","Adrian Del Castillo","Arizona Diamondbacks",3,2,0.666666666666667,0.864521757633829,0.593565272901487,0.385817427385967,0.130434782608696,"2026-09-21","2026-09-22 14:30:35 UTC"
"518886","Craig Kimbrel","521692","Salvador Perez","Kansas City Royals",1,0,0,0.89792288173944,0.89792288173944,0.583649873130636,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"518886","Craig Kimbrel","663743","Nick Fortes","Tampa Bay Rays",2,2,1,0.791271300045658,-0.417457399908683,-0.271347309940644,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"518886","Craig Kimbrel","676439","Hunter Feduccia","Tampa Bay Rays",3,3,1,0.665315201860837,-1.00405439441749,-0.652635356371368,0.130434782608696,"2026-09-21","2026-09-22 14:30:35 UTC"
"518886","Craig Kimbrel","682626","Francisco Alvarez","New York Mets",1,0,0,0.858687150261881,0.858687150261881,0.558146647670223,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"518886","Craig Kimbrel","695600","Carter Jensen remains in the game as the catcher.","Kansas City Royals",1,1,1,0.868182980835803,-0.131817019164197,-0.0856810624567282,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"519141","Drew Pomeranz","608348","Carson Kelly","Chicago Cubs",1,1,1,0.896086275828466,-0.103913724171534,-0.0675439207114973,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"519141","Drew Pomeranz","681351","Logan O'Hoppe","Los Angeles Angels",1,1,1,0.866485373844496,-0.133514626155504,-0.0867845070010773,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"519242","Chris Sale","506702","Sandy León","Atlanta Braves",1,1,1,0.772226233663949,-0.227773766336051,-0.148052948118433,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"519242","Chris Sale","686948","Drake Baldwin","Atlanta Braves",3,3,1,0.736919697434717,-0.78924090769585,-0.513006590002302,0.130434782608696,"2026-09-21","2026-09-22 14:30:35 UTC"
"527048","Martín Pérez","506702","Sandy León","Atlanta Braves",1,1,1,0.913583829509542,-0.0864161704904585,-0.056170510818798,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"527048","Martín Pérez","686948","Drake Baldwin","Atlanta Braves",1,1,1,0.676056497675524,-0.323943502324476,-0.210563276510909,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"542888","Shawn Armstrong","595978","Austin Hedges","Cleveland Guardians",3,3,1,0.794130652024647,-0.61760804392606,-0.401445228551939,0.130434782608696,"2026-09-21","2026-09-22 14:30:35 UTC"
"542888","Shawn Armstrong","672275","Patrick Bailey","Cleveland Guardians",1,1,1,0.874603065610495,-0.125396934389505,-0.0815080073531784,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"543037","Gerrit Cole","641555","J.C. Escarra","New York Yankees",1,1,1,0.865866051692912,-0.134133948307088,-0.0871870663996069,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"543037","Gerrit Cole","669224","Austin Wells","New York Yankees",6,5,0.833333333333333,0.848294905706099,0.0897694342365937,0.0583501322537859,0.230769230769231,"2026-09-21","2026-09-22 14:30:35 UTC"
"543056","Danny Coulombe","575929","Willson Contreras","Boston Red Sox",1,1,1,0.800138242212943,-0.199861757787057,-0.129910142561587,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"543135","Nathan Eovaldi","543309","Kyle Higashioka","Texas Rangers",3,3,1,0.82593008969592,-0.52220973091224,-0.339436325092956,0.130434782608696,"2026-09-21","2026-09-22 14:30:35 UTC"
"543243","Sonny Gray","575929","Willson Contreras","Boston Red Sox",7,6,0.857142857142857,0.838894448573206,-0.127738859987557,-0.0830302589919117,0.259259259259259,"2026-09-21","2026-09-22 14:30:35 UTC"
"543243","Sonny Gray","657136","Connor Wong","Boston Red Sox",2,2,1,0.84435315426898,-0.311293691462039,-0.202340899450325,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"543243","Sonny Gray","681508","Mickey Gasper","Boston Red Sox",4,4,1,0.857188127124629,-0.571247491501485,-0.371310869475966,0.166666666666667,"2026-09-21","2026-09-22 14:30:35 UTC"
"544150","Albert Suárez","668939","Adley Rutschman","Baltimore Orioles",1,1,1,0.864717086212588,-0.135282913787412,-0.0879338939618176,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"544150","Albert Suárez","669087","Sam Huff","Baltimore Orioles",1,0,0,0.890169055248513,0.890169055248513,0.578609885911533,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"544150","Albert Suárez","694212","Samuel Basallo","Baltimore Orioles",1,0,0,0.950243704519621,0.950243704519621,0.617658407937754,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"547179","Michael Lorenzen","690924","Braxton Fulford","Colorado Rockies",1,1,1,0.785820440729888,-0.214179559270112,-0.139216713525573,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"547179","Michael Lorenzen","696100","Hunter Goodman","Colorado Rockies",5,4,0.8,0.821667013151428,0.10833506575714,0.0704177927421411,0.2,"2026-09-21","2026-09-22 14:30:35 UTC"
"547973","Aroldis Chapman","575929","Willson Contreras","Boston Red Sox",4,3,0.75,0.841862239522807,0.367448958091228,0.238841822759298,0.166666666666667,"2026-09-21","2026-09-22 14:30:35 UTC"
"547973","Aroldis Chapman","657136","Connor Wong","Boston Red Sox",2,2,1,0.780141067218632,-0.439717865562736,-0.285816612615778,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"547973","Aroldis Chapman","665966","Carlos Narváez","Boston Red Sox",2,2,1,0.758397582584966,-0.483204834830068,-0.314083142639545,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"548384","Brooks Raley","596117","Garrett Stubbs","Philadelphia Phillies",1,0,0,0.852083862543879,0.852083862543879,0.553854510653521,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"548384","Brooks Raley","682626","Francisco Alvarez","New York Mets",1,0,0,0.883517747684416,0.883517747684416,0.574286535994871,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"552640","Andrew Kittredge","650968","Yohel Pozo","Baltimore Orioles",1,1,1,0.786982514601105,-0.213017485398895,-0.138461365509282,0.0476190476190476,"2026-09-21","2026-09-22 14:30:35 UTC"
"552640","Andrew Kittredge","668939","Adley Rutschman","Baltimore Orioles",4,3,0.75,0.819956062666342,0.279824250665368,0.181885762932489,0.166666666666667,"2026-09-21","2026-09-22 14:30:35 UTC"
"552640","Andrew Kittredge","694212","Samuel Basallo","Baltimore Orioles",2,2,1,0.873463169405794,-0.253073661188413,-0.164497879772468,0.0909090909090909,"2026-09-21","2026-09-22 14:30:35 UTC"
"554430","Zack Wheeler","592663","J.T. Realmuto","Philadelphia Phillies",9,7,0.777777777777778,0.871336895188391,0.842032056695517,0.547320836852086,0.310344827586207,"2026-09-21","2026-09-22 14:30:35 UTC"
