"opportunities","advancements_allowed","observed_advancement_rate","expected_advancement_rate","adjusted_advancement_rate","advancements_prevented","advancement_runs_saved","player_id","player_name","team","position","reliability","runs_saved_per_100","advancement_prevention_score","model_version","source_through","generated_at_utc"
2,1,0.5,0.503126987249502,0.503043120334995,0.00625397449900306,0.0222754967269811,"453286","Max Scherzer","Toronto Blue Jays","P",0.0277777777777778,1.11377483634906,100.781213615092,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
4,2,0.5,0.566538601984544,0.563103831203521,0.266154407938178,0.0472261556300081,"476594","Robert Stock","New York Mets","P",0.0540540540540541,1.1806538907502,101.119219056377,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
8,4,0.5,0.504734932182698,0.503829902792666,0.037879457461587,-0.0183073748913769,"500743","Miguel Rojas","Los Angeles Dodgers","2B",0.102564102564103,-0.228842186142212,99.9270472994225,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,0,0,0.186060077496676,0.185371095655139,0.186060077496676,0.0465150193741689,"500743","Miguel Rojas","Los Angeles Dodgers","3B",0.0140845070422535,4.65150193741689,101.311031355553,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
15,6,0.4,0.392091967926373,0.391133867068745,-0.118620481104403,-0.0223885503786708,"500743","Miguel Rojas","Los Angeles Dodgers","SS",0.176470588235294,-0.149257002524472,95.9140687628487,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
21,17,0.80952380952381,0.622094676973331,0.659435028645728,-3.93601178356005,-0.770869213941393,"502671","Paul Goldschmidt","New York Yankees","1B",0.230769230769231,-3.6708057806733,96.1642325429599,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
56,28,0.5,0.489212682393902,0.492907702462048,-0.60408978594147,0.116674449016722,"514888","Jose Altuve","Houston Astros","2B",0.444444444444444,0.208347230387004,101.373815742031,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
13,6,0.461538461538462,0.319782857696558,0.337204891584116,-1.84282284994475,-0.715405943720871,"516782","Starling Marte","Kansas City Royals","LF",0.156626506024096,-5.5031226440067,92.1162050802617,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
32,15,0.46875,0.438723552605006,0.461603700882598,-0.960846316639821,-0.694487127947669,"516782","Starling Marte","Kansas City Royals","RF",0.313725490196078,-2.17027227483647,97.1340272095872,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,2,0.666666666666667,0.470278193542876,0.478189551487921,-0.589165419371371,-0.0992784718513932,"518595","Travis d'Arnaud","Los Angeles Angels","C",0.0410958904109589,-3.30928239504644,100.138011780713,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
37,18,0.486486486486487,0.526297987633172,0.515294174088336,1.47302554242738,0.695027739100031,"518692","Freddie Freeman","Los Angeles Dodgers","1B",0.345794392523364,1.878453348919,105.405272733161,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,2,0.666666666666667,0.705255592081571,0.703672152038627,0.115766776244713,0.00787150180085203,"519242","Chris Sale","Atlanta Braves","P",0.0410958904109589,0.262383393361734,100.623335489724,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,0,0,0.462215204343488,0.455868905378655,1.38664561303046,0.287168279454216,"521692","Salvador Perez","Kansas City Royals","1B",0.0410958904109589,9.5722759818072,106.691188340706,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,2,1,0.586402168878841,0.579539009732792,-0.827195662242318,-0.180409772185034,"521692","Salvador Perez","Kansas City Royals","C",0.0277777777777778,-9.0204886092517,98.5368340471084,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,1,0.5,0.50271040749553,0.502642738836248,0.00542081499106045,0.00135520374776511,"527048","Martín Pérez","Atlanta Braves","P",0.0277777777777778,0.0677601873882556,100.451041040119,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,0,0,0.722433359810396,0.702440357426819,1.44486671962079,0.288973343924158,"543037","Gerrit Cole","New York Yankees","P",0.0277777777777778,14.4486671962079,104.990347542445,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
7,7,1,0.657590715586359,0.688616425093368,-2.39686499089549,-0.517744772542413,"543243","Sonny Gray","Boston Red Sox","P",0.0909090909090909,-7.39635389346304,96.5537386062296,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
3,2,0.666666666666667,0.469949782444956,0.477511548885285,-0.590150652665133,-0.103374530382711,"543309","Kyle Higashioka","Texas Rangers","C",0.0410958904109589,-3.44581767942369,100.09216616318,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
4,2,0.5,0.419309876046729,0.427131210191547,-0.322760495813086,-0.0722487300432067,"543510","James McCann","Arizona Diamondbacks","C",0.0540540540540541,-1.80621825108017,100.737104311207,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
1,1,1,0.68446384092281,0.691786541959012,-0.31553615907719,-0.0788840397692975,"543510","James McCann","Arizona Diamondbacks","P",0.0140845070422535,-7.88840397692975,98.5329190131151,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
63,26,0.412698412698413,0.500713550738886,0.468081094379799,5.54495369654981,1.4023193039351,"543760","Marcus Semien","New York Mets","2B",0.473684210526316,2.22590365703984,108.686956431293,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
5,3,0.6,0.429020577489946,0.438435302330994,-0.85489711255027,-0.452111841995478,"543807","George Springer","Toronto Blue Jays","LF",0.0666666666666667,-9.04223683990956,91.7384469514316,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
5,2,0.4,0.482471358058989,0.477340296429326,0.412356790294944,0.124365917533922,"543877","Christian Vázquez","Houston Astros","C",0.0666666666666667,2.48731835067844,102.65480908472,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
22,17,0.772727272727273,0.572308961884328,0.609837242748529,-4.40920283854479,-0.843672273314649,"545121","Ildemaro Vargas","Arizona Diamondbacks","1B",0.239130434782609,-3.83487396961204,95.8470215247055,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
25,12,0.48,0.423307184411121,0.462757520828956,-1.41732038972197,-0.171422284334727,"545121","Ildemaro Vargas","Arizona Diamondbacks","2B",0.263157894736842,-0.685689137338908,98.6563722294467,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
2,1,0.5,0.58903205881531,0.632843344266265,0.178064117630621,0.0445160294076552,"545121","Ildemaro Vargas","Arizona Diamondbacks","SS",0.0277777777777778,2.22580147038276,100.236536300326,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
17,11,0.647058823529412,0.382030130270785,0.41486835679856,-4.50548778539666,-1.40169207811341,"545341","Randal Grichuk","Chicago White Sox","LF",0.195402298850575,-8.24524751831416,87.0581418154008,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
4,2,0.5,0.318803594365087,0.350882742191764,-0.724785622539652,-0.34044989632016,"545341","Randal Grichuk","Chicago White Sox","RF",0.0540540540540541,-8.51124740800399,93.1420306943874,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
9,2,0.222222222222222,0.330378435755798,0.363261977390988,0.973405921802186,0.225992085971233,"545341","Randal Grichuk","New York Yankees","LF",0.113924050632911,2.51102317745814,102.50628030906,"sabrhood_runner_advancement_v1","2026-09-08","2026-09-09 14:18:42 UTC"
