"opportunities","advancements_allowed","observed_advancement_rate","expected_advancement_rate","adjusted_advancement_rate","advancements_prevented","advancement_runs_saved","team","reliability","runs_saved_per_100","advancement_prevention_score","model_version","source_through","generated_at_utc"
788,303,0.384517766497462,0.392388264863389,0.392314329685075,6.20195271235077,-3.80429648486692,"Arizona Diamondbacks",0.692442882249561,-0.482778741734381,99.8380712172885,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
892,335,0.375560538116592,0.388497300564025,0.381145213370521,11.5395921031099,3.39054350416655,"Athletics",0.718196457326892,0.380105774009703,113.614312601384,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
766,271,0.35378590078329,0.389854831153612,0.373716580564208,27.6288006636669,4.96081490901961,"Atlanta Braves",0.686379928315412,0.647625967234936,117.485613114419,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
864,351,0.40625,0.400639124698984,0.402504029287348,-4.84779626007819,-4.45336208501448,"Baltimore Orioles",0.71169686985173,-0.515435426506306,99.3167125548274,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
767,253,0.329856584093872,0.397782740752154,0.36652929578042,52.099362156902,14.8403782490187,"Boston Red Sox",0.686660698299015,1.93486026714715,137.588408451192,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
740,287,0.387837837837838,0.395173443293899,0.387841285512388,5.42834803748553,-0.743547326726506,"Chicago Cubs",0.678899082568807,-0.100479368476555,105.775154170113,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
755,322,0.426490066225166,0.394366096666629,0.402789258012391,-24.2535970166949,-8.35873647106846,"Chicago White Sox",0.683257918552036,-1.10711741338655,90.1147431709872,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
891,343,0.384960718294052,0.390538198118505,0.389475796637747,4.96953452358791,-1.99577230608601,"Cincinnati Reds",0.717969379532635,-0.223992402478789,103.966965932783,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
711,273,0.383966244725738,0.407127603035356,0.397238981326411,16.4677257581383,2.15110151971363,"Cleveland Guardians",0.670122525918944,0.302545924010356,111.954403088229,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
898,384,0.427616926503341,0.396934828400968,0.410231303230689,-27.5525240959307,-11.5384767550876,"Colorado Rockies",0.719551282051282,-1.28490832462,87.013813875062,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
669,281,0.420029895366218,0.41186152107013,0.413994037263433,-5.46464240408333,-3.78031398995606,"Detroit Tigers",0.656526005888126,-0.56506935574829,98.5859301172349,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
737,299,0.405698778833107,0.393997387369292,0.393679298423162,-8.62392550883209,-5.25106086547673,"Houston Astros",0.678012879484821,-0.712491297893723,96.2756319100549,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
809,326,0.402966625463535,0.398195896022877,0.400532468673235,-3.85952011749257,-6.50301473035152,"Kansas City Royals",0.698015530629853,-0.803833712033562,94.783104458854,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
783,353,0.450830140485313,0.406048644435671,0.424015911919194,-35.0639114068694,-13.8959114021979,"Los Angeles Angels",0.691085613415711,-1.77470132850548,79.6009142028404,"sabrhood_runner_advancement_v1","2026-08-20","2026-08-21 10:31:02 UTC"
