"team","tracked_batted_balls","batted_balls_100_plus","max_exit_velocity","total_pitches","tracked_pitches","pitches_100_plus","max_velocity","tracked_batted_balls_allowed","batted_balls_100_plus_allowed","batted_balls_100_plus_rate","pitches_100_plus_rate","batted_balls_100_plus_allowed_rate","tracking_method","source_through","generated_at_utc"
"New York Yankees",4226,1116,116.3,22441,22412,69,101.3,3800,857,0.264079507808803,0.00307870783508835,0.225526315789474,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Milwaukee Brewers",4011,1020,115.5,25972,25941,1164,105.5,4245,945,0.254300673148841,0.0448710535445819,0.222614840989399,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Atlanta Braves",3963,1017,115.2,23603,23603,34,101.1,4149,928,0.25662376987131,0.00144049485234928,0.223668353820198,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Los Angeles Dodgers",4250,997,114.6,25621,25621,605,104.5,4270,963,0.234588235294118,0.0236134420982788,0.225526932084309,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"San Diego Padres",4230,991,115.7,24913,24911,706,104,4291,915,0.234278959810875,0.0283408935811489,0.213237007690515,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Texas Rangers",4058,980,114.3,25104,25103,14,101.9,4417,983,0.241498275012321,0.000557702266661355,0.222549241566674,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Kansas City Royals",3835,957,117.2,22860,22860,66,101.5,4147,958,0.249543676662321,0.00288713910761155,0.231010368941403,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Seattle Mariners",4196,955,116.1,21085,21084,210,103,3756,867,0.227597712106768,0.0099601593625498,0.230830670926518,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"New York Mets",3787,950,114.9,16511,16509,9,101.1,2764,638,0.250858199102192,0.000545157186988915,0.23082489146165,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Athletics",4037,949,115.9,23582,23530,106,102.7,4022,873,0.235075551151845,0.00450488737781555,0.217056190949776,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Baltimore Orioles",3555,947,116.5,22027,22027,56,102.1,3939,882,0.266385372714487,0.00254233440777228,0.223914699162224,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"St. Louis Cardinals",3942,941,117.2,21172,21164,35,101.1,3734,903,0.23871131405378,0.00165375165375165,0.241831815747188,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Houston Astros",4305,934,118.5,20842,20842,0,99.3,3430,713,0.216957026713124,0,0.207871720116618,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Tampa Bay Rays",4548,933,116.9,23491,23451,15,101.5,4280,925,0.205145118733509,0.000639631572214405,0.216121495327103,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Arizona Diamondbacks",4302,925,116.9,23589,23574,152,103.8,4548,1041,0.215016271501627,0.0064477814541444,0.228891820580475,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Pittsburgh Pirates",3962,923,119,25062,25062,466,103,4145,959,0.232963149924281,0.0185938871598436,0.231363088057901,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Philadelphia Phillies",4462,911,113.5,24536,24535,254,102.5,4089,884,0.204168534289556,0.0103525575708172,0.2161897774517,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Washington Nationals",3758,898,116.3,21482,21479,70,102.2,3701,880,0.238956891963811,0.00325899716001676,0.237773574709538,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Minnesota Twins",4032,892,113.7,24961,24932,26,101.1,4280,968,0.221230158730159,0.00104283651532167,0.226168224299065,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Cleveland Guardians",4398,889,116.8,25187,25139,68,101.7,4141,960,0.202137335152342,0.00270496042006444,0.231828060854866,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Boston Red Sox",4272,880,114.9,21606,21606,314,103.6,3799,847,0.205992509363296,0.0145330000925669,0.222953408791787,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Chicago Cubs",4170,869,114.6,28084,28057,86,102.5,5015,1165,0.208393285371703,0.00306518872295684,0.232303090727817,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Chicago White Sox",3797,838,115.4,24416,24385,202,102.2,4187,977,0.220700553068212,0.00828378101291778,0.233341294482923,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Cincinnati Reds",3511,833,117.4,24017,24002,111,102,4038,944,0.237254343491883,0.00462461461544871,0.233779098563645,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Colorado Rockies",4063,832,116.2,19489,19489,43,101.1,3726,907,0.204774796948068,0.00220637282569655,0.243424584004294,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Detroit Tigers",3812,810,112.4,19974,19972,4,100.3,3556,776,0.212486883525708,0.000200280392549569,0.21822272215973,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Miami Marlins",3460,774,115,21802,21802,135,101.3,3813,882,0.223699421965318,0.00619209246858086,0.231313926042486,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"San Francisco Giants",3416,758,113.4,19032,19032,64,102.6,3507,797,0.221896955503513,0.00336275746111812,0.227259766181922,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Los Angeles Angels",3342,693,114.6,18958,18927,272,104.5,3185,779,0.207360861759426,0.0143710043852697,0.24458398744113,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
"Toronto Blue Jays",3820,689,116.3,26837,26837,70,101.5,4546,985,0.180366492146597,0.00260833923314827,0.216673999120106,"mlbam_team_velocity_events_v1","2026-09-20","2026-09-21 16:14:59 UTC"
