"player_id","playerID","player_name","team","role","milestone_stat","prior_career_value","current_season_value","career_to_date_value","milestone_target","distance_to_milestone","milestone_status","progress_pct","recognition_tier","career_significance_score","story_score","headline","identity_match_method","identity_match_confidence","milestone_method"
518692,"freemfr01","Freddie Freeman","Los Angeles Dodgers","hitter","hits",2431,72,2503,2500,0,"reached_this_season",100.1,"star",60.6,88.2,"Freddie Freeman reached 2,500 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
543807,"springe01","George Springer","Toronto Blue Jays","hitter","hits",1480,40,1520,1500,0,"reached_this_season",101.3,"notable",44.4,83.3,"George Springer reached 1,500 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
593428,"bogaexa01","Xander Bogaerts","San Diego Padres","hitter","home runs",197,8,205,200,0,"reached_this_season",102.5,"notable",42.8,82.8,"Xander Bogaerts reached 200 career home runs","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
542303,"ozunama01","Marcell Ozuna","Pittsburgh Pirates","hitter","home runs",296,5,301,300,0,"reached_this_season",100.3,"notable",41.8,82.5,"Marcell Ozuna reached 300 career home runs","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
621566,"olsonma02","Matt Olson","Atlanta Braves","hitter","home runs",288,20,308,300,0,"reached_this_season",102.7,"established",38,81.4,"Matt Olson reached 300 career home runs","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
624413,"alonspe01","Pete Alonso","Baltimore Orioles","hitter","hits",951,70,1021,1000,0,"reached_this_season",102.1,"established",36.4,80.9,"Pete Alonso reached 1,000 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
592332,"gausmke01","Kevin Gausman","Toronto Blue Jays","pitcher","strikeouts",1954,86,2040,2000,0,"reached_this_season",102,"established",33.8,80.1,"Kevin Gausman reached 2,000 career strikeouts","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
543807,"springe01","George Springer","Toronto Blue Jays","hitter","home runs",293,6,299,300,1,"approaching",99.7,"notable",44.4,78.5,"George Springer is 1 home runs from 300","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
543135,"eovalna01","Nathan Eovaldi","Texas Rangers","pitcher","strikeouts",1487,77,1564,1500,0,"reached_this_season",104.3,"established",26.8,78,"Nathan Eovaldi reached 1,500 career strikeouts","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
664023,"happia01","Ian Happ","Chicago Cubs","hitter","hits",950,57,1007,1000,0,"reached_this_season",100.7,"established",25.9,77.8,"Ian Happ reached 1,000 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
605137,"belljo02","Josh Bell","Minnesota Twins","hitter","home runs",193,7,200,200,0,"reached_this_season",100,"established",25.3,77.6,"Josh Bell reached 200 career home runs","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
663728,"raleica01","Cal Raleigh","Seattle Mariners","hitter","hits",489,26,515,500,0,"reached_this_season",103,"established",22.6,76.8,"Cal Raleigh reached 500 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
682998,"carroco02","Corbin Carroll","Arizona Diamondbacks","hitter","hits",470,70,540,500,0,"reached_this_season",108,"established",22.1,76.6,"Corbin Carroll reached 500 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
575929,"contrwi01","Willson Contreras","Boston Red Sox","hitter","hits",954,69,1023,1000,0,"reached_this_season",102.3,"established",20.6,76.2,"Willson Contreras reached 1,000 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
650490,"diazya01","Yandy D<U+00ED>az","Tampa Bay Rays","hitter","hits",957,80,1037,1000,0,"reached_this_season",103.7,"established",20,76,"Yandy D<U+00ED>az reached 1,000 career hits","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
605141,"bettsmo01","Mookie Betts","Los Angeles Dodgers","hitter","home runs",291,7,298,300,2,"approaching",99.3,"notable",47.3,75.7,"Mookie Betts is 2 home runs from 300","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
642715,"adamewi01","Willy Adames","San Francisco Giants","hitter","hits",933,64,997,1000,3,"approaching",99.7,"established",20.8,73.8,"Willy Adames is 3 hits from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
608070,"ramirjo01","Jos<U+00E9> Ram<U+00ED>rez","Cleveland Guardians","hitter","home runs",285,10,295,300,5,"approaching",98.3,"notable",44.9,66.8,"Jos<U+00E9> Ram<U+00ED>rez is 5 home runs from 300","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
608379,"wachami01","Michael Wacha","Kansas City Royals","pitcher","strikeouts",1416,69,1485,1500,15,"approaching",99,"established",24.4,66.2,"Michael Wacha is 15 strikeouts from 1,500","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
571448,"arenano01","Nolan Arenado","Arizona Diamondbacks","hitter","hits",1921,54,1975,2000,25,"approaching",98.8,"notable",49.6,66.1,"Nolan Arenado is 25 hits from 2,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
660271,"ohtansh01","Shohei Ohtani","Los Angeles Dodgers","hitter","home runs",280,14,294,300,6,"approaching",98,"notable",40.2,64.1,"Shohei Ohtani is 6 home runs from 300","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
670541,"alvaryo01","Yordan Alvarez","Houston Astros","hitter","home runs",170,24,194,200,6,"approaching",97,"established",29.9,63,"Yordan Alvarez is 6 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
596142,"sanchga02","Gary S<U+00E1>nchez","Milwaukee Brewers","hitter","home runs",189,7,196,200,4,"approaching",98,"established",24.5,62.1,"Gary S<U+00E1>nchez is 4 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
543243,"grayso01","Sonny Gray","Boston Red Sox","pitcher","strikeouts",1925,51,1976,2000,24,"approaching",98.8,"established",32.8,61.4,"Sonny Gray is 24 strikeouts from 2,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
592626,"pederjo01","Joc Pederson","Texas Rangers","hitter","hits",935,42,977,1000,23,"approaching",97.7,"established",26,59.2,"Joc Pederson is 23 hits from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
607208,"turnetr01","Trea Turner","Philadelphia Phillies","hitter","home runs",186,7,193,200,7,"approaching",96.5,"notable",41.2,58.4,"Trea Turner is 7 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
682998,"carroco02","Corbin Carroll","Arizona Diamondbacks","hitter","home runs",82,12,94,100,6,"approaching",94,"established",22.1,58,"Corbin Carroll is 6 home runs from 100","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
660670,"acunaro01","Ronald Acu<U+00F1>a Jr.","Atlanta Braves","hitter","home runs",186,7,193,200,7,"approaching",96.5,"established",32.2,55.7,"Ronald Acu<U+00F1>a Jr. is 7 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
572233,"walkech02","Christian Walker","Houston Astros","hitter","home runs",174,18,192,200,8,"approaching",96,"established",24.5,55.2,"Christian Walker is 8 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
553993,"suareeu01","Eugenio Su<U+00E1>rez","Cincinnati Reds","hitter","hits",1434,34,1468,1500,32,"approaching",97.9,"established",33.7,54.4,"Eugenio Su<U+00E1>rez is 32 hits from 1,500","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
660670,"acunaro01","Ronald Acu<U+00F1>a Jr.","Atlanta Braves","hitter","hits",913,49,962,1000,38,"approaching",96.2,"established",32.2,51.9,"Ronald Acu<U+00F1>a Jr. is 38 hits from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
621439,"buxtoby01","Byron Buxton","Minnesota Twins","hitter","home runs",168,22,190,200,10,"approaching",95,"established",22.5,50.5,"Byron Buxton is 10 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
642715,"adamewi01","Willy Adames","San Francisco Giants","hitter","home runs",180,11,191,200,9,"approaching",95.5,"established",20.8,49.2,"Willy Adames is 9 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
656555,"hoskirh01","Rhys Hoskins","Cleveland Guardians","hitter","home runs",186,6,192,200,8,"approaching",96,"established",20,48.6,"Rhys Hoskins is 8 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
624585,"solerjo01","Jorge Soler","Los Angeles Angels","hitter","hits",915,47,962,1000,38,"approaching",96.2,"established",21.9,48.6,"Jorge Soler is 38 hits from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
664023,"happia01","Ian Happ","Chicago Cubs","hitter","home runs",173,16,189,200,11,"approaching",94.5,"established",25.9,47.6,"Ian Happ is 11 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
592450,"judgeaa01","Aaron Judge","New York Yankees","hitter","home runs",368,17,385,400,15,"approaching",96.2,"notable",51.6,46.1,"Aaron Judge is 15 home runs from 400","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
605400,"nolaaa01","Aaron Nola","Philadelphia Phillies","pitcher","strikeouts",1876,71,1947,2000,53,"approaching",97.3,"established",31.4,44.4,"Aaron Nola is 53 strikeouts from 2,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
594798,"degroja01","Jacob deGrom","Texas Rangers","pitcher","strikeouts",1851,89,1940,2000,60,"approaching",97,"notable",40.2,44,"Jacob deGrom is 60 strikeouts from 2,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
514888,"altuvjo01","Jose Altuve","Houston Astros","hitter","hits",2388,45,2433,2500,67,"approaching",97.3,"notable",56.6,41.5,"Jose Altuve is 67 hits from 2,500","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
519141,"pomerdr01","Drew Pomeranz","Los Angeles Angels","pitcher","strikeouts",940,16,956,1000,44,"approaching",95.6,"established",25.2,40.9,"Drew Pomeranz is 44 strikeouts from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
575929,"contrwi01","Willson Contreras","Boston Red Sox","hitter","home runs",172,14,186,200,14,"approaching",93,"established",20.6,38.2,"Willson Contreras is 14 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
607074,"rodonca01","Carlos Rod<U+00F3>n","New York Yankees","pitcher","strikeouts",1409,34,1443,1500,57,"approaching",96.2,"established",24.4,36.3,"Carlos Rod<U+00F3>n is 57 strikeouts from 1,500","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
592518,"machama01","Manny Machado","San Diego Padres","hitter","home runs",369,12,381,400,19,"approaching",95.2,"notable",51.8,35.3,"Manny Machado is 19 home runs from 400","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
669373,"skubata01","Tarik Skubal","Detroit Tigers","pitcher","strikeouts",889,49,938,1000,62,"approaching",93.8,"established",23.8,35,"Tarik Skubal is 62 strikeouts from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
502671,"goldspa01","Paul Goldschmidt","New York Yankees","hitter","home runs",372,9,381,400,19,"approaching",95.2,"notable",52.2,34.1,"Paul Goldschmidt is 19 home runs from 400","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
592663,"realmjt01","J.T. Realmuto","Philadelphia Phillies","hitter","home runs",180,4,184,200,16,"approaching",92,"established",34.1,32.2,"J.T. Realmuto is 16 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
518692,"freemfr01","Freddie Freeman","Los Angeles Dodgers","hitter","home runs",367,11,378,400,22,"approaching",94.5,"star",60.6,30.8,"Freddie Freeman is 22 home runs from 400","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
606466,"marteke01","Ketel Marte","Arizona Diamondbacks","hitter","home runs",171,11,182,200,18,"approaching",91,"established",29.1,30.3,"Ketel Marte is 18 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
572233,"walkech02","Christian Walker","Houston Astros","hitter","hits",859,67,926,1000,74,"approaching",92.6,"established",24.5,29.9,"Christian Walker is 74 hits from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
624413,"alonspe01","Pete Alonso","Baltimore Orioles","hitter","home runs",264,16,280,300,20,"approaching",93.3,"established",36.4,29.8,"Pete Alonso is 20 home runs from 300","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
547180,"harpebr03","Bryce Harper","Philadelphia Phillies","hitter","home runs",363,15,378,400,22,"approaching",94.5,"notable",50.7,29.3,"Bryce Harper is 22 home runs from 400","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
596019,"lindofr01","Francisco Lindor","New York Mets","hitter","home runs",279,2,281,300,19,"approaching",93.7,"notable",40.8,26.1,"Francisco Lindor is 19 home runs from 300","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
643410,"leitema01","Mark Leiter Jr.","Athletics","pitcher","strikeouts",892,31,923,1000,77,"approaching",92.3,"established",24.4,24.6,"Mark Leiter Jr. is 77 strikeouts from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
663586,"rileyau01","Austin Riley","Atlanta Braves","hitter","home runs",169,8,177,200,23,"approaching",88.5,"established",26.3,17.1,"Austin Riley is 23 home runs from 200","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
571578,"corbipa01","Patrick Corbin","Toronto Blue Jays","pitcher","strikeouts",1860,43,1903,2000,97,"approaching",95.2,"established",31.2,17,"Patrick Corbin is 97 strikeouts from 2,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
663586,"rileyau01","Austin Riley","Atlanta Braves","hitter","hits",850,52,902,1000,98,"approaching",90.2,"established",26.3,15.8,"Austin Riley is 98 hits from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
621121,"mcculla02","Lance McCullers Jr.","Houston Astros","pitcher","strikeouts",861,43,904,1000,96,"approaching",90.4,"established",22.8,15,"Lance McCullers Jr. is 96 strikeouts from 1,000","unique_normalized_name_v1",0.75,"lahman_through_2025_plus_current_summary_v1"
