"pitcher_id","pitcher_name","team","throws","last_appearance","pitches_last_1d","pitches_last_3d","pitches_last_7d","appearances_last_3d","consecutive_days_used","days_rest","pitcher_role","role_confidence","availability_score","availability_status","availability_method","as_of_date","source_through","generated_at_utc","player_name","team_id","team_name","position_abbreviation","position_type","roster_status","roster_type","is_active","is_pitcher","roster_pitcher_role","roster_verified_at","roster_method","active_roster_verified","bullpen_pool_method"
"623149","Paul Sewald","Arizona Diamondbacks","R","2026-07-28",0,13,22,1,0,2,"reliever",1,0.927777777777778,"available","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Paul Sewald","109","Arizona Diamondbacks","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
"656464","Kevin Ginkel","Arizona Diamondbacks","R","2026-07-28",0,13,35,1,0,2,"reliever",1,0.927777777777778,"available","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Kevin Ginkel","109","Arizona Diamondbacks","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
"672629","Gerardo Carrillo","Arizona Diamondbacks","R","2026-07-28",0,17,52,1,0,2,"reliever",0.15,0.905555555555556,"available","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Gerardo Carrillo","109","Arizona Diamondbacks","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
"642528","Jonathan Loáisiga","Arizona Diamondbacks","R","2026-07-27",0,18,34,1,0,3,"reliever",1,0.9,"available","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Jonathan Loáisiga","109","Arizona Diamondbacks","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
"664199","Taylor Clarke","Arizona Diamondbacks","R","2026-07-27",0,19,34,1,0,3,"reliever",1,0.894444444444444,"available","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Taylor Clarke","109","Arizona Diamondbacks","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
"657044","Ryan Thompson","Arizona Diamondbacks","R","2026-07-28",0,28,69,1,0,2,"reliever",1,0.844444444444444,"available","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Ryan Thompson","109","Arizona Diamondbacks","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
"666661","Juan Morillo","Arizona Diamondbacks","R","2026-07-28",0,29,37,2,0,2,"reliever",1,0.838888888888889,"available","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Juan Morillo","109","Arizona Diamondbacks","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
"694297","Brandon Pfaadt","Arizona Diamondbacks","R","2026-07-28",0,101,188,1,0,2,"hybrid",0.05,0.7,"monitor","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Brandon Pfaadt","109","Arizona Diamondbacks","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
"805299","Brandyn Garcia","Arizona Diamondbacks","L","2026-07-29",17,25,61,2,2,1,"reliever",1,0.337777777777778,"limited","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Brandyn Garcia","109","Arizona Diamondbacks","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
"686930","Mason Barnett","Athletics","R","2026-07-25",0,0,54,0,0,5,"reliever",0.65,1,"available","sabrhood_workload_heuristic_v1","2026-07-30","2026-07-30","2026-07-31 16:21:19 UTC","Mason Barnett","133","Athletics","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-07-31,"baseballr_mlb_rosters_active_v1",TRUE,"workload_plus_baseballr_active_roster_v1"
