"pitcher_id","pitcher_name","team","throws","last_appearance","pitches_last_1d","pitches_last_3d","pitches_last_7d","appearances_last_3d","consecutive_days_used","days_rest","pitcher_role","role_confidence","availability_score","availability_status","availability_method","as_of_date","source_through","generated_at_utc","performance_score","performance_reliability","matchup_score","performance_score_used","role_fit_score","selection_score","upcoming_batter_side","leverage_index","selection_method","eligibility_method","selection_rank","matchup_board_method","identity_match_method"
"805299","Brandyn Garcia","Arizona Diamondbacks","L","2026-09-15",0,0,30,0,0,4,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.84452986631016,0.642,1,0.84452986631016,1,96.1,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"686796","Blake Walston","Arizona Diamondbacks","L","2026-09-08",0,0,0,0,0,11,"reliever",0.1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,1,0.5,1,87.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"666661","Juan Morillo","Arizona Diamondbacks","R","2026-09-15",0,0,35,0,0,4,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.818010704099822,0.714,0.35,0.818010704099822,1,82.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"666661","Juan Morillo","Arizona Diamondbacks","R","2026-09-15",0,0,35,0,0,4,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.818010704099822,0.714,0.7,0.818010704099822,1,89.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"805299","Brandyn Garcia","Arizona Diamondbacks","L","2026-09-15",0,0,30,0,0,4,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.84452986631016,0.642,0.4,0.84452986631016,1,84.1,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"656464","Kevin Ginkel","Arizona Diamondbacks","R","2026-09-15",0,0,39,0,0,4,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.588081885026738,0.725,0.7,0.588081885026738,1,83.7,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"663687","Hogan Harris","Athletics","L","2026-09-16",0,6,45,1,0,3,"reliever",1,0.966666666666667,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.645655169340463,0.748,1,0.645655169340463,1,89.8,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"666126","Carlos Cortes","Athletics","L","2026-09-12",0,0,26,0,0,7,"reliever",0.45,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,1,0.5,1,87.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"680723","Drew Rom","Athletics","L","2026-09-17",0,14,14,2,0,2,"reliever",0.75,0.922222222222222,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,1,0.5,1,84.4,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"688497","Taylor Rashi","Athletics","R","2026-08-20",0,0,0,0,0,30,"reliever",0.2,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,0.7,0.5,1,81.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"683155","Joey Estes","Athletics","R","2026-09-12",0,0,54,0,0,7,"hybrid",0,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,0.7,0.5,0.85,79.2,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"663687","Hogan Harris","Athletics","L","2026-09-16",0,6,45,1,0,3,"reliever",1,0.966666666666667,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.645655169340463,0.748,0.4,0.645655169340463,1,77.8,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"669276","Dylan Lee","Atlanta Braves","L","2026-09-13",0,0,14,0,0,6,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.817194732620321,0.718,1,0.817194732620321,1,95.4,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"689266","Dylan Dodd","Atlanta Braves","L","2026-09-16",0,4,4,1,0,3,"reliever",1,0.977777777777778,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.701956751336898,0.639,1,0.701956751336898,1,91.7,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"678061","Ray Kerr","Atlanta Braves","L","2026-09-13",0,0,34,0,0,6,"reliever",0.35,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,1,0.5,1,87.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"669276","Dylan Lee","Atlanta Braves","L","2026-09-13",0,0,14,0,0,6,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.817194732620321,0.718,0.4,0.817194732620321,1,83.4,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"682989","Victor Mederos","Atlanta Braves","R","2026-09-13",0,0,17,0,0,6,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.53820816399287,0.576,0.7,0.53820816399287,1,82.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"689266","Dylan Dodd","Atlanta Braves","L","2026-09-16",0,4,4,1,0,3,"reliever",1,0.977777777777778,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.701956751336898,0.639,0.4,0.701956751336898,1,79.7,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"676742","Cam Sanders","Baltimore Orioles","R","2026-09-13",0,0,31,0,0,6,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.639013333333333,0.552,0.35,0.639013333333333,1,78,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"695380","Alex Hoppe","Baltimore Orioles","R","2026-09-15",0,0,11,0,0,4,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.523735614973262,0.648,0.35,0.523735614973262,1,75.1,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"682274","Yaramil Hiraldo","Baltimore Orioles","R","2026-09-13",0,0,49,0,0,6,"reliever",0.4,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,0.35,0.5,1,74.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"676742","Cam Sanders","Baltimore Orioles","R","2026-09-13",0,0,31,0,0,6,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.639013333333333,0.552,0.7,0.639013333333333,1,85,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"695380","Alex Hoppe","Baltimore Orioles","R","2026-09-15",0,0,11,0,0,4,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.523735614973262,0.648,0.7,0.523735614973262,1,82.1,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"682274","Yaramil Hiraldo","Baltimore Orioles","R","2026-09-13",0,0,49,0,0,6,"reliever",0.4,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,0.7,0.5,1,81.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"663558","Jovani Morán","Boston Red Sox","L","2026-09-15",0,0,23,0,0,4,"reliever",0.875,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.778920819964349,0.724,1,0.778920819964349,1,94.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"547973","Aroldis Chapman","Boston Red Sox","L","2026-09-13",0,0,41,0,0,6,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.734540053475936,0.677,1,0.734540053475936,1,93.4,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"687941","Alec Gamboa","Boston Red Sox","L","2026-09-17",0,7,25,1,0,2,"reliever",0.75,0.961111111111111,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.521751515151515,0.535,1,0.521751515151515,1,86.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"676477","Garrett Whitlock","Boston Red Sox","R","2026-09-17",0,12,32,1,0,2,"reliever",1,0.933333333333333,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.819832531194296,0.66,0.7,0.819832531194296,1,86.8,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"594027","Tyron Guerrero","Boston Red Sox","R","2026-08-31",0,0,0,0,0,19,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.673259554367201,0.612,0.7,0.673259554367201,1,85.8,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"663558","Jovani Morán","Boston Red Sox","L","2026-09-15",0,0,23,0,0,4,"reliever",0.875,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.778920819964349,0.724,0.4,0.778920819964349,1,82.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"573204","Caleb Thielbar","Chicago Cubs","L","2026-09-13",0,0,14,0,0,6,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.419003957219251,0.662,1,0.419003957219251,1,85.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"669020","Ryan Rolison","Chicago Cubs","L","2026-09-16",0,24,58,1,0,3,"reliever",0.93,0.866666666666667,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.520003150623886,0.711,1,0.520003150623886,1,82.7,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"694037","Daniel Palencia","Chicago Cubs","R","2026-09-15",0,0,20,0,0,4,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5437575,0.533,0.35,0.5437575,1,75.6,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"694037","Daniel Palencia","Chicago Cubs","R","2026-09-15",0,0,20,0,0,4,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5437575,0.533,0.7,0.5437575,1,82.6,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"666171","Ryan Zeferjahn","Chicago Cubs","R","2026-09-16",0,20,50,1,0,3,"reliever",1,0.888888888888889,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.709849264705882,0.745,0.7,0.709849264705882,1,82.3,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"608348","Carson Kelly","Chicago Cubs","R","2026-08-23",0,0,0,0,0,27,"reliever",0.15,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,0.7,0.5,1,81.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"656457","Tyler Gilbert","Chicago White Sox","L","2026-08-30",0,0,0,0,0,20,"reliever",0.15,1,"available","sabrhood_workload_heuristic_v1","2026-09-19","2026-09-19","2026-09-20 14:10:26 UTC",0.5,0,1,0.5,1,87.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
