threshold_games,probability_bin,training_rows,raw_mean_probability,observed_rate,shrunken_probability,calibrated_probability,training_end_season,bin_width,shrinkage_strength
250,0,20,0.0265201395068119,0.1,0.0591778552815622,0.0591778552815622,2012,0.1,25
250,0.1,13,0.167253387552498,0.307692307692308,0.215298281284538,0.215298281284538,2012,0.1,25
250,0.2,19,0.269801420009316,0.473684210526316,0.357841715914384,0.357841715914384,2012,0.1,25
250,0.3,28,0.350251922434572,0.428571428571429,0.391628265299326,0.391628265299326,2012,0.1,25
250,0.4,30,0.452549591825438,0.566666666666667,0.514795269011563,0.514795269011563,2012,0.1,25
250,0.5,32,0.542592671243736,0.59375,0.571312575106902,0.571312575106902,2012,0.1,25
250,0.6,51,0.647419365163891,0.803921568627451,0.752440580646017,0.746848964732681,2012,0.1,25
250,0.7,50,0.743772046458032,0.74,0.741257348819344,0.746848964732681,2012,0.1,25
250,0.8,56,0.841495168557783,0.910714285714286,0.889350360665982,0.889350360665982,2012,0.1,25
250,0.9,61,0.953955986065808,0.983606557377049,0.974987205251688,0.974987205251688,2012,0.1,25
500,0,46,0.028370293288402,0.0217391304347826,0.0240740469325359,0.0240740469325359,2012,0.1,25
500,0.1,39,0.146561453674027,0.205128205128205,0.182250567841417,0.182250567841417,2012,0.1,25
500,0.2,34,0.251935380913298,0.294117647058824,0.276243805471736,0.276243805471736,2012,0.1,25
500,0.3,49,0.350497430069941,0.428571428571429,0.402195077726331,0.402195077726331,2012,0.1,25
500,0.4,46,0.461039305305586,0.586956521739131,0.54261947369915,0.54261947369915,2012,0.1,25
500,0.5,39,0.551066221848026,0.666666666666667,0.621510242909385,0.621510242909385,2012,0.1,25
500,0.6,44,0.644897688421843,0.681818181818182,0.668441191457189,0.668441191457189,2012,0.1,25
500,0.7,33,0.751828018368308,0.848484848484848,0.806822421710477,0.806822421710478,2012,0.1,25
500,0.8,18,0.843935603149997,0.888888888888889,0.862753257645347,0.862753257645347,2012,0.1,25
500,0.9,12,0.942876962838775,1,0.961403353269442,0.961403353269443,2012,0.1,25
1000,0,156,0.0292868657345117,0.0512820512820513,0.0482440422285237,0.0482440422285237,2012,0.1,25
1000,0.1,72,0.142745148777475,0.166666666666667,0.160501327004504,0.160501327004504,2012,0.1,25
1000,0.2,48,0.236391377022726,0.229166666666667,0.23164088254203,0.231640882542029,2012,0.1,25
1000,0.3,39,0.356018512936821,0.384615384615385,0.373444731615946,0.373444731615946,2012,0.1,25
1000,0.4,21,0.450699666169354,0.666666666666667,0.549293296831171,0.544188143899805,2012,0.1,25
1000,0.5,12,0.55784282663329,0.5,0.539082990968439,0.544188143899805,2012,0.1,25
1000,0.6,5,0.61711912717567,0.4,0.580932605979725,0.580932605979725,2012,0.1,25
1000,0.7,5,0.730500803318516,0.6,0.708750669432096,0.708750669432096,2012,0.1,25
1000,0.8,2,0.849896544554677,1,0.861015319032108,0.861015319032108,2012,0.1,25
