"game_id","game_date","team_side","batting_order","batter_id","batter_name","batter_team","pitcher_id","pitcher_name","pitcher_team","batter_hand","pitcher_hand","batter_pa","pitcher_bf","batter_split_pa","pitcher_split_bf","batter_form_confidence","pitcher_form_confidence","p_BB","p_HBP","p_K","p_1B","p_2B","p_3B","p_HR","p_OUT","p_hit","p_xbh","p_on_base","estimated_woba","probability_sum","matchup_reliability","input_status","model_version","generated_at_utc"
"824631","2026-09-11","away",1,"804606","Konnor Griffin","Pittsburgh Pirates","684007","Shota Imanaga","Chicago Cubs","R","L",273,638,68,463,0.2,0.31,0.041085850511128,0.00676913264731179,0.267549595896669,0.174215168602182,0.0315255139020957,0.00530494223464212,0.0310918708826267,0.442457925323345,0.242137495621546,0.0679223270193645,0.289992478779986,0.296394368327383,1,62.4434406454185,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
"824631","2026-09-11","away",2,"665833","Oneil Cruz","Pittsburgh Pirates","684007","Shota Imanaga","Chicago Cubs","L","L",364,638,113,175,0.346,0.31,0.0564065286776429,0.00853653538763331,0.381459747604648,0.157160773599794,0.0295444849960257,0.00143200126738753,0.0711990734957034,0.294260854971164,0.259336333358911,0.102175559759117,0.324279397424187,0.365347512133049,1,63.6068976181617,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
"824631","2026-09-11","away",3,"668804","Bryan Reynolds","Pittsburgh Pirates","684007","Shota Imanaga","Chicago Cubs","R","L",639,638,217,463,0.346,0.31,0.0660578214010716,0.00665207406371098,0.231069354479576,0.157823584328249,0.0446198875435045,0.00073133127860757,0.0430027315472129,0.450043215358067,0.246177534697574,0.088353950369325,0.318887430162357,0.332159172059942,1,73.1318989532312,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
"824631","2026-09-11","away",4,"804668","Rafael Flores Jr.","Pittsburgh Pirates","684007","Shota Imanaga","Chicago Cubs","R","L",117,638,57,463,0.286,0.31,0.0521303538663702,0.00386970736363415,0.263546243016779,0.128768542238793,0.024001395499792,0.000929746747583425,0.0798405724815599,0.446913438785489,0.233540256967728,0.104771714728935,0.289540318197732,0.343764136673657,1,54.5734041565497,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
"824631","2026-09-11","away",5,"699013","Esmerlyn Valdez","Pittsburgh Pirates","684007","Shota Imanaga","Chicago Cubs","R","L",284,638,108,463,0.248,0.31,0.0922112871683903,0.002923703778041,0.338511548907236,0.0762486134980465,0.0420405992942389,0.00377181758787164,0.0998250931928678,0.344467336573308,0.221886123573025,0.145637510074978,0.317021114519456,0.39149245062426,1,64.4476006684078,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
"824631","2026-09-11","away",6,"693304","Nick Gonzales","Pittsburgh Pirates","684007","Shota Imanaga","Chicago Cubs","R","L",565,638,176,463,0.306,0.31,0.0445977900146732,0.0140368187546251,0.170646430165017,0.201328235378292,0.029188575844685,0.000569046993541569,0.0154974784077862,0.52413562444138,0.246583336624305,0.0452551012460127,0.305217945393603,0.286279310703336,1,71.578058208408,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
"824631","2026-09-11","away",7,"663968","Jake Mangum","Pittsburgh Pirates","684007","Shota Imanaga","Chicago Cubs","L","L",436,638,121,175,0.265,0.31,0.0415980628285927,0.0307682205613964,0.23192368135177,0.169606763300999,0.0316726281144224,0.000551081647167624,0.0225657296274382,0.471313832568213,0.224396202690027,0.0547894393890282,0.296762486080017,0.28560059664343,1,65.2681558687081,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
"824631","2026-09-11","away",8,"669707","Jared Triolo","Pittsburgh Pirates","684007","Shota Imanaga","Chicago Cubs","R","L",340,638,130,463,0.231,0.31,0.047750943985118,0.00827679707037392,0.176931027425121,0.191737969519043,0.0291063079278091,0.00039837761845146,0.019113154921836,0.526685421532248,0.24035580998714,0.0486178404680965,0.296383551042632,0.282767590725316,1,66.6417167467588,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
"824631","2026-09-11","away",9,"680779","Henry Davis","Pittsburgh Pirates","684007","Shota Imanaga","Chicago Cubs","R","L",276,638,83,463,0,0.31,0.0384393600789911,0.0100036981332411,0.233362715206331,0.100689950290877,0.0160766096231641,0.000539821598922232,0.0436014886199003,0.557286356448572,0.160907870132864,0.0602179198419867,0.209350928345096,0.230749087119451,1,63.237315456328,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
"824631","2026-09-11","home",1,"691718","Pete Crow-Armstrong","Chicago Cubs","696062","Wilber Dotel","Pittsburgh Pirates","L","R",655,137,441,75,0.383,0,0.118945342846608,0.00513205196315769,0.299670838016402,0.118563672601685,0.0475754563688342,0.00374742424353996,0.0340991244799212,0.372266089479852,0.20398567769398,0.0854220050922953,0.328063072503746,0.323482183789034,1,56.5153255275725,"overall_and_platoon_complete","multinomial_log5_platoon_form_v1","2026-09-11 17:32:58 UTC"
