"story_id","lane","subject","team","headline","deck","evidence","priority","page_link","source_date","theme_match","editorial_score","newsletter_rank","placement","edition_date","theme_id","source_through","generated_at_utc","newsletter_method"
"velocity-683618","pitching","Edgardo Henriquez","Los Angeles Dodgers","Edgardo Henriquez has crossed 100 mph 329 times","The right-now velocity ledger puts 45.9% of his tracked pitches in triple digits.","Maximum velocity: 103.6 mph.",85.1899441340782,"leaderboards.html","2026-08-04",TRUE,97.2,1,"lead","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"velocity-694819","pitching","Jacob Misiorowski","Milwaukee Brewers","Jacob Misiorowski has crossed 100 mph 786 times","The right-now velocity ledger puts 41.6% of his tracked pitches in triple digits.","Maximum velocity: 105.5 mph.",84.3174603174603,"leaderboards.html","2026-08-04",TRUE,96.3,2,"feature","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"standings-116","standings","Detroit Tigers","Detroit Tigers","Detroit Tigers erased 0.5 games in the AL Central","The club is 55-58 with a +71 run differential.","Seven-day run-differential change: +32.",89.84,"standings.html","2026-08-04",FALSE,89.8,3,"feature","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"standings-117","standings","Houston Astros","Houston Astros","Houston Astros climbed 1 place in the AL West race","The club is 59-56 with a -24 run differential.","Seven-day run-differential change: +20.",89.56,"standings.html","2026-08-04",FALSE,89.6,4,"feature","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"aaa-699302","future","Héctor Rodríguez","Cincinnati Reds","Héctor Rodríguez is the new No. 1 name on Call-Up Radar","Age 22, a 67.3 Triple-A performance score, and a possible Outfield opening with Cincinnati Reds drive the case.","Readiness score: 76.4/100; descriptive, not a transaction probability.",88.28,"aaa.html","2026-08-04",FALSE,88.3,5,"brief","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"yesterday-823432-666200","yesterday","Jesús Luzardo","Philadelphia Phillies","Jesús Luzardo delivered one of yesterday's defining performances","7.2 IP, 7 K against Washington Nationals.","Completed-game performance score: 14.7.",88,"today.html","2026-08-04",FALSE,88,6,"brief","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"award-NL-MVP","awards","Pete Crow-Armstrong","CHC","Pete Crow-Armstrong holds the current NL MVP performance lead"," 7.0 combined WAR | 23 HR | 60 RBI | 155 wRC+.","Race Rating: 96.7/100.",86.505,"races.html","2026-07-27",FALSE,86.5,7,"brief","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"award-AL-MVP","awards","Yordan Alvarez","HOU","Yordan Alvarez holds the current AL MVP performance lead"," 5.1 combined WAR | 34 HR | 77 RBI | 191 wRC+.","Race Rating: 96.1/100.",86.415,"races.html","2026-07-27",FALSE,86.4,8,"brief","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"aaa-691728","future","Zac Veen","Colorado Rockies","Zac Veen is the new No. 2 name on Call-Up Radar","Age 24, a 80.9 Triple-A performance score, and a possible Outfield opening with Colorado Rockies drive the case.","Readiness score: 71.3/100; descriptive, not a transaction probability.",86.26,"aaa.html","2026-08-04",FALSE,86.3,9,"brief","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"projection-824889","game-day","Miami Marlins at Atlanta Braves","Atlanta Braves","Miami Marlins at Atlanta Braves anchors today's simulation board","Atlanta Braves carries a 50.3% development-model win share in a 9.2-run environment.","One-run probability: 35.9%; calibration still pending.",86,"projections.html","2026-08-05",FALSE,86,10,"brief","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"yesterday-823756-701656","yesterday","Logan Henderson","Milwaukee Brewers","Logan Henderson delivered one of yesterday's defining performances","6.0 IP, 8 K against Pittsburgh Pirates.","Completed-game performance score: 14.0.",86,"today.html","2026-08-04",FALSE,86,11,"brief","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
"contact-695578","contact","James Wood","Washington Nationals","James Wood has produced 131 batted balls at 100+ mph","That is 45.6% of his tracked contact, with a 116.3 mph maximum.","287 tracked batted balls.",84.1289198606272,"leaderboards.html","2026-08-04",FALSE,84.1,12,"brief","2026-08-05","pitching","2026-08-04","2026-08-06 04:45:39 UTC","deterministic_multi_lane_daily_editor_v1"
