"game_id","weather_status","weather_note","weather_location","roof_type","temperature_f","apparent_temperature_f","wind_mph","wind_gust_mph","wind_direction","precipitation_probability","precipitation_in","conditions","first_pitch_local","forecast_time_local","forecast_offset_minutes","forecast_hours","game_window_temperature_low_f","game_window_temperature_high_f","game_window_wind_gust_mph","game_window_precipitation_probability","game_window_precipitation_in","game_window_hours","forecast_timezone","forecast_method"
"824463","available","Nearest-hour first-pitch forecast","Cincinnati, Ohio","open",76.1,83,1.4,2,81,1,0,"Clear","2026-09-17 20:00:00 EDT","2026-09-18 00:00:00 EDT",240,1,74.7,76.1,6,29,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"823331","available","Nearest-hour first-pitch forecast","Pittsburgh, Pennsylvania","open",73.4,80.7,2.4,5.8,292,6,0,"Clear","2026-09-17 20:00:00 EDT","2026-09-18 00:00:00 EDT",240,1,70.7,73.4,6.5,6,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"824790","available","Nearest-hour first-pitch forecast","Baltimore, Maryland","open",74.9,82.5,1.4,8.7,39,6,0,"Partly cloudy","2026-09-17 20:00:00 EDT","2026-09-18 00:00:00 EDT",240,1,72.5,74.9,8.7,6,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"824383","available","Nearest-hour first-pitch forecast","Cleveland, Ohio","open",70.2,76.3,3.6,6.5,11,2,0,"Cloudy","2026-09-17 20:00:00 EDT","2026-09-18 00:00:00 EDT",240,1,68.2,70.7,15,6,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"822923","indoors","Fixed dome","St. Petersburg, Florida","fixed_dome",,,,,,,,"Indoor environment",,,,0,,,,,,0,,"fixed_dome_no_weather_v1"
"823572","available","Nearest-hour first-pitch forecast","Queens, New York","open",75.1,81.4,6,11.2,158,4,0,"Cloudy","2026-09-17 20:00:00 EDT","2026-09-18 00:00:00 EDT",240,1,74.5,75.9,11.4,5,0,5,"America/New_York","open_meteo_first_pitch_plus_game_window_v2"
"824547","available","Nearest-hour first-pitch forecast","Chicago, Illinois","open",66.8,66.9,11.5,16.8,27,0,0,"Cloudy","2026-09-17 19:00:00 CDT","2026-09-18 00:00:00 CDT",300,1,64.2,66.8,18.6,0,0,5,"America/Chicago","open_meteo_first_pitch_plus_game_window_v2"
"822847","available","Nearest-hour first-pitch forecast; roof decision can supersede it","Arlington, Texas","retractable",85.3,88.7,4.6,10.3,169,0,0,"Clear","2026-09-18 19:00:00 CDT","2026-09-18 00:00:00 CDT",-1140,1,82.5,86.6,11.9,0,0,5,"America/Chicago","open_meteo_first_pitch_plus_game_window_v2"
"824303","available","Nearest-hour first-pitch forecast","Denver, Colorado","open",65.5,65.5,2.9,5.4,293,1,0,"Clear","2026-09-18 18:00:00 MDT","2026-09-18 00:00:00 MDT",-1080,1,60.8,65.5,5.4,1,0,5,"America/Denver","open_meteo_first_pitch_plus_game_window_v2"
"824138","available","Nearest-hour first-pitch forecast; roof decision can supersede it","Houston, Texas","retractable",79.8,89.7,2.5,5.8,100,0,0,"Clear","2026-09-18 19:00:00 CDT","2026-09-18 00:00:00 CDT",-1140,1,76.9,79.8,8.5,0,0,5,"America/Chicago","open_meteo_first_pitch_plus_game_window_v2"
"823005","available","Nearest-hour first-pitch forecast","St. Louis, Missouri","open",78.3,87.4,1,1.1,63,3,0,"Cloudy","2026-09-18 19:00:00 CDT","2026-09-18 00:00:00 CDT",-1140,1,75,78.3,3.1,5,0,5,"America/Chicago","open_meteo_first_pitch_plus_game_window_v2"
"823977","available","Nearest-hour first-pitch forecast","Anaheim, California","open",68,70.8,0.9,4.7,180,0,0,"Partly cloudy","2026-09-18 17:00:00 PDT","2026-09-18 00:00:00 PDT",-1020,1,64.9,68.8,4.7,0,0,5,"America/Los_Angeles","open_meteo_first_pitch_plus_game_window_v2"
"823252","available","Nearest-hour first-pitch forecast","San Diego, California","open",69.6,72.8,1.1,3.1,360,0,0,"Cloudy","2026-09-18 17:00:00 PDT","2026-09-18 00:00:00 PDT",-1020,1,68.6,69.8,6,0,0,5,"America/Los_Angeles","open_meteo_first_pitch_plus_game_window_v2"
"825032","available","Nearest-hour first-pitch forecast; roof decision can supersede it","Phoenix, Arizona","retractable",83.9,90.1,1,2.2,153,0,0,"Clear","2026-09-18 17:00:00 MST","2026-09-18 00:00:00 MST",-1020,1,79.5,83.9,7.4,0,0,5,"America/Phoenix","open_meteo_first_pitch_plus_game_window_v2"
"823898","available","Nearest-hour first-pitch forecast","Los Angeles, California","open",65.4,67.7,1.8,2.7,30,0,0,"Clear","2026-09-18 17:00:00 PDT","2026-09-18 00:00:00 PDT",-1020,1,61.5,65.4,3.6,0,0,5,"America/Los_Angeles","open_meteo_first_pitch_plus_game_window_v2"
