"game_id","team","reason"
"824325","Colorado Rockies","confirmed nine-player order unavailable"
"823999","Milwaukee Brewers","confirmed nine-player order unavailable"
"823999","Los Angeles Angels","confirmed nine-player order unavailable"
"824975","Detroit Tigers","confirmed nine-player order unavailable"
"824975","Athletics","confirmed nine-player order unavailable"
"823272","San Francisco Giants","confirmed nine-player order unavailable"
"823272","San Diego Padres","confirmed nine-player order unavailable"
"823922","Boston Red Sox","confirmed nine-player order unavailable"
"823922","Los Angeles Dodgers","confirmed nine-player order unavailable"
"823111","Minnesota Twins","confirmed nine-player order unavailable"
"823111","Seattle Mariners","confirmed nine-player order unavailable"
