"game_id","driver_order","driver_label","advantage_team","driver_detail"
"824466",1,"Posted-lineup offense","Los Angeles Dodgers","110 vs 93 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824466",2,"Probable starter","Los Angeles Dodgers","Yoshinobu Yamamoto 3.25 over 6.6 expected IP vs Rhett Lowder 4.89 over 5.2 expected IP"
"824466",3,"Available bullpen","Los Angeles Dodgers","3.27 vs 4.5 FIP blend with active reliever selector"
"824466",4,"Park and weather","Run environment","63 F temperature adjustment; park factor 1"
"822925",1,"Posted-lineup offense","Tampa Bay Rays","102 vs 108 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"822925",2,"Probable starter","Tampa Bay Rays","Jack Perkins 4.99 over 6.8 expected IP vs Griffin Jax 3.83 over 5.1 expected IP"
"822925",3,"Available bullpen","Tampa Bay Rays","4.4 vs 3.46 FIP blend with active reliever selector"
"822925",4,"Park and weather","Run environment","indoor neutral; park factor 1"
"824384",1,"Posted-lineup offense","Chicago White Sox","104 vs 93 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824384",2,"Probable starter","Cleveland Guardians","Chris Murphy 4.46 over 6.8 expected IP vs Foster Griffin 3.84 over 5.7 expected IP"
"824384",3,"Available bullpen","Chicago White Sox","3.44 vs 3.83 FIP blend with active reliever selector"
"824384",4,"Park and weather","Run environment","56 F temperature adjustment; park factor 1"
"823333",1,"Posted-lineup offense","Pittsburgh Pirates","112 vs 115 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"823333",2,"Probable starter","Milwaukee Brewers","Jacob Misiorowski 1.9 over 5.9 expected IP vs Lake Bachar 4.12 over 6.8 expected IP"
"823333",3,"Available bullpen","Milwaukee Brewers","3.36 vs 3.94 FIP blend with active reliever selector"
"823333",4,"Park and weather","Run environment","57 F temperature adjustment; park factor 1"
"822683",1,"Posted-lineup offense","Philadelphia Phillies","108 vs 101 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"822683",2,"Probable starter","Philadelphia Phillies","Cristopher Sánchez 2.65 over 6.3 expected IP vs Jackson Kent 4.15 over 5 expected IP"
"822683",3,"Available bullpen","Philadelphia Phillies","3.67 vs 3.95 FIP blend with active reliever selector"
"822683",4,"Park and weather","Run environment","63 F temperature adjustment; park factor 1"
"822762",1,"Posted-lineup offense","Detroit Tigers","126 vs 96 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"822762",2,"Probable starter","Detroit Tigers","Drew Anderson 3.85 over 6.8 expected IP vs Braydon Fisher 4.16 over 6.7 expected IP"
"822762",3,"Available bullpen","Toronto Blue Jays","4.22 vs 3.18 FIP blend with active reliever selector"
"822762",4,"Park and weather","Run environment","54 F temperature adjustment; park factor 1"
"823574",1,"Posted-lineup offense","Baltimore Orioles","105 vs 103 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"823574",2,"Probable starter","Baltimore Orioles","Shane Baz 3.75 over 5.9 expected IP vs Sean Manaea 4.42 over 6.8 expected IP"
"823574",3,"Available bullpen","Baltimore Orioles","3.61 vs 4.09 FIP blend with active reliever selector"
"823574",4,"Park and weather","Run environment","61 F temperature adjustment; park factor 1"
"824627",1,"Posted-lineup offense","Chicago Cubs","114 vs 116 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"824627",2,"Probable starter","Chicago Cubs","Martín Pérez 4.05 over 5.6 expected IP vs Kevin Gausman 3.82 over 5.5 expected IP"
"824627",3,"Available bullpen","Atlanta Braves","3.44 vs 3.86 FIP blend with active reliever selector"
"824627",4,"Park and weather","Run environment","65 F temperature adjustment; park factor 1"
"823654",1,"Posted-lineup offense","New York Yankees","110 vs 100 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"823654",2,"Probable starter","New York Yankees","Max Fried 2.86 over 5.6 expected IP vs Bailey Ober 4.63 over 5.3 expected IP"
"823654",3,"Available bullpen","New York Yankees","3.64 vs 4.02 FIP blend with active reliever selector"
"823654",4,"Park and weather","Run environment","59 F temperature adjustment; park factor 1"
"823007",1,"Posted-lineup offense","St. Louis Cardinals","92 vs 95 blended wRC+ after platoon, contact-quality, and recent-form adjustments"
"823007",2,"Probable starter","San Francisco Giants","Blade Tidwell 3.64 over 5 expected IP vs Andre Pallante 3.76 over 5.6 expected IP"
