"game_id","display_order","margin_group","simulations","probability"
"demo-01",1,"Away by 5+",1252,0.0626
"demo-01",2,"Away by 3-4",2668,0.1334
"demo-01",3,"Away by 2",2407,0.12035
"demo-01",4,"Away by 1",3533,0.17665
"demo-01",5,"Home by 1",3592,0.1796
"demo-01",6,"Home by 2",2485,0.12425
"demo-01",7,"Home by 3-4",2775,0.13875
"demo-01",8,"Home by 5+",1288,0.0644
"demo-02",1,"Away by 5+",677,0.03385
"demo-02",2,"Away by 3-4",1845,0.09225
"demo-02",3,"Away by 2",1954,0.0977
"demo-02",4,"Away by 1",3142,0.1571
"demo-02",5,"Home by 1",3681,0.18405
"demo-02",6,"Home by 2",2789,0.13945
"demo-02",7,"Home by 3-4",3665,0.18325
"demo-02",8,"Home by 5+",2247,0.11235
"demo-03",1,"Away by 5+",805,0.04025
"demo-03",2,"Away by 3-4",2070,0.1035
"demo-03",3,"Away by 2",2076,0.1038
"demo-03",4,"Away by 1",3338,0.1669
"demo-03",5,"Home by 1",3636,0.1818
"demo-03",6,"Home by 2",2627,0.13135
"demo-03",7,"Home by 3-4",3456,0.1728
"demo-03",8,"Home by 5+",1992,0.0996
"demo-04",1,"Away by 5+",870,0.0435
"demo-04",2,"Away by 3-4",2162,0.1081
"demo-04",3,"Away by 2",2062,0.1031
"demo-04",4,"Away by 1",3097,0.15485
"demo-04",5,"Home by 1",3554,0.1777
"demo-04",6,"Home by 2",2613,0.13065
"demo-04",7,"Home by 3-4",3411,0.17055
"demo-04",8,"Home by 5+",2231,0.11155
"demo-05",1,"Away by 5+",541,0.02705
"demo-05",2,"Away by 3-4",1611,0.08055
"demo-05",3,"Away by 2",1758,0.0879
"demo-05",4,"Away by 1",2855,0.14275
"demo-05",5,"Home by 1",3555,0.17775
"demo-05",6,"Home by 2",2836,0.1418
"demo-05",7,"Home by 3-4",4011,0.20055
"demo-05",8,"Home by 5+",2833,0.14165
"demo-06",1,"Away by 5+",668,0.0334
"demo-06",2,"Away by 3-4",2087,0.10435
"demo-06",3,"Away by 2",2171,0.10855
"demo-06",4,"Away by 1",3395,0.16975
"demo-06",5,"Home by 1",3830,0.1915
"demo-06",6,"Home by 2",2884,0.1442
"demo-06",7,"Home by 3-4",3327,0.16635
"demo-06",8,"Home by 5+",1638,0.0819
