"game_id","score_rank","away_runs","home_runs","simulations","probability"
"823514",1,4,3,1118,0.0559
"823514",2,3,2,1037,0.05185
"823514",3,3,4,891,0.04455
"823514",4,4,2,855,0.04275
"823514",5,2,3,828,0.0414
"824726",1,3,4,1057,0.05285
"824726",2,4,5,905,0.04525
"824726",3,2,3,853,0.04265
"824726",4,4,3,839,0.04195
"824726",5,3,5,817,0.04085
"823834",1,4,5,973,0.04865
"823834",2,4,3,962,0.0481
"823834",3,5,4,892,0.0446
"823834",4,3,4,883,0.04415
"823834",5,3,5,705,0.03525
"823426",1,5,4,931,0.04655
"823426",2,4,5,891,0.04455
"823426",3,3,4,884,0.0442
"823426",4,4,3,845,0.04225
"823426",5,3,5,636,0.0318
"823348",1,4,5,931,0.04655
"823348",2,3,4,898,0.0449
"823348",3,4,3,893,0.04465
"823348",4,5,4,812,0.0406
"823348",5,3,5,708,0.0354
"822701",1,3,4,1078,0.0539
"822701",2,4,5,903,0.04515
"822701",3,4,3,892,0.0446
"822701",4,2,3,806,0.0403
"822701",5,3,5,803,0.04015
"824079",1,5,4,942,0.0471
"824079",2,4,3,912,0.0456
"824079",3,5,3,793,0.03965
"824079",4,4,5,728,0.0364
"824079",5,3,4,698,0.0349
"823752",1,4,5,936,0.0468
"823752",2,3,4,882,0.0441
"823752",3,5,4,870,0.0435
"823752",4,4,3,819,0.04095
"823752",5,3,5,687,0.03435
"823267",1,4,3,1014,0.0507
"823267",2,3,4,977,0.04885
"823267",3,4,5,894,0.0447
"823267",4,5,4,882,0.0441
"823267",5,5,3,708,0.0354
"823188",1,4,5,966,0.0483
"823188",2,4,3,963,0.04815
"823188",3,3,4,946,0.0473
"823188",4,5,4,879,0.04395
"823188",5,3,5,709,0.03545
"823021",1,4,5,937,0.04685
"823021",2,3,4,845,0.04225
"823021",3,5,4,800,0.04
"823021",4,4,3,757,0.03785
"823021",5,3,5,706,0.0353
"822864",1,3,4,983,0.04915
"822864",2,5,4,881,0.04405
"822864",3,4,5,871,0.04355
"822864",4,4,3,832,0.0416
"822864",5,3,5,715,0.03575
"824565",1,4,3,1050,0.0525
"824565",2,3,4,965,0.04825
"824565",3,5,4,916,0.0458
"824565",4,4,5,819,0.04095
"824565",5,5,3,768,0.0384
"825049",1,4,3,997,0.04985
"825049",2,5,4,879,0.04395
"825049",3,5,3,742,0.0371
"825049",4,3,4,731,0.03655
"825049",5,4,5,682,0.0341
"823102",1,4,3,1077,0.05385
"823102",2,3,4,1004,0.0502
"823102",3,5,4,869,0.04345
"823102",4,4,5,800,0.04
"823102",5,2,3,769,0.03845
