"current_game_id","current_game_date","team","opponent","series_start","completed_series_games","series_game_number","last_game_date","last_game_pk","played_yesterday","method","report_date","source_through","generated_at_utc"
"823570","2026-09-20","Philadelphia Phillies","New York Mets","2026-09-17",3,4,"2026-09-19","823571",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"823570","2026-09-20","New York Mets","Philadelphia Phillies","2026-09-17",3,4,"2026-09-19","823571",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"823329","2026-09-20","Kansas City Royals","Pittsburgh Pirates","2026-09-18",2,3,"2026-09-19","823330",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"823329","2026-09-20","Pittsburgh Pirates","Kansas City Royals","2026-09-18",2,3,"2026-09-19","823330",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"824462","2026-09-20","Chicago Cubs","Cincinnati Reds","2026-09-18",2,3,"2026-09-19","824461",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"824462","2026-09-20","Cincinnati Reds","Chicago Cubs","2026-09-18",2,3,"2026-09-19","824461",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"824381","2026-09-20","Athletics","Cleveland Guardians","2026-09-18",2,3,"2026-09-19","824380",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"824381","2026-09-20","Cleveland Guardians","Athletics","2026-09-18",2,3,"2026-09-19","824380",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"822922","2026-09-20","Boston Red Sox","Tampa Bay Rays","2026-09-18",2,3,"2026-09-19","822921",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"822922","2026-09-20","Tampa Bay Rays","Boston Red Sox","2026-09-18",2,3,"2026-09-19","822921",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"824139","2026-09-20","Atlanta Braves","Houston Astros","2026-09-18",2,3,"2026-09-19","824137",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"824139","2026-09-20","Houston Astros","Atlanta Braves","2026-09-18",2,3,"2026-09-19","824137",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"824546","2026-09-20","Detroit Tigers","Chicago White Sox","2026-09-17",3,4,"2026-09-19","824545",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"824546","2026-09-20","Chicago White Sox","Detroit Tigers","2026-09-17",3,4,"2026-09-19","824545",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"823001","2026-09-20","Washington Nationals","St. Louis Cardinals","2026-09-18",2,3,"2026-09-19","823003",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
"823001","2026-09-20","St. Louis Cardinals","Washington Nationals","2026-09-18",2,3,"2026-09-19","823003",TRUE,"consecutive_same_opponent_v1","2026-09-20","2026-09-19","2026-09-20 14:10:55 UTC"
