"sims","avg_H","median_H","H_p10","H_p90","avg_BB","median_BB","BB_p10","BB_p90","avg_K","median_K","K_p10","K_p90","avg_HR","median_HR","HR_p10","HR_p90","p_k_5plus","p_k_7plus","p_k_10plus","game_id","game_date","player_id","player_name","team","opponent","expected_batters_faced","model_version","publication_status"
2000,5.6505,6,3,9,1.955,2,0,4,5.024,5,2,8,0.938,1,0,2,0.592,0.2265,0.017,"824911","2026-08-31",693821,"Bryce Elder","Atlanta Braves","San Francisco Giants",24,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.722,6,3,9,1.4105,1,0,3,3.7125,4,2,6,0.822,1,0,2,0.304,0.0705,0.002,"824911","2026-08-31",683627,"Anthony Molina","San Francisco Giants","Atlanta Braves",22,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.558,5,3,8,1.965,2,0,4,4.6135,5,2,7,0.7495,1,0,2,0.513,0.162,0.011,"824473","2026-08-31",663903,"Brady Singer","Cincinnati Reds","San Diego Padres",22.8095238095238,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.8625,5,2,8,2.443,2,1,4,5.5855,5,3,8,0.7445,1,0,2,0.682,0.3225,0.0355,"824473","2026-08-31",650633,"Michael King","San Diego Padres","Cincinnati Reds",23.4090909090909,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,6.1125,6,3,9,2.166,2,0,4,7.152,7,4,10,0.837,1,0,2,0.8685,0.58,0.1675,"822932","2026-08-31",693855,"Ian Seymour","Tampa Bay Rays","New York Mets",28,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.183,5,3,8,2.002,2,0,4,4.068,4,2,6,0.614,0,0,2,0.3915,0.0985,0.005,"822932","2026-08-31",476594,"Robert Stock","New York Mets","Tampa Bay Rays",22,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.668,5,2,7,2.036,2,0,4,5.2835,5,3,8,0.6665,0,0,2,0.6285,0.269,0.0275,"824719","2026-08-31",801139,"Payton Tolle","Boston Red Sox","Seattle Mariners",23.0555555555556,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.254,5,3,8,1.6095,2,0,3,5.443,5,3,8,0.412,0,0,1,0.668,0.296,0.03,"824719","2026-08-31",669923,"George Kirby","Seattle Mariners","Boston Red Sox",24.85,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.7775,5,2,7,1.4165,1,0,3,5.4815,5,3,8,0.4865,0,0,1,0.665,0.297,0.034,"822689","2026-08-31",702021,"Will Dion","Washington Nationals","Miami Marlins",22,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.9815,5,2,8,1.6565,2,0,3,4.0535,4,2,6,0.556,0,0,1,0.387,0.089,0.0065,"822689","2026-08-31",687473,"Ryan Gusto","Miami Marlins","Washington Nationals",21.875,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,5.2905,5,3,8,2.357,2,1,4,5.705,6,3,8,0.899,1,0,2,0.704,0.341,0.047,"823663","2026-08-31",671737,"Taj Bradley","Minnesota Twins","Detroit Tigers",24,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.922,5,2,8,2.0395,2,0,4,4.414,4,2,7,0.7075,1,0,2,0.458,0.149,0.009,"823663","2026-08-31",695549,"Jackson Jobe","Detroit Tigers","Minnesota Twins",22,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.816,5,2,7,2.3345,2,1,4,5.014,5,3,8,0.5445,0,0,2,0.586,0.225,0.0155,"824635","2026-08-31",605280,"Clay Holmes","Chicago Cubs","Milwaukee Brewers",23.8888888888889,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,3.9755,4,2,6,1.6535,1,0,3,4.688,5,2,7,0.52,0,0,1,0.521,0.1775,0.017,"824635","2026-08-31",690986,"Kyle Harrison","Milwaukee Brewers","Chicago Cubs",20.0588235294118,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.723,5,2,7,1.556,1,0,3,5.543,5,3,8,0.4065,0,0,1,0.666,0.3205,0.0405,"822855","2026-08-31",594798,"Jacob deGrom","Texas Rangers","Athletics",22.2857142857143,"starter_bullpen_player_sim_v1","development_uncalibrated"
2000,4.6775,5,2,7,1.863,2,0,4,5.7075,6,3,9,0.7425,1,0,2,0.687,0.344,0.046,"822855","2026-08-31",695611,"Gage Jump","Athletics","Texas Rangers",22.25,"starter_bullpen_player_sim_v1","development_uncalibrated"
