"defense_side","pitcher_id","pitcher_name","throws","pitcher_role","availability_score","decision_opportunities","selection_probability_sum","selection_count","bf_total","entry_inning_sum","high_leverage_entries","appearance_probability","mean_selection_likelihood","mean_bf_per_appearance","mean_entry_inning","high_leverage_entry_share","game_id","game_date","team","opponent","model_version","generated_at_utc"
"away","621345","A.J. Minter","L","reliever",0.9,487,214.967526957181,229,809,1408,85,0.916,0.44141175966567,3.53275109170306,6.14847161572052,0.37117903930131,"824226","2026-09-09","Minnesota Twins","Detroit Tigers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"away","672782","Yoendrys Gómez","R","reliever",0.961111111111111,669,204.500227980487,197,733,1303,78,0.788,0.305680460359472,3.72081218274112,6.61421319796954,0.395939086294416,"824226","2026-09-09","Minnesota Twins","Detroit Tigers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"away","656546","Jeff Hoffman","R","reliever",0.905555555555556,748,181.576613407272,186,640,1279,87,0.744,0.242749483164801,3.44086021505376,6.87634408602151,0.467741935483871,"824226","2026-09-09","Minnesota Twins","Detroit Tigers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"away","573124","Taylor Rogers","L","reliever",0.916666666666667,781,183.499556960476,178,625,1234,82,0.712,0.234954618387294,3.51123595505618,6.93258426966292,0.460674157303371,"824226","2026-09-09","Minnesota Twins","Detroit Tigers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"away","667297","Tommy Nance","R","reliever",0.888888888888889,807,163.987332458074,159,529,1091,69,0.636,0.203206112091789,3.32704402515723,6.86163522012579,0.433962264150943,"824226","2026-09-09","Minnesota Twins","Detroit Tigers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"away","701519","Travis Adams","R","reliever",1,911,115.468742236511,115,426,807,52,0.46,0.126749442630638,3.70434782608696,7.01739130434783,0.452173913043478,"824226","2026-09-09","Minnesota Twins","Detroit Tigers","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"home","676428","Brant Hurter","L","reliever",1,473,226.539649468053,234,828,1566,103,0.936,0.478942176465228,3.53846153846154,6.69230769230769,0.44017094017094,"824226","2026-09-09","Detroit Tigers","Minnesota Twins","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"home","700270","Yilber Díaz","R","reliever",1,701,186.160298404811,197,717,1431,97,0.788,0.265563906426264,3.63959390862944,7.26395939086294,0.49238578680203,"824226","2026-09-09","Detroit Tigers","Minnesota Twins","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"home","663947","Tyler Holton","L","reliever",0.955555555555556,747,211.483247221313,194,674,1446,104,0.776,0.283110103375252,3.47422680412371,7.45360824742268,0.536082474226804,"824226","2026-09-09","Detroit Tigers","Minnesota Twins","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"home","689225","Beau Brieske","R","reliever",0.938888888888889,745,180.448691749889,174,608,1270,88,0.696,0.242213009060254,3.49425287356322,7.29885057471264,0.505747126436782,"824226","2026-09-09","Detroit Tigers","Minnesota Twins","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"home","623454","Drew Anderson","R","reliever",1,788,163.173906783111,168,559,1247,97,0.672,0.207073485765369,3.32738095238095,7.42261904761905,0.577380952380952,"824226","2026-09-09","Detroit Tigers","Minnesota Twins","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
"home","640448","Kyle Finnegan","R","reliever",0.922222222222222,937,93.1942063728248,94,358,706,55,0.376,0.0994601989037618,3.80851063829787,7.51063829787234,0.585106382978723,"824226","2026-09-09","Detroit Tigers","Minnesota Twins","plate_appearance_state_machine_phase5_manager_hook_v1","2026-09-09 14:23:48 UTC"
