"opportunities","converted_outs","expected_outs","outs_above_expected","estimated_range_runs","routine_opportunities","routine_conversion_rate","difficult_conversions","team","reliability","adjusted_range_runs","fielding_score","model_version","source_through","generated_at_utc"
3281,2295,2308.28212392395,-13.2821239239464,-14.5096895708049,1915,0.944125326370757,70,"Arizona Diamondbacks",0.89133387666395,-12.932977854336,109.644779842613,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
2952,1947,2020.03243701303,-73.0324370130307,-65.1777429047477,1702,0.927732079905993,46,"Athletics",0.880668257756563,-57.3999692884293,77.7476345967301,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
3026,2135,2150.64458344161,-15.6445834416135,-14.8157580726722,1776,0.942004504504504,54,"Atlanta Braves",0.883245767659078,-13.0859556123485,108.813729201297,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
3228,2185,2263.00762217325,-78.0076221732534,-67.4263245985373,1843,0.934888768312534,62,"Baltimore Orioles",0.889746416758545,-59.9923307067471,79.407443726276,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
2929,2005,2053.69735594609,-48.6973559460863,-42.317283661262,1711,0.925189947399182,61,"Boston Red Sox",0.879843796936017,-37.2325995325432,91.5792100920456,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
3042,2167,2164.74906360928,2.25093639072345,-2.1795383759935,1799,0.946637020566982,60,"Chicago Cubs",0.883788495061011,-1.92625094124702,116.411001078311,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
2791,1978,1996.49965790886,-18.4996579088608,-17.295444326722,1697,0.942251031231585,56,"Chicago White Sox",0.874647445941711,-15.1274162067944,106.528364820545,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
2982,2068,2101.54794923982,-33.5479492398199,-30.7633935436775,1737,0.939550949913644,56,"Cincinnati Reds",0.881726788882318,-27.1249082043898,99.0001531591629,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
2623,1821,1841.16981255553,-20.1698125555337,-17.7587859518453,1533,0.932159165035877,60,"Cleveland Guardians",0.867681111478664,-15.4089631332088,105.575800228872,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
3427,2269,2356.3754034378,-87.3754034377989,-78.296075989484,1920,0.9265625,64,"Colorado Rockies",0.89547948784949,-70.1125300276879,75.4604135010024,"sabrhood_fielding_context_v1","2026-08-27","2026-08-28 21:13:47 UTC"
