"season","player_id","player_name","team_id","team","primary_position","fielding_runs","infield_outfield_runs","range_runs","arm_runs","double_play_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","fielding_opportunities","innings","source","model_version","team_short","league","reliability","fielding_runs_per_1000","shrunk_fielding_rate","gold_glove_score","sabrhood_advancement_runs","advancement_prevention_score","position_rank","watch_status","gold_glove_method","source_through","generated_at_utc"
2026,"502671","Paul Goldschmidt","147","New York Yankees","1B",6.13889323514211,6.13889323514211,3.71802590918033,,0.724010259892915,,,,,1783,271,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","New York Yankees","AL",0.520153550863724,22.6527425651,11.7829044820386,119.674837368257,-0.764971513995479,96.1851392992739,1,"front line","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
2026,"694384","Nolan Schanuel","108","Los Angeles Angels","1B",5.40830550486528,5.40830550486528,3.21692088460387,,0.207764550113596,,,,,2689,431.444444444444,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Los Angeles Angels","AL",0.633132235447579,12.535346264174,7.93653180234592,115.111373816696,-0.555348402732714,99.3535387762423,2,"front line","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
2026,"665489","Vladimir Guerrero Jr.","141","Toronto Blue Jays","1B",5.36037635824736,5.36037635824736,3.75208554779295,,1.01050007545878,,,,,3016,472,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Toronto Blue Jays","AL",0.653739612188366,11.356729572558,7.42434398649219,114.462917542636,-0.374487981130059,100.615454826915,3,"front line","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
2026,"669394","Jake Burger","140","Texas Rangers","1B",4.48382041336073,4.48382041336073,0.872353952812253,,1.15217361986186,,,,,3529,558.444444444444,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Texas Rangers","AL",0.690764156129742,8.02912529252817,5.54623195715319,111.503109277619,-0.933590982557265,97.74003730574,4,"on the watch","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
2026,"572233","Christian Walker","117","Houston Astros","1B",4.38490954131628,4.38490954131628,1.73870909380607,,1.33919121605774,,,,,3547,568,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Houston Astros","AL",0.694376528117359,7.71991116428923,5.3605251116336,111.199676190875,1.14754696822827,106.890613682055,5,"on the watch","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
2026,"647304","Josh Naylor","136","Seattle Mariners","1B",3.14125404042248,3.14125404042248,1.55046616310326,,1.35050344741169,,,,,3610,563.333333333333,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Seattle Mariners","AL",0.692622950819672,5.57619060430026,3.86219759068338,108.498394219751,-0.330123618874989,100.421656375726,6,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
2026,"575929","Willson Contreras","111","Boston Red Sox","1B",1.37190672424989,1.37190672424989,0.974539594092069,,0.424651248697691,,,,,3100,483.222222222222,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Boston Red Sox","AL",0.659039248370965,2.83908036749805,1.87106539146068,104.806512163741,0.223678116312889,103.039646171961,7,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
2026,"671277","Luis García Jr.","147","New York Yankees","1B",1.0919322021043,1.0919322021043,1.04955887331059,,1.45299653508909,,,,,2674,431.444444444444,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","New York Yankees","AL",0.633132235447579,2.53087556501126,1.60237890411524,104.250383343669,0.119442359890765,102.764982023531,8,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
2026,"701762","Nick Kurtz","133","Athletics","1B",0.897568115559441,0.897568115559441,-2.11177114250929,,0.230547364019324,,,,,2466,403.888888888889,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Athletics","AL",0.61767204757859,2.22231445392984,1.37266151912234,103.809117483808,-0.365312282605132,100,9,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
2026,"686469","Vinnie Pasquantino","118","Kansas City Royals","1B",0.349077015378689,0.349077015378689,-0.170458010423487,,0.0404670417415888,,,,,2517,393.555555555556,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_contract_v1","Kansas City Royals","AL",0.611533149171271,0.886982817167758,0.542419395443405,102.391042259796,0.527422494011955,105.112213199513,10,"field","league- and position-standardized, innings-shrunk official Fielding Run Value; not an award-vote forecast","2026-09-11","2026-09-12 13:32:06 UTC"
