"batter_id","player_name","team","pitches","swings","whiffs","zone_pitches","out_of_zone_pitches","chases","zone_swings","zone_contact","swing_rate","zone_rate","whiff_rate","chase_rate","zone_contact_rate","discipline_score","discipline_method","discipline_rank","source_through","generated_at_utc"
"680757","Steven Kwan","Cleveland Guardians",2018,720,51,1007,1005,203,516,502,0.356788899900892,0.499008919722498,0.0708333333333333,0.201990049751244,0.972868217054264,98.7,"pitch_level_chase_contact_profile_v1",1,"2026-08-22","2026-08-23 10:22:33 UTC"
"605141","Mookie Betts","Los Angeles Dodgers",1403,594,69,743,660,128,466,441,0.423378474697078,0.529579472558803,0.116161616161616,0.193939393939394,0.946351931330472,98,"pitch_level_chase_contact_profile_v1",2,"2026-08-22","2026-08-23 10:22:33 UTC"
"665877","José Fermín","St. Louis Cardinals",1164,453,46,592,572,120,333,311,0.389175257731959,0.508591065292096,0.101545253863135,0.20979020979021,0.933933933933934,96.9,"pitch_level_chase_contact_profile_v1",3,"2026-08-22","2026-08-23 10:22:33 UTC"
"672695","Geraldo Perdomo","Arizona Diamondbacks",2306,899,97,1151,1154,244,654,608,0.389852558542931,0.499132697311362,0.10789766407119,0.211438474870017,0.929663608562691,95.7,"pitch_level_chase_contact_profile_v1",4,"2026-08-22","2026-08-23 10:22:33 UTC"
"686217","Sal Frelick","Milwaukee Brewers",1195,512,45,605,580,138,367,351,0.428451882845188,0.506276150627615,0.087890625,0.237931034482759,0.956403269754768,94.4,"pitch_level_chase_contact_profile_v1",5,"2026-08-22","2026-08-23 10:22:33 UTC"
"800050","Chase DeLauter","Cleveland Guardians",1782,749,104,849,928,198,549,507,0.420314253647587,0.476430976430976,0.138851802403204,0.213362068965517,0.923497267759563,93.4,"pitch_level_chase_contact_profile_v1",6,"2026-08-22","2026-08-23 10:22:33 UTC"
"669257","Will Smith","Los Angeles Dodgers",858,354,50,422,436,93,261,240,0.412587412587413,0.491841491841492,0.141242937853107,0.213302752293578,0.919540229885057,92.9,"pitch_level_chase_contact_profile_v1",7,"2026-08-22","2026-08-23 10:22:33 UTC"
"805808","Kevin McGonigle","Detroit Tigers",2259,972,134,1106,1153,221,751,684,0.430278884462151,0.489597166888004,0.137860082304527,0.191673894189072,0.910785619174434,92.9,"pitch_level_chase_contact_profile_v1",8,"2026-08-22","2026-08-23 10:22:33 UTC"
"672580","Maikel Garcia","Kansas City Royals",1175,463,62,592,583,134,329,306,0.394042553191489,0.503829787234043,0.133909287257019,0.229845626072041,0.930091185410334,92.7,"pitch_level_chase_contact_profile_v1",9,"2026-08-22","2026-08-23 10:22:33 UTC"
"681508","Mickey Gasper","Boston Red Sox",508,208,33,245,263,60,148,141,0.409448818897638,0.482283464566929,0.158653846153846,0.228136882129278,0.952702702702703,92.4,"pitch_level_chase_contact_profile_v1",10,"2026-08-22","2026-08-23 10:22:33 UTC"
"664702","Myles Straw","Toronto Blue Jays",963,399,45,488,475,112,287,266,0.414330218068536,0.5067497403946,0.112781954887218,0.235789473684211,0.926829268292683,92.2,"pitch_level_chase_contact_profile_v1",11,"2026-08-22","2026-08-23 10:22:33 UTC"
"803011","Sam Antonacci","Chicago White Sox",1730,733,97,860,869,190,542,495,0.423699421965318,0.497109826589595,0.132332878581173,0.218642117376295,0.913284132841328,91.7,"pitch_level_chase_contact_profile_v1",12,"2026-08-22","2026-08-23 10:22:33 UTC"
"687462","Spencer Horwitz","Pittsburgh Pirates",1414,574,79,675,739,179,395,367,0.405940594059406,0.477369165487977,0.137630662020906,0.242219215155616,0.929113924050633,91.1,"pitch_level_chase_contact_profile_v1",13,"2026-08-22","2026-08-23 10:22:33 UTC"
"805300","Jakob Marsee","Miami Marlins",1943,785,131,943,1000,227,558,520,0.404014410705095,0.485331960885229,0.16687898089172,0.227,0.931899641577061,90.9,"pitch_level_chase_contact_profile_v1",14,"2026-08-22","2026-08-23 10:22:33 UTC"
"686765","Nick Sogard","Boston Red Sox",601,233,41,269,332,70,163,150,0.387687188019967,0.447587354409318,0.175965665236052,0.210843373493976,0.920245398773006,90.6,"pitch_level_chase_contact_profile_v1",15,"2026-08-22","2026-08-23 10:22:33 UTC"
