"player_id","opponent_hand","player_name","team","hand","first_game","last_game","pa","ab","hits","singles","doubles","triples","home_runs","walks","intentional_walks","hit_by_pitch","strikeouts","sacrifice_flies","total_bases","batted_balls","hard_hit","barrel_proxy","ground_balls","line_drives","fly_balls","popups","pulled_batted_balls","average_exit_velocity","average_launch_angle","run_value_total","run_value_opportunities","batting_average","on_base_percentage","slugging_percentage","ops","isolated_power","strikeout_rate","walk_rate","hard_hit_rate","barrel_proxy_rate","ground_ball_rate","line_drive_rate","fly_ball_rate","pull_rate","woba_estimate","run_value_per_pa","pa_reliability","bbe_reliability","sample_label","perspective","woba_method","summary_method","source_through","generated_at_utc"
"665487","R","Fernando Tatis Jr.","San Diego Padres","R",2026-03-26,2026-08-05,392,351,98,75,16,1,6,30,1,5,75,5,134,282,153,31,145,66,61,10,115,92.2294326241135,4.95035460992908,10.4041632689142,392,0.279202279202279,0.340153452685422,0.381766381766382,0.721919834451804,0.102564102564103,0.191326530612245,0.076530612244898,0.542553191489362,0.109929078014184,0.514184397163121,0.234042553191489,0.216312056737589,0.407801418439716,0.315564102564103,0.0265412328288626,0.797,0.849,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"608324","R","Alex Bregman","Chicago Cubs","R",2026-03-26,2026-08-05,379,334,79,52,18,1,8,37,0,5,62,3,123,274,100,12,110,65,68,31,146,87.6361313868613,16.3284671532847,-6.46028732773817,379,0.236526946107784,0.319261213720317,0.368263473053892,0.687524686774209,0.131736526946108,0.163588390501319,0.0976253298153034,0.364963503649635,0.0437956204379562,0.401459854014599,0.237226277372263,0.248175182481752,0.532846715328467,0.303034300791557,-0.0170456130019477,0.791,0.846,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"621493","R","Taylor Ward","Seattle Mariners","R",2026-03-26,2026-08-05,373,307,73,55,15,0,3,59,0,6,78,1,97,229,86,8,92,60,59,18,92,88.5236842105263,14.9736842105263,0.128477133955057,373,0.237785016286645,0.369973190348525,0.315960912052117,0.685934102400643,0.0781758957654723,0.20911528150134,0.158176943699732,0.375545851528384,0.0349344978165939,0.40174672489083,0.262008733624454,0.25764192139738,0.40174672489083,0.316514745308311,0.00034444271837817,0.789,0.821,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"701398","R","Sal Stewart","Cincinnati Reds","R",2026-03-26,2026-08-05,371,327,80,44,18,0,18,35,0,2,79,7,152,255,98,32,120,50,75,10,109,90.0951219512195,12.8008130081301,13.8672906356152,371,0.244648318042813,0.315363881401617,0.464831804281346,0.780195685682963,0.220183486238532,0.212938005390836,0.0943396226415094,0.384313725490196,0.125490196078431,0.470588235294118,0.196078431372549,0.294117647058824,0.427450980392157,0.331024258760108,0.0373781418749735,0.788,0.836,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"666182","R","Bo Bichette","New York Mets","R",2026-03-26,2026-08-05,368,341,87,68,12,1,6,20,0,2,71,5,119,275,115,13,141,63,64,7,85,89.113503649635,6.50729927007299,1.35380912288145,368,0.255131964809384,0.296195652173913,0.348973607038123,0.645169259212036,0.093841642228739,0.192934782608696,0.0543478260869565,0.418181818181818,0.0472727272727273,0.512727272727273,0.229090909090909,0.232727272727273,0.309090909090909,0.281467391304348,0.00367882913826481,0.786,0.846,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"672640","R","Otto Lopez","Miami Marlins","R",2026-03-27,2026-08-05,368,341,102,69,21,5,7,20,0,4,51,4,154,291,122,18,149,68,60,14,116,88.1568965517241,7.84137931034483,11.8539325668523,368,0.299120234604106,0.341463414634146,0.451612903225806,0.793076317859953,0.152492668621701,0.138586956521739,0.0543478260869565,0.419243986254296,0.0618556701030928,0.512027491408935,0.233676975945017,0.206185567010309,0.398625429553265,0.339593495934959,0.0322117732794899,0.786,0.853,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"669364","R","Xavier Edwards","Miami Marlins","L",2026-03-27,2026-08-05,367,318,93,73,12,6,2,43,0,0,45,5,123,279,80,9,129,72,65,13,102,86.1562724014337,9.77777777777778,2.77287581930371,367,0.292452830188679,0.371584699453552,0.386792452830189,0.758377152283741,0.0943396226415095,0.122615803814714,0.11716621253406,0.28673835125448,0.032258064516129,0.462365591397849,0.258064516129032,0.232974910394265,0.365591397849462,0.33379781420765,0.00755551994360683,0.786,0.848,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"663538","R","Nico Hoerner","Chicago Cubs","R",2026-03-26,2026-08-05,365,327,81,60,15,1,5,30,0,4,30,4,113,301,85,4,126,89,59,27,126,86.0210702341137,11.9130434782609,-2.99702066473435,365,0.247706422018349,0.315068493150685,0.345565749235474,0.660634242386159,0.0978593272171254,0.0821917808219178,0.0821917808219178,0.282392026578073,0.0132890365448505,0.418604651162791,0.295681063122924,0.196013289036545,0.418604651162791,0.292027397260274,-0.00821101551982014,0.785,0.858,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"687263","R","Zach Neto","Los Angeles Angels","R",2026-03-26,2026-08-05,364,323,71,39,16,2,14,32,0,8,120,1,133,204,80,24,69,41,75,19,98,88.7940886699507,22.0837438423645,-0.568973514059875,364,0.219814241486068,0.304945054945055,0.411764705882353,0.716709760827408,0.191950464396285,0.32967032967033,0.0879120879120879,0.392156862745098,0.117647058823529,0.338235294117647,0.200980392156863,0.367647058823529,0.480392156862745,0.311153846153846,-0.00156311404961504,0.784,0.803,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"572233","R","Christian Walker","Houston Astros","R",2026-03-26,2026-08-05,363,333,81,46,17,1,17,25,1,5,91,0,151,242,105,22,103,55,68,16,109,89.75,14.6570247933884,-0.570464387303825,363,0.243243243243243,0.305785123966942,0.453453453453453,0.759238577420396,0.21021021021021,0.25068870523416,0.068870523415978,0.433884297520661,0.0909090909090909,0.425619834710744,0.227272727272727,0.28099173553719,0.450413223140496,0.324447513812155,-0.00157152723775158,0.784,0.829,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"668930","R","Brice Turang","Milwaukee Brewers","L",2026-03-26,2026-08-05,362,311,89,52,20,2,15,47,0,0,86,2,158,226,103,22,97,70,56,3,83,89.8595555555556,9.27555555555556,22.9430973976477,362,0.286173633440514,0.377777777777778,0.508038585209003,0.885816362986781,0.221864951768489,0.237569060773481,0.129834254143646,0.455752212389381,0.0973451327433628,0.429203539823009,0.309734513274336,0.247787610619469,0.367256637168142,0.3785,0.0633787220929495,0.784,0.819,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"691406","R","Junior Caminero","Tampa Bay Rays","R",2026-03-26,2026-08-05,361,325,89,49,13,1,26,33,2,1,72,2,182,251,127,36,124,45,62,20,129,92.5256,9.652,12.5093757762368,361,0.273846153846154,0.340720221606648,0.56,0.900720221606648,0.286153846153846,0.199445983379501,0.0914127423822715,0.50597609561753,0.143426294820717,0.49402390438247,0.179282868525896,0.247011952191235,0.51394422310757,0.376518105849582,0.0346520104604898,0.783,0.834,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"592518","R","Manny Machado","San Diego Padres","R",2026-03-26,2026-08-04,361,317,66,36,11,0,19,39,0,0,83,4,134,238,105,27,98,59,66,15,113,89.9430379746835,11.5756302521008,4.79636031106692,361,0.20820189274448,0.291666666666667,0.422712933753943,0.71437960042061,0.214511041009464,0.229916897506925,0.10803324099723,0.441176470588235,0.113445378151261,0.411764705882353,0.247899159663866,0.277310924369748,0.474789915966387,0.306722222222222,0.0132863166511549,0.783,0.826,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"670623","R","Isaac Paredes","Houston Astros","R",2026-03-26,2026-08-05,359,305,75,49,11,0,15,37,0,13,50,4,131,259,71,17,78,65,81,35,137,85.4818532818533,22.6563706563707,15.250115523751,359,0.245901639344262,0.348189415041783,0.429508196721311,0.777697611763094,0.183606557377049,0.139275766016713,0.103064066852368,0.274131274131274,0.0656370656370656,0.301158301158301,0.250965250965251,0.312741312741313,0.528957528957529,0.339275766016713,0.0424794304282759,0.782,0.838,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"606466","R","Ketel Marte","Arizona Diamondbacks","L",2026-03-26,2026-08-04,358,327,76,48,15,2,11,26,0,3,57,2,128,272,109,23,116,60,76,20,137,88.5496296296296,12.8444444444444,-0.573838230865158,358,0.232415902140673,0.293296089385475,0.391437308868502,0.684733398253976,0.159021406727829,0.159217877094972,0.0726256983240224,0.400735294117647,0.0845588235294118,0.426470588235294,0.220588235294118,0.279411764705882,0.503676470588235,0.296564245810056,-0.00160290008621552,0.782,0.845,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"683737","R","Michael Busch","Chicago Cubs","L",2026-03-26,2026-08-05,357,302,73,49,13,1,10,47,0,6,83,2,118,220,87,22,86,50,75,9,91,88.2918181818182,15.3045454545455,10.5098705283755,357,0.241721854304636,0.352941176470588,0.390728476821192,0.74366965329178,0.149006622516556,0.23249299719888,0.131652661064426,0.395454545454545,0.1,0.390909090909091,0.227272727272727,0.340909090909091,0.413636363636364,0.329551820728291,0.0294394132447492,0.781,0.815,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"670541","R","Yordan Alvarez","Houston Astros","L",2026-03-26,2026-08-05,357,301,106,58,22,0,26,52,1,3,64,1,206,238,135,45,66,65,95,12,101,95.2835443037975,20.3881856540084,58.1132382087165,357,0.352159468438538,0.450980392156863,0.684385382059801,1.13536577421666,0.332225913621263,0.179271708683473,0.145658263305322,0.567226890756303,0.189075630252101,0.277310924369748,0.273109243697479,0.399159663865546,0.42436974789916,0.471713483146067,0.162782179856349,0.781,0.826,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"683002","R","Gunnar Henderson","Baltimore Orioles","L",2026-03-26,2026-08-05,356,321,68,43,12,1,12,27,1,6,86,2,118,235,116,20,99,48,72,16,112,91.4340425531915,14.1106382978723,-1.58969006051927,356,0.21183800623053,0.283707865168539,0.367601246105919,0.651309111274458,0.155763239875389,0.241573033707865,0.0758426966292135,0.493617021276596,0.0851063829787234,0.421276595744681,0.204255319148936,0.306382978723404,0.476595744680851,0.283549295774648,-0.00446542151831256,0.781,0.825,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"695578","R","James Wood","Washington Nationals","L",2026-03-26,2026-08-03,353,281,76,38,16,1,21,65,2,3,95,4,157,188,112,42,74,56,58,0,66,95.6149732620321,11.3404255319149,29.8153525781784,353,0.270462633451957,0.407932011331445,0.558718861209964,0.966650872541409,0.288256227758007,0.269121813031161,0.18413597733711,0.595744680851064,0.223404255319149,0.393617021276596,0.297872340425532,0.308510638297872,0.351063829787234,0.406495726495727,0.0844627551789756,0.779,0.79,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
"805808","R","Kevin McGonigle","Detroit Tigers","L",2026-03-26,2026-08-05,353,296,86,59,16,3,8,55,0,2,40,0,132,253,95,22,77,60,93,23,104,88.603162055336,21.0830039525692,22.9095447151495,353,0.290540540540541,0.405099150141643,0.445945945945946,0.851045096087589,0.155405405405405,0.113314447592068,0.155807365439093,0.375494071146245,0.0869565217391304,0.304347826086957,0.237154150197628,0.367588932806324,0.411067193675889,0.373682719546742,0.0648995600995736,0.779,0.835,"strong","batter","fixed_linear_weights_v1","sabrhood_player_summary_v1","2026-08-05","2026-08-06 12:06:57 UTC"
