"calibration_bin","rows","mean_predicted","observed_rate","minimum_predicted","maximum_predicted","source_through","generated_at_utc"
1,2444,0.00517954631340171,0.00736497545008183,0.00415052315488146,0.00536807094477455,"2026-07-29","2026-07-30 11:54:54 UTC"
2,2445,0.00940424068334363,0.0139059304703476,0.00536807094477455,0.0115965852564239,"2026-07-29","2026-07-30 11:54:54 UTC"
3,2445,0.0115965852564239,0.0016359918200409,0.0115965852564239,0.0115965852564239,"2026-07-29","2026-07-30 11:54:54 UTC"
4,2444,0.0122016176035139,0.00531914893617021,0.0115965852564239,0.0175806820343018,"2026-07-29","2026-07-30 11:54:54 UTC"
5,2445,0.0460151506996365,0.049079754601227,0.0175806820343018,0.0731179736974511,"2026-07-29","2026-07-30 11:54:54 UTC"
6,2445,0.0801180906716375,0.0723926380368098,0.0731179736974511,0.0888338673526873,"2026-07-29","2026-07-30 11:54:54 UTC"
7,2444,0.121669061838325,0.101472995090016,0.0888338673526873,0.148166826885,"2026-07-29","2026-07-30 11:54:54 UTC"
8,2445,0.153822910570932,0.195910020449898,0.148166826885,0.166273341483638,"2026-07-29","2026-07-30 11:54:54 UTC"
9,2445,0.171261406490579,0.228629856850716,0.166273341483638,0.174879338029719,"2026-07-29","2026-07-30 11:54:54 UTC"
10,2445,0.297565722039519,0.228629856850716,0.174879338029719,0.981512132072563,"2026-07-29","2026-07-30 11:54:54 UTC"
