"snapshot_date","level","team_id","team","league_id","division_id","wins","losses","games_played","winning_percentage","runs_scored","runs_allowed","run_differential","games_back","wild_card_games_back","division_rank","league_rank","level_rank","streak_code","league_label","division_label","standings_method","prior_team","prior_snapshot_date","prior_winning_percentage","prior_run_differential","prior_games_back","prior_division_rank","prior_league_rank","division_rank_change","league_rank_change","games_back_change","winning_percentage_change","run_differential_change","movement_score","movement_label","movement_method","season","source_through","source_acquired_at_utc"
2026-09-09,"MLB","121","New York Mets",104,204,68,78,146,0.466,627,667,-40,17,10,4,12,23,"W4","National League","NL East","baseballr_mlb_standings_snapshot_v1","New York Mets",2026-09-02,0.45,-50,20,5,13,1,1,3,0.016,10,3.48,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
2026-09-09,"MLB","119","Los Angeles Dodgers",104,203,89,57,146,0.61,728,559,169,0,0,1,2,2,"W7","National League","NL West","baseballr_mlb_standings_snapshot_v1","Los Angeles Dodgers",2026-09-02,0.59,146,0,1,3,0,1,0,0.02,23,3.36,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
2026-09-09,"MLB","134","Pittsburgh Pirates",104,205,73,73,146,0.5,707,673,34,17.5,5,3,8,14,"W3","National League","NL Central","baseballr_mlb_standings_snapshot_v1","Pittsburgh Pirates",2026-09-02,0.486,26,19,4,10,1,2,1.5,0.014,8,2.66,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
2026-09-09,"MLB","133","Athletics",103,200,59,88,147,0.401,641,828,-187,15.5,15,4,14,28,"W1","American League","AL West","baseballr_mlb_standings_snapshot_v1","Athletics",2026-09-02,0.386,-194,17,4,14,0,0,1.5,0.015,7,1.82,"surging","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
2026-09-09,"MLB","135","San Diego Padres",104,203,78,68,146,0.534,619,602,17,11,0,2,6,9,"W4","National League","NL West","baseballr_mlb_standings_snapshot_v1","San Diego Padres",2026-09-02,0.521,10,9.5,3,7,1,1,-1.5,0.013,7,1.46,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
2026-09-09,"MLB","116","Detroit Tigers",103,202,67,79,146,0.459,641,586,55,8.5,6.5,4,12,24,"W1","American League","AL Central","baseballr_mlb_standings_snapshot_v1","Detroit Tigers",2026-09-02,0.46,47,9,4,12,0,0,0.5,-0.001,8,1.1,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
2026-09-09,"MLB","111","Boston Red Sox",103,201,80,67,147,0.544,652,570,82,8,6,3,3,8,"L2","American League","AL East","baseballr_mlb_standings_snapshot_v1","Boston Red Sox",2026-09-02,0.536,77,8.5,3,3,0,0,0.5,0.00800000000000001,5,1.02,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
2026-09-09,"MLB","108","Los Angeles Angels",103,200,56,90,146,0.384,591,664,-73,18,17.5,5,15,29,"W2","American League","AL West","baseballr_mlb_standings_snapshot_v1","Los Angeles Angels",2026-09-02,0.379,-80,18,5,15,0,0,0,0.005,7,0.99,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
2026-09-09,"MLB","140","Texas Rangers",103,200,72,74,146,0.493,607,647,-40,2,1.5,2,8,16,"L1","American League","AL West","baseballr_mlb_standings_snapshot_v1","Texas Rangers",2026-09-02,0.493,-48,2,2,7,0,-1,0,0,8,0.96,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
2026-09-09,"MLB","147","New York Yankees",103,201,83,62,145,0.572,657,533,124,4,10,2,2,5,"W2","American League","AL East","baseballr_mlb_standings_snapshot_v1","New York Yankees",2026-09-02,0.571,115,3.5,2,2,0,0,-0.5,0.001,9,0.94,"steady","seven_day_rank_gap_pct_run_differential_v1",2026,"2026-09-09","2026-09-10 14:17:15 UTC"
