"playerID","yearID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","BB","HBP","SF","PA","AVG","OBP","TB","SLG","OPS","avg_percentile","obp_percentile","slg_percentile","ops_percentile","h_percentile","hr_percentile","rbi_percentile","r_percentile","sb_percentile","decade"
"aaronha01",1957,"NL",151,615,118,198,27,6,44,132,1,57,0,3,675,0.321951219512195,0.377777777777778,369,0.6,0.977777777777778,0.962264150943396,0.89622641509434,0.971698113207547,0.971698113207547,0.990566037735849,1,1,1,0.405660377358491,1950
"abreujo02",2020,"AL",60,240,43,76,15,0,19,60,0,18,3,1,262,0.316666666666667,0.370229007633588,148,0.616666666666667,0.986895674300254,0.939597315436242,0.885906040268456,0.986577181208054,0.973154362416107,1,0.993288590604027,1,0.986577181208054,0.194630872483221,2020
"acunaro01",2023,"NL",158,643,149,217,35,4,41,106,73,80,9,3,735,0.337480559875583,0.416326530612245,383,0.595645412130638,1.01197194274288,0.995670995670996,1,0.995670995670996,1,1,0.987012987012987,0.976190476190476,1,1,2020
"allendi01",1972,"AL",148,506,90,156,28,5,37,113,19,99,1,3,609,0.308300395256917,0.420361247947455,305,0.602766798418972,1.02312804636643,0.970588235294118,0.994117647058824,1,1,0.958823529411765,1,1,0.982352941176471,0.923529411764706,1970
"altuvjo01",2017,"AL",153,590,112,204,39,4,24,81,32,58,9,4,661,0.345762711864407,0.409984871406959,323,0.547457627118644,0.957442498525603,1,0.991031390134529,0.955156950672646,0.982062780269058,1,0.816143497757848,0.856502242152466,0.993273542600897,0.991031390134529,2010
"bagweje01",1994,"NL",110,400,104,147,32,2,39,116,15,65,4,10,479,0.3675,0.450939457202505,300,0.75,1.20093945720251,0.99438202247191,0.99438202247191,1,1,0.991573033707865,0.99438202247191,1,1,0.862359550561798,1990
"bankser01",1958,"NL",154,617,119,193,23,11,47,129,4,52,4,8,681,0.312803889789303,0.365638766519824,379,0.614262560777958,0.979901327297782,0.929824561403509,0.850877192982456,0.991228070175439,0.982456140350877,0.973684210526316,1,1,0.991228070175439,0.785087719298246,1950
"bankser01",1959,"NL",155,589,97,179,25,6,45,143,2,64,7,9,669,0.303904923599321,0.373692077727952,351,0.595925297113752,0.969617374841704,0.877358490566038,0.858490566037736,0.981132075471698,0.962264150943396,0.943396226415094,0.990566037735849,1,0.933962264150943,0.575471698113208,1950
"baylodo01",1979,"AL",162,628,120,186,33,3,36,139,22,71,11,12,722,0.296178343949045,0.371191135734072,333,0.530254777070064,0.901445912804136,0.854368932038835,0.864077669902913,0.932038834951456,0.922330097087379,0.975728155339806,0.985436893203884,1,1,0.934466019417476,1970
"bellge02",1987,"AL",156,610,111,188,32,4,47,134,5,39,7,9,665,0.308196721311475,0.35187969924812,369,0.604918032786885,0.956797732035006,0.92018779342723,0.727699530516432,0.995305164319249,0.976525821596244,0.976525821596244,0.995305164319249,1,0.995305164319249,0.593896713615023,1980
"bellico01",2019,"NL",156,558,121,170,34,3,47,115,15,95,3,4,660,0.304659498207885,0.406060606060606,351,0.629032258064516,1.03509286412512,0.926605504587156,0.986238532110092,0.990825688073395,0.995412844036697,0.944954128440367,0.990825688073395,0.972477064220184,0.995412844036697,0.912844036697248,2010
"benchjo01",1970,"NL",158,605,97,177,35,4,45,148,5,54,0,11,670,0.292561983471074,0.344776119402985,355,0.586776859504132,0.931552978907117,0.805882352941176,0.605882352941176,0.982352941176471,0.935294117647059,0.923529411764706,1,1,0.902941176470588,0.670588235294118,1970
"benchjo01",1972,"NL",147,538,87,145,22,2,40,125,6,100,2,12,652,0.269516728624535,0.378834355828221,291,0.54089219330855,0.919726549136771,0.710843373493976,0.927710843373494,0.987951807228916,0.981927710843373,0.855421686746988,1,1,0.936746987951807,0.75,1970
"berrayo01",1951,"AL",141,547,92,161,19,4,27,88,5,44,3,0,594,0.294332723948812,0.35016835016835,269,0.491773308957952,0.841941659126303,0.801801801801802,0.585585585585586,0.90990990990991,0.864864864864865,0.923423423423423,0.963963963963964,0.936936936936937,0.923423423423423,0.743243243243243,1950
"berrayo01",1954,"AL",151,584,88,179,28,6,22,125,0,56,4,7,651,0.306506849315068,0.367127496159754,285,0.488013698630137,0.855141194789891,0.93859649122807,0.807017543859649,0.947368421052632,0.93859649122807,0.956140350877193,0.947368421052632,0.991228070175439,0.903508771929825,0.157894736842105,1950
"berrayo01",1955,"AL",147,541,84,147,20,3,27,108,1,60,7,5,613,0.271719038817006,0.34910277324633,254,0.469500924214418,0.818603697460747,0.619047619047619,0.542857142857143,0.838095238095238,0.819047619047619,0.876190476190476,0.961904761904762,0.980952380952381,0.895238095238095,0.419047619047619,1950
"bettsmo01",2018,"AL",136,520,129,180,47,5,32,80,30,81,8,5,614,0.346153846153846,0.438110749185668,333,0.640384615384615,1.07849536457028,1,0.99163179916318,0.99581589958159,0.99163179916318,0.98326359832636,0.964435146443515,0.910041841004184,0.997907949790795,0.981171548117155,2010
"bluevi01",1971,"AL",39,102,6,12,1,0,0,2,0,4,2,0,108,0.117647058823529,0.166666666666667,13,0.127450980392157,0.294117647058823,0.0174418604651163,0.0174418604651163,0.0116279069767442,0.0174418604651163,0.0174418604651163,0.0436046511627907,0.0116279069767442,0.0232558139534884,0.0988372093023256,1970
