"metric","model_weight","source_decade","basis"
"war",0.35,2020,"modern total-value anchor"
"slg",0.0775071976967371,2020,"mean MVP league percentile above 50"
"ops",0.0773512476007678,2020,"mean MVP league percentile above 50"
"r",0.0767274472168906,2020,"mean MVP league percentile above 50"
"hr",0.0757917466410749,2020,"mean MVP league percentile above 50"
"obp",0.075323896353167,2020,"mean MVP league percentile above 50"
"rbi",0.0743881957773512,2020,"mean MVP league percentile above 50"
"h",0.0728286948176584,2020,"mean MVP league percentile above 50"
"avg",0.0700215930902111,2020,"mean MVP league percentile above 50"
"sb",0.050059980806142,2020,"mean MVP league percentile above 50"
