"team","fielding_runs","range_runs","arm_runs","double_play_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","innings","players","official_fielding_rank","source","model_version","source_through","generated_at_utc"
"Chicago Cubs",61.480415183456,51.7902311281294,11.200299214383,-0.443677545788846,-0.572653595942877,1.11534530793703,-1.86431993123656,0.176321027356657,4481,18,1,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Toronto Blue Jays",34.9326712921629,8.27018374872007,2.04402824200247,-2.58182493804176,26.4303155356215,17.7783102474238,5.71679737034497,2.9352079178527,4850,22,2,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"St. Louis Cardinals",34.6658151523014,20.4130465050998,-4.27498303994327,10.1513284882865,2.21845979816946,4.68902302946316,-1.49404288355868,-0.976520347735023,4636.77777777778,20,3,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Boston Red Sox",27.6307297451367,16.3421774379373,5.12931362133364,2.01608873669338,4.11545002459833,0.0397103717133547,0.623851779663269,3.45188787322171,4664.44444444444,20,4,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Arizona Diamondbacks",26.8588419313236,28.0036516149046,-4.25723024279392,3.32287569904433,1.97966270187275,0.57891475128809,0.0016425329307761,1.39910541765388,4409.66666666667,22,5,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"San Diego Padres",24.1790969998673,6.54576925986544,9.15867936413203,4.03363285594793,2.18472058464309,-4.34161744293993,5.8752249131251,0.651113114457918,4404.33333333333,20,6,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Los Angeles Dodgers",18.6978652907606,16.7753486266826,3.56976373748183,0.282091663849799,-5.51575685139955,-3.86212597012432,-0.847271736200046,-0.806359145075182,4460.88888888889,20,7,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Kansas City Royals",16.5538043683615,17.5541582266683,1.73245275888472,-1.10261639484181,-3.10884641011996,-2.47804041540311,2.84162656809406,-3.4724325628109,4225.44444444444,18,8,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Miami Marlins",5.13530723215106,2.04111169292569,-6.61919261479116,0.981670762633832,9.5826389000803,4.68183364397948,6.00732352525722,-1.1065182691564,4628.44444444444,19,9,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"New York Yankees",4.94892076530505,-4.39493831624016,-1.20471735759723,-0.549548336677438,11.2284131666571,10.599852348173,-1.41884822577688,2.04740904426099,5106.55555555556,21,10,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Atlanta Braves",4.56626772898084,4.18499591807254,8.4679252437598,-1.41504339194367,-5.95674270564884,-0.849988960075521,-5.52241091413994,0.41565716856662,5107,24,11,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Cleveland Guardians",2.53480140283105,4.89445137876738,0.114890145179739,-0.490329321132323,-4.23932135854839,1.36306931339499,-3.43996000951309,-2.16243066243029,4669.44444444444,22,12,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"New York Mets",1.92852191084621,-14.343684553214,9.91565620145404,-2.80466502332816,7.80545559309186,5.29765043569856,2.66393215137697,-0.156126993983682,4797.77777777778,24,13,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Texas Rangers",0.675288637470166,12.3699316576364,-5.96172731066622,-1.35417281566647,-6.33701740806102,-6.17730159976562,-1.70882153634617,1.54910572805077,4329.44444444444,20,14,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Chicago White Sox",0.599933426668531,9.48177947556369,-1.29141832214902,6.23413886983604,-12.3084676749174,-9.21312048773078,2.3153886380892,-5.41073582527582,5319.22222222222,26,15,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Tampa Bay Rays",-1.43129013216973,2.85413713655152,-1.96086690350769,2.02046209761418,-1.12991433114167,2.2107254742397,-1.81001880629663,-1.53062099908475,4327,16,16,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Houston Astros",-1.5508822283521,-0.921818084984399,-2.22113731518044,0.208543119033627,0.166662047179647,3.1444611058266,-0.98444787906484,-1.99335117958211,4361.33333333333,22,17,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Washington Nationals",-3.88136104163592,-11.3798717917784,0.943331437719381,4.63669787426948,2.15346469451198,5.93097519370619,-3.3153222009771,-0.462188298217112,4401.33333333333,17,18,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
"Philadelphia Phillies",-5.22394715129432,-1.22503202377868,-3.44127840410348,-4.22280308434576,9.48489958189689,3.81452433595852,5.82241041305714,-0.152035167118769,4867.11111111111,19,19,"Baseball Savant Fielding Run Value Leaderboard","savant_fielding_run_value_team_v1","2026-08-28","2026-08-29 15:05:15 UTC"
