"metric_id","metric_label","settled_predictions","mean_probability","observed_rate","brier_score","calibration_bias","calibration_status"
"batter_hit_1plus","1+ hit",12619,0.629469807433236,0.606070211585704,0.237463919110072,-0.0233995958475315,"eligible to fit"
"batter_hit_2plus","2+ hits",12619,0.219641928837467,0.215231000871701,0.167012408728901,-0.00441092796576591,"eligible to fit"
"batter_hr_1plus","1+ home run",12619,0.118125247642444,0.113162691179967,0.101467735299945,-0.00496255646247722,"eligible to fit"
"batter_hr_2plus","2+ home runs",12080,0.00772545529801325,0.00562913907284768,0.00568339997930464,-0.00209631622516556,"eligible to fit"
"batter_tb_2plus","2+ total bases",12619,0.37163626277835,0.347333386163721,0.225699462437594,-0.0243028766146287,"eligible to fit"
"batter_tb_3plus","3+ total bases",12619,0.213063436088438,0.202313970996117,0.16047295187812,-0.0107494650923211,"eligible to fit"
"batter_xbh_1plus","1+ extra-base hit",12619,0.289353791901101,0.259370790078453,0.19299107098423,-0.0299830018226484,"eligible to fit"
"pitcher_k_10plus","10+ strikeouts",1345,0.0294914498141264,0.0371747211895911,0.0350914401486989,0.00768327137546468,"eligible to fit"
"pitcher_k_5plus","5+ strikeouts",1404,0.573243945868946,0.480769230769231,0.247421284366097,-0.0924747150997151,"eligible to fit"
"pitcher_k_7plus","7+ strikeouts",1404,0.241761752136752,0.212250712250712,0.159088015491453,-0.0295110398860399,"eligible to fit"
