"product_group","source_through","expected_through","max_lag_days","cadence","lag_days","status","publication_role","blocks_publication","checked_at_utc","reference_date"
"completed_game_pbp",2026-09-03,2026-09-03,4,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"pbp_analysis",2026-09-03,2026-09-03,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"editorial_story_engine",2026-09-03,2026-09-03,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"history_engine",2026-09-04,2026-09-04,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"retrosheet_daily_history",2026-09-04,2026-09-04,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"active_milestones",2026-08-02,2026-08-02,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"daily_recent_performances",2026-09-04,2026-09-04,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"fangraphs_season",2026-08-02,2026-09-04,2,"daily",33,"stale","legacy_reference",FALSE,"2026-09-04 14:14:28 UTC","2026-09-04"
"triple_a_watch",2026-09-04,2026-09-04,3,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"graphics_feed",2026-09-04,2026-09-04,2,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"daily_slate",2026-09-04,2026-09-04,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"daily_projections",2026-09-04,2026-09-04,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"daily_matchup_model",2026-09-03,2026-09-03,0,"lineup-dependent",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"daily_state_simulation",2026-09-03,2026-09-03,0,"lineup-dependent",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"phase4_baserunning",2026-09-03,2026-09-03,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"award_race_history",2026-07-27,2026-09-04,8,"weekly",39,"stale","legacy_reference",FALSE,"2026-09-04 14:14:28 UTC","2026-09-04"
"standings_movement",2026-09-03,2026-09-03,1,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
"daily_newsletter",2026-09-04,2026-09-04,0,"daily",0,"current","core_publication",TRUE,"2026-09-04 14:14:28 UTC","2026-09-04"
