"pitcher_id","pitcher_name","team","throws","last_appearance","pitches_last_1d","pitches_last_3d","pitches_last_7d","appearances_last_3d","consecutive_days_used","days_rest","pitcher_role","role_confidence","availability_score","availability_status","availability_method","as_of_date","matchup_score","performance_score_used","role_fit_score","selection_score","upcoming_batter_side","leverage_index","selection_method","eligibility_method","selection_rank"
"663558","Jovani Mor<U+00E1>n","Boston Red Sox","L",2026-06-04,0,0,0,0,0,11,"reliever",0.714,1,"available","sabrhood_workload_heuristic_v1",2026-06-15,1,0.5,1,87.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1
"687941","Alec Gamboa","Boston Red Sox","L",2026-06-08,0,0,6,0,0,7,"reliever",0.1,1,"available","sabrhood_workload_heuristic_v1",2026-06-15,1,0.5,1,87.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2
"701719","Tyler Samaniego","Boston Red Sox","L",2026-06-02,0,0,0,0,0,13,"reliever",0.9,1,"available","sabrhood_workload_heuristic_v1",2026-06-15,1,0.5,1,87.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3
"547973","Aroldis Chapman","Boston Red Sox","L",2026-06-13,0,15,15,1,0,2,"reliever",1,0.916666666666667,"available","sabrhood_workload_heuristic_v1",2026-06-15,1,0.5,1,84.2,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",4
"543056","Danny Coulombe","Boston Red Sox","L",2026-06-13,0,20,42,2,0,2,"reliever",1,0.888888888888889,"available","sabrhood_workload_heuristic_v1",2026-06-15,1,0.5,1,83.1,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",5
"686747","Joe La Sorsa","Boston Red Sox","L",2026-06-07,0,0,0,0,0,8,"unknown",0.05,1,"available","sabrhood_workload_heuristic_v1",2026-06-15,1,0.5,0.4,78.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",6
"669711","Greg Weissert","Boston Red Sox","R",2026-06-10,0,0,20,0,0,5,"reliever",1,1,"available","sabrhood_workload_heuristic_v1",2026-06-15,0.35,0.5,1,74.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",7
"670245","Ryan Watson","Boston Red Sox","R",2026-06-10,0,0,35,0,0,5,"reliever",1,1,"available","sabrhood_workload_heuristic_v1",2026-06-15,0.35,0.5,1,74.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",8
"677161","Zack Kelly","Boston Red Sox","R",2026-05-19,0,0,0,0,0,27,"reliever",0.85,1,"available","sabrhood_workload_heuristic_v1",2026-06-15,0.35,0.5,1,74.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",9
"592454","Tommy Kahnle","Boston Red Sox","R",2026-06-12,0,10,25,1,0,3,"reliever",0.15,0.944444444444444,"available","sabrhood_workload_heuristic_v1",2026-06-15,0.35,0.5,1,72.3,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",10
"676477","Garrett Whitlock","Boston Red Sox","R",2026-06-13,0,11,28,1,0,2,"reliever",1,0.938888888888889,"available","sabrhood_workload_heuristic_v1",2026-06-15,0.35,0.5,1,72.1,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",11
"686580","Justin Slaten","Boston Red Sox","R",2026-06-13,0,16,35,1,0,2,"reliever",0.75,0.911111111111111,"available","sabrhood_workload_heuristic_v1",2026-06-15,0.35,0.5,1,70.9,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",12
"594027","Tyron Guerrero","Boston Red Sox","R",2026-06-13,0,30,46,2,0,2,"reliever",0.5,0.833333333333333,"available","sabrhood_workload_heuristic_v1",2026-06-15,0.35,0.5,1,67.8,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",13
