"pitch_type","pitch_name","pitches","average_velocity","average_horizontal_break","average_induced_vertical_break","date","rolling_days","trend_method","source_through","generated_at_utc"
"CH","Changeup",29,85.8965517241379,5.81379310344828,-2.03793103448276,2026-03-25,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",15,74.4866666666667,9.30666666666667,-14.8466666666667,2026-03-25,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",31,92.4322580645161,2.21612903225806,8.35161290322581,2026-03-25,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",50,94.694,2.324,15.24,2026-03-25,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",11,89.1272727272727,16.6545454545455,0.472727272727273,2026-03-25,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",2,82.8,-10.1,-14.8,2026-03-25,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",82,92.469512195122,10.1939024390244,4.59756097560976,2026-03-25,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SL","Slider",19,85.8052631578947,1.05789473684211,3.08947368421053,2026-03-25,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"ST","Sweeper",19,82.5368421052632,-1.96315789473684,2.04736842105263,2026-03-25,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CH","Changeup",402,86.2858208955224,2.5865671641791,3.91616915422886,2026-03-26,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CS","Slow Curve",6,75.2333333333333,-8.75,-9.43333333333333,2026-03-26,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"CU","Curveball",184,80.441847826087,-2.81521739130435,-11.1858695652174,2026-03-26,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FC","Cutter",279,90.2835125448029,-1.67634408602151,7.60860215053764,2026-03-26,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FF","Four-Seam Fastball",1170,95.2330769230769,3.22965811965812,16.1300854700855,2026-03-26,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"FS","Splitter",137,88.3656934306569,11.6642335766423,1.5036496350365,2026-03-26,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"KC","Knuckle Curve",122,84.2975409836066,-8.18688524590164,-10.5622950819672,2026-03-26,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SI","Sinker",632,94.7506329113924,4.39272151898734,6.92958860759494,2026-03-26,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
"SL","Slider",339,86.7852507374631,-1.43628318584071,1.0141592920354,2026-03-26,14,"calendar_day_rolling_pitch_quality_v1","2026-08-29","2026-08-30 14:45:15 UTC"
