"outs_before","base_state_before","plate_appearances","expected_runs","run_sd","base_state_label","sample_reliability","estimate_available","run_expectancy_method","source_through","generated_at_utc"
0,0,39541,0.505627070635543,1.03807141392794,"empty",0.997477359299715,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
0,1,9292,0.901851054670684,1.37752959697238,"1--",0.989352640545145,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
0,2,1986,1.16918429003021,1.36068475844477,"-2-",0.952061361457335,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
0,3,2398,1.56088407005838,1.70701403730585,"12-",0.959967974379504,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
0,4,211,1.43127962085308,1.59426584761401,"--3",0.678456591639871,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
0,5,818,1.78606356968215,1.56208171867913,"1-3",0.891067538126362,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
0,6,440,1.99545454545455,1.53173782013686,"-23",0.814814814814815,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
0,7,733,2.45020463847203,1.95280115094063,"123",0.879951980792317,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
1,0,28329,0.266264252179745,0.735121860276687,"empty",0.996482465088466,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
1,1,11599,0.535908267954134,1.06403017712394,"1--",0.991452260876998,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
1,2,3731,0.674350040203699,1.07285983718938,"-2-",0.973897154789872,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
1,3,4135,0.934220072551391,1.38274212217004,"12-",0.976387249114522,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
1,4,1146,0.93891797556719,1.00814337472825,"--3",0.919743178170145,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
1,5,1747,1.18832283915283,1.3201760152698,"1-3",0.945858148348674,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
1,6,1176,1.38265306122449,1.3589126198793,"-23",0.921630094043887,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
1,7,1500,1.65933333333333,1.65804472107569,"123",0.9375,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
2,0,22356,0.102299159062444,0.444003352081432,"empty",0.995546847167795,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
2,1,12199,0.232642019837692,0.704363112071147,"1--",0.991869257663225,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
2,2,4888,0.311988543371522,0.730971344218665,"-2-",0.979951884522855,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
2,3,5068,0.455209155485399,0.987071796705902,"12-",0.980650154798762,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
2,4,2020,0.387623762376238,0.770136835213492,"--3",0.952830188679245,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
2,5,2505,0.528942115768463,1.04799971050262,"1-3",0.961612284069098,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
2,6,1208,0.513245033112583,1.02890619259728,"-23",0.923547400611621,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
2,7,1798,0.74860956618465,1.32153338448906,"123",0.947312961011591,TRUE,"sabrhood_empirical_re24_v1","2026-09-04","2026-09-05 13:19:52 UTC"
