"opportunities","advancements_allowed","observed_advancement_rate","expected_advancement_rate","adjusted_advancement_rate","advancements_prevented","advancement_runs_saved","team","reliability","runs_saved_per_100","advancement_prevention_score","model_version","source_through","generated_at_utc"
901,358,0.397336293007769,0.39636749159854,0.399098792938672,-0.872890069715144,-6.59602705503279,"Arizona Diamondbacks",0.720223820943245,-0.732078474476447,93.7546734545388,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
964,360,0.37344398340249,0.387315208468444,0.380929671771967,13.3718609635802,3.80326172742997,"Athletics",0.733637747336377,0.394529224837134,114.251525904558,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
857,310,0.361726954492415,0.393167983669859,0.38093714987988,26.9449620050696,5.62506444605387,"Atlanta Braves",0.710024855012428,0.656366913191817,118.719970761174,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
927,376,0.405609492988134,0.403904464795839,0.403710211915248,-1.58056113425723,-3.2534300936158,"Baltimore Orioles",0.725920125293657,-0.350963332644639,100.646727558467,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
877,300,0.342075256556442,0.400555896405455,0.370432827734278,51.2875211475842,14.8893008797174,"Boston Red Sox",0.714751426242869,1.69775380612513,137.535925804316,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
811,319,0.393341553637485,0.396159865816709,0.389563449618453,2.28565117735128,-1.44935805034838,"Chicago Cubs",0.698535745047373,-0.178712459968974,103.700991429991,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
827,345,0.417170495767836,0.389964614507311,0.399829837132057,-22.499263802454,-8.42410497464881,"Chicago White Sox",0.702633814783348,-1.01863421700711,88.7149195372809,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
983,382,0.388606307222787,0.390087888728337,0.391359080506449,1.45639461995502,-2.75655586798664,"Cincinnati Reds",0.737434358589647,-0.280422773955915,101.942161326674,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
739,273,0.369418132611637,0.397868240717501,0.386636177203186,21.024629890233,3.42533263112582,"Cleveland Guardians",0.67860422405877,0.463509151708501,114.916972373338,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
1009,440,0.43607532210109,0.40333872334799,0.415188067210177,-33.0312281418777,-13.0872135911577,"Colorado Rockies",0.742457689477557,-1.29704792776587,83.2894712786393,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
792,332,0.419191919191919,0.413199627112921,0.415245918501132,-4.7458953265666,-4.6505226650136,"Detroit Tigers",0.693520140105079,-0.587187205178485,96.4417654581326,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
820,329,0.401219512195122,0.393048753543975,0.392074314687151,-6.70002209394075,-5.14614627145211,"Houston Astros",0.700854700854701,-0.62757881359172,95.7027154930051,"sabrhood_runner_advancement_v1","2026-08-31","2026-09-01 14:41:31 UTC"
