"team","tracked_batted_balls","batted_balls_100_plus","max_exit_velocity","total_pitches","tracked_pitches","pitches_100_plus","max_velocity","tracked_batted_balls_allowed","batted_balls_100_plus_allowed","batted_balls_100_plus_rate","pitches_100_plus_rate","batted_balls_100_plus_allowed_rate","tracking_method","source_through","generated_at_utc"
"New York Yankees",3390,909,116.3,16193,16164,49,101.3,2734,622,0.268141592920354,0.00303142786439,0.227505486466715,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"Atlanta Braves",3161,827,114.9,19437,19437,31,101.1,3333,746,0.261626067700095,0.00159489633173844,0.223822382238224,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"New York Mets",3082,797,114.9,11570,11569,6,101.1,1890,449,0.258598312783907,0.000518627366237358,0.237566137566138,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"Athletics",3147,780,115.9,17749,17714,90,102.7,2971,620,0.247855100095329,0.00508072710850175,0.208683944799731,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"Los Angeles Dodgers",3291,779,114.6,19880,19880,501,103.6,3366,736,0.236706168337891,0.0252012072434608,0.21865715983363,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"San Diego Padres",3291,777,115.7,20022,20022,532,104,3431,724,0.236098450319052,0.0265707721506343,0.211017196152725,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"Milwaukee Brewers",3046,762,115.5,20696,20668,910,105.5,3401,740,0.250164149704531,0.0440294174569383,0.217583063804763,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"Houston Astros",3413,757,118.5,17178,17178,0,99.3,2810,587,0.221799003808966,0,0.208896797153025,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"Seattle Mariners",3339,752,114.7,15442,15442,115,103,2720,636,0.225217130877508,0.00744722186245305,0.233823529411765,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"Philadelphia Phillies",3566,748,113.5,19336,19335,146,102.5,3196,681,0.209758833426809,0.00755107318334626,0.213078848560701,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"Kansas City Royals",2950,742,117.2,19618,19618,46,101.5,3498,843,0.251525423728814,0.0023447854011622,0.240994854202401,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
"Texas Rangers",3043,742,113.6,19360,19360,14,101.9,3434,784,0.243838317449885,0.000723140495867769,0.228305183459522,"mlbam_team_velocity_events_v1","2026-08-13","2026-08-14 11:00:16 UTC"
